Sample,X,Y,Z,Cluster
TCGA-2J-AAB1-01A,0.606722985622086,2.36871924579346,-20.0819127208451,1
TCGA-2J-AAB4-01A,3.83747799120808,0.047651663069914,-14.8152625190986,1
TCGA-2J-AAB8-01A,12.4683811018914,8.32814218144423,-19.4180028990004,1
TCGA-2J-AABA-01A,1.38784731710641,5.1681965553483,-15.0215997555952,1
TCGA-2J-AABH-01A,-1.36152400092351,-2.52773641468127,-13.7376046953113,1
TCGA-2J-AABI-01A,1.0829549095076,5.02503439907294,-15.1124342354479,1
TCGA-2J-AABK-01A,-4.10035377221011,0.935577467131331,-14.9059565261859,1
TCGA-2J-AABO-01A,12.295260189002,7.76472558173553,-18.0775894605685,1
TCGA-2J-AABV-01A,-0.106290485439787,1.91183197581776,-20.2483164490292,1
TCGA-2L-AAQA-01A,0.871193215499232,-1.20814122011147,-15.0695501315841,1
TCGA-2L-AAQE-01A,0.0889983300234857,4.22125311143081,-15.6561799621658,1
TCGA-2L-AAQI-01A,-3.22896952794212,1.4469256979244,-14.9848000968975,1
TCGA-2L-AAQJ-01A,9.42221571359862,3.96353620554879,-20.8550252784308,1
TCGA-2L-AAQL-01A,10.6217551901786,5.72909806211586,-22.4654661174933,1
TCGA-3A-A9I5-01A,1.34693760674016,3.73696852101087,-21.8231364573438,1
TCGA-3A-A9I7-01A,10.9709631573987,8.35287090129462,-23.469899557849,1
TCGA-3A-A9IB-01A,0.328558925836136,2.41656649644468,-17.6441943004031,1
TCGA-3A-A9IC-01A,11.3638114488067,5.84101034750891,-21.7062430139811,1
TCGA-3A-A9IH-01A,11.4669981755364,6.56684331126778,-17.1879887611025,1
TCGA-3A-A9IJ-01A,3.19272117071224,3.05676972001924,-20.2133862188059,1
TCGA-3A-A9IR-01A,12.7426592851352,7.71583525510045,-18.2136309268544,1
TCGA-3A-A9IU-01A,8.21103725384643,7.72181285390321,-16.0017610333561,1
TCGA-3A-A9IV-01A,10.578314520474,5.39354301614729,-21.692283764524,1
TCGA-3A-A9J0-01A,1.85830113155825,-4.31436573258011,-8.95633772413805,1
TCGA-3E-AAAY-01A,10.8084072081661,5.69855411796102,-22.1241476524078,1
TCGA-3E-AAAZ-01A,0.27080119528559,-3.53389132840938,-9.45879727164792,1
TCGA-F2-6879-01A,9.32407266094631,3.80886867262667,-19.5445014779902,1
