Sample,X,Y,Z,Cluster
TCGA-2J-AAB4-01A,-29.7616294466116,-180.937430963305,-44.7974033354221,1
TCGA-2J-AABA-01A,-25.5153675506003,-179.44382542906,-35.829128427184,1
TCGA-2J-AABI-01A,-27.0924840188105,-174.105419299362,-46.3801386548935,1
TCGA-2J-AABO-01A,-34.9123083974548,-183.033207591451,-35.5181245259178,1
TCGA-2J-AABP-01A,-30.3065680125636,-176.232455753726,-49.6877972263767,1
TCGA-2J-AABR-01A,-25.5666680826185,-176.75738368548,-35.1951666474661,1
TCGA-2J-AABT-01A,-26.3085880611224,-173.741045297226,-45.4188919665539,1
TCGA-2J-AABU-01A,-29.9828836420638,-180.473218771166,-46.3857691871195,1
TCGA-2L-AAQA-01A,-31.2473988065814,-178.718559370706,-47.5207525440463,1
TCGA-2L-AAQE-01A,-32.0243109205914,-178.406465686467,-47.5512215751717,1
TCGA-3A-A9I9-01A,-36.280745099632,-177.059955957633,-41.001339697971,1
TCGA-3A-A9IB-01A,-32.46678552376,-180.305679816812,-43.1773097099888,1
TCGA-3A-A9IC-01A,-32.7196963691506,-177.269863855438,-48.5075298640979,1
TCGA-3A-A9IO-01A,-28.8607119899922,-173.945131468903,-48.1074807764634,1
TCGA-3A-A9IR-01A,-29.9912685397673,-175.90828163278,-49.4151145773783,1
TCGA-3A-A9IS-01A,-27.2499376129175,-174.161543098428,-46.558486266649,1
TCGA-3A-A9IV-01A,-28.4128656955415,-174.801093087313,-47.6841783404786,1
TCGA-3A-A9IX-01A,-21.8409108118631,-176.189950941847,-37.4167866727873,1
TCGA-3A-A9IZ-01A,-30.8672547659017,-178.853685727232,-47.808070185926,1
TCGA-3E-AAAZ-01A,-23.8786473726121,-178.335494829852,-41.1896095636386,1
TCGA-F2-6879-01A,-24.1683015444319,-182.676567126747,-44.0154936696252,1
TCGA-F2-6880-01A,-32.8240270809477,-176.827870682145,-37.4118026230057,1
TCGA-F2-7273-01A,-21.1902821402631,-179.36171598688,-36.3060119255352,1
TCGA-F2-7276-01A,-21.3706142136667,-178.149029594622,-37.4809590994011,1
TCGA-F2-A44G-01A,-32.8701984742782,-180.350188765849,-42.7038427444984,1
TCGA-F2-A8YN-01A,-31.5247253281701,-179.290643312358,-46.3302514166544,1
TCGA-FB-A4P5-01A,-24.8335063545291,-175.926860118859,-33.8261762619014,1
TCGA-FB-A4P6-01A,-26.2926863388635,-177.780635989328,-37.5341025239707,1
TCGA-FB-A7DR-01A,-34.432922377754,-182.268312762467,-35.9033226178515,1
TCGA-FB-AAPP-01A,-36.4337407341188,-177.226084287496,-41.6800867178594,1
TCGA-FB-AAPQ-01A,-32.9963859464083,-180.06848876096,-42.6363929667289,1
TCGA-FB-AAPS-01A,-21.6742144760279,-175.015728269034,-33.8055045575414,1
TCGA-FB-AAPU-01A,-30.2792891751848,-176.524397079638,-50.9902723046436,1
TCGA-FB-AAQ1-01A,-30.3640760546325,-176.154546242987,-51.3615939663515,1
TCGA-FB-AAQ3-01A,-30.4058839213547,-175.928091183783,-51.2631163508839,1
TCGA-H8-A6C1-01A,-33.6699119735761,-177.130035192958,-38.1763909137293,1
TCGA-HZ-7918-01A,-20.0975428099253,-179.489000848235,-36.3760115576314,1
TCGA-HZ-7919-01A,-26.4326543307656,-183.413835813605,-43.3986442525088,1
TCGA-HZ-7920-01A,-20.8729062725652,-178.096819170924,-37.3403427575081,1
TCGA-HZ-7923-01A,-23.1565742873082,-178.394280157264,-37.7984382064658,1
TCGA-HZ-7924-01A,-26.3995327893186,-176.967494630913,-36.1621029611299,1
TCGA-HZ-7925-01A,-20.8244833965986,-178.593352139621,-35.6883699248684,1
TCGA-HZ-7926-01A,-24.1235646147649,-182.697414250236,-44.0110276446689,1
TCGA-HZ-8002-01A,-21.4222350321959,-179.118370343024,-36.5018675427644,1
TCGA-HZ-8003-01A,-23.9770191408703,-179.136768244511,-39.6000132048851,1
TCGA-HZ-8315-01A,-26.6077188975485,-183.452639904407,-42.8589949267346,1
TCGA-HZ-8317-01A,-24.5331511201782,-179.840943764679,-41.6145671319971,1
TCGA-HZ-8519-01A,-21.2987645313406,-176.607919838864,-37.127125502312,1
TCGA-HZ-8636-01A,-25.1748357200845,-180.409096587306,-41.9976183525131,1
TCGA-HZ-8637-01A,-24.0926140832637,-179.050831145356,-41.4338096408153,1
TCGA-HZ-8638-01A,-26.3825873560217,-177.511146666228,-37.3778250355372,1
TCGA-HZ-A49H-01A,-24.4779747141433,-175.476288304435,-33.3029100682814,1
TCGA-HZ-A49I-01A,-32.875132672169,-179.217630169176,-37.4563069470578,1
TCGA-HZ-A4BH-01A,-25.8500776133711,-180.461930269835,-42.0355256065481,1
TCGA-HZ-A77P-01A,-26.1453209677071,-173.668029700521,-45.2008702611079,1
TCGA-HZ-A77Q-01A,-27.6253198869912,-184.667295925014,-42.6421941188859,1
TCGA-HZ-A8P0-01A,-33.804511041813,-177.232580249899,-38.3587104255447,1
TCGA-IB-7644-01A,-26.0160902866124,-178.941768135476,-40.3819559350871,1
TCGA-IB-7645-01A,-20.0986350995953,-177.934713482371,-38.273456852419,1
TCGA-IB-7646-01A,-26.7088176573518,-184.062059682976,-42.3876545094734,1
TCGA-IB-7649-01A,-20.3795810855073,-180.320537637064,-36.9387454852955,1
TCGA-IB-7651-01A,-21.931127339955,-179.060720062551,-36.7617447607183,1
TCGA-IB-7652-01A,-24.8647415112037,-180.04823837936,-41.827072158639,1
TCGA-IB-7885-01A,-24.2981061295599,-182.250832165096,-44.8865779124909,1
TCGA-IB-7886-01A,-19.5332486021525,-182.50023712075,-38.4213557845314,1
TCGA-IB-7887-01A,-32.3535485695119,-177.500146174033,-48.3896545587888,1
TCGA-IB-7888-01A,-20.8874197639571,-177.404154512148,-37.6051289244622,1
TCGA-IB-7889-01A,-30.4516357628642,-175.814585936304,-51.6817259064364,1
TCGA-IB-7890-01A,-23.4027804460852,-180.242489627932,-39.3435368448397,1
TCGA-IB-7891-01A,-19.5198537141338,-182.318609382513,-38.2438499825936,1
TCGA-IB-7893-01A,-26.8095791828732,-183.963642612363,-42.57285346373,1
TCGA-IB-7897-01A,-22.3995255527472,-178.324947688846,-37.7254821227101,1
TCGA-IB-8126-01A,-23.7497629747856,-178.658777077202,-38.893463432128,1
TCGA-IB-8127-01A,-27.4403722784073,-183.278245116499,-43.8869139617928,1
TCGA-IB-A5SO-01A,-31.7583564732683,-178.857095399225,-36.6616399828933,1
TCGA-IB-A5SQ-01A,-24.338791554105,-175.172291108614,-33.0307850183323,1
TCGA-IB-A5SS-01A,-27.052884250292,-183.537321608474,-41.9268659041584,1
TCGA-IB-A5ST-01A,-22.8881535463116,-178.715518933516,-35.1969090120728,1
TCGA-IB-A6UF-01A,-30.452717223603,-175.981322863444,-52.6097432504615,1
TCGA-IB-AAUM-01A,-31.9009560059564,-177.053229431267,-37.0197055513622,1
TCGA-IB-AAUN-01A,-25.9812562788751,-183.784189797584,-44.3050023958943,1
TCGA-IB-AAUO-01A,-33.5433722923395,-178.993217860346,-39.1708471142738,1
TCGA-IB-AAUP-01A,-34.5151012397189,-182.655756036583,-35.2505748419053,1
TCGA-IB-AAUQ-01A,-34.8083852538927,-182.932794651824,-35.43275264218,1
TCGA-IB-AAUR-01A,-29.3107370664228,-177.412148457763,-35.59551544285,1
TCGA-IB-AAUS-01A,-23.0244615177037,-178.286740166268,-34.3274344738553,1
TCGA-IB-AAUU-01A,-30.9528217926361,-180.145355789496,-45.1246258215522,1
TCGA-IB-AAUV-01A,-21.1804004349991,-178.238837693229,-35.3326207091143,1
TCGA-IB-AAUW-01A,-25.5713523371291,-177.937508544705,-37.689148220917,1
TCGA-L1-A7W4-01A,-30.1400208701256,-179.868393759173,-47.660391331223,1
TCGA-LB-A7SX-01A,-30.4131472134283,-179.015567869296,-48.472037923003,1
TCGA-LB-A9Q5-01A,-33.607304674391,-176.428779343425,-37.8624581531883,1
TCGA-M8-A5N4-01A,-35.787307243942,-177.77793047023,-41.9056789685453,1
TCGA-Q3-A5QY-01A,-28.9977514501879,-177.35319383341,-35.411671688,1
TCGA-RB-A7B8-01A,-29.6840709991753,-175.78855102975,-48.6533208124848,1
TCGA-S4-A8RM-01A,-30.0729186135583,-180.53247778818,-45.9069574208513,1
TCGA-S4-A8RP-01A,-31.829502904846,-178.807022212011,-36.7475459622174,1
TCGA-US-A776-01A,-36.2065701940436,-177.341791625912,-41.5760399396675,1
TCGA-US-A77E-01A,-36.1069003258109,-176.88603177731,-40.1501295056677,1
TCGA-US-A77G-01A,-30.4575086574171,-180.456484895248,-45.2437495614887,1
TCGA-XD-AAUG-01A,-21.0905229164336,-177.080490403005,-35.1949961963022,1
TCGA-XD-AAUH-01A,-21.0730310809029,-176.321505228374,-35.3914474120658,1
TCGA-XD-AAUI-01A,-35.0798327737451,-183.251549972419,-35.492555066651,1
TCGA-XD-AAUL-01A,-32.7663191650304,-179.271233933429,-37.267424280631,1
TCGA-XN-A8T5-01A,-21.6402108603851,-175.026350740156,-33.8868016442981,1
TCGA-Z5-AAPL-01A,-28.8733647683654,-177.336061694893,-35.3704071820699,1
TCGA-2J-AAB1-01A,43.2927437879874,270.722553286359,62.1049082100093,2
TCGA-2J-AAB6-01A,44.833352295778,268.391184916656,64.0692205063387,2
TCGA-2J-AAB8-01A,41.7799361783091,269.553885146909,58.3606819429948,2
TCGA-2J-AAB9-01A,45.2670498240452,268.381650700171,63.8047202534383,2
TCGA-2J-AABE-01A,38.907023927173,263.350277721839,55.3864184429949,2
TCGA-2J-AABF-01A,41.8306185914719,269.175139953375,59.0024809594218,2
TCGA-2J-AABH-01A,41.6978342356679,268.315272145649,63.2085849346434,2
TCGA-2J-AABK-01A,43.2990061590887,270.059516909302,62.1376809008059,2
TCGA-2J-AABV-01A,43.2946247529341,267.848585397501,62.7020339518636,2
TCGA-2L-AAQI-01A,38.1408339149165,269.272010525213,65.1636449035837,2
TCGA-2L-AAQJ-01A,39.0641439458065,268.886866310699,65.5016565369308,2
TCGA-2L-AAQL-01A,43.9362557135536,266.934228859382,65.5861405108015,2
TCGA-2L-AAQM-01A,44.1499134932553,265.620833543792,61.734485359025,2
TCGA-3A-A9I5-01A,44.3573905513443,268.438876764101,63.8238326638032,2
TCGA-3A-A9I7-01A,41.8516271391939,263.145858712513,63.4488270677728,2
TCGA-3A-A9IH-01A,39.1086261873093,268.892883853355,66.2970366932386,2
TCGA-3A-A9IJ-01A,44.4468989094368,268.16920978019,65.3784895840945,2
TCGA-3A-A9IL-01A,46.3252230329881,264.316668768169,60.5813017063952,2
TCGA-3A-A9IN-01A,46.2626860710256,264.342768768675,60.5890124776097,2
TCGA-3A-A9IU-01A,39.7103185666177,268.883944369375,64.2232977714016,2
TCGA-3A-A9J0-01A,40.1572226882534,260.340925928873,63.3454328078702,2
TCGA-3E-AAAY-01A,44.5523899167983,264.990149013398,61.1496873200817,2
TCGA-F2-A44H-01A,44.3822978672322,267.267077068518,59.5227148666084,2
TCGA-F2-A7TX-01A,39.4383065380049,268.66463736089,67.1919176883373,2
TCGA-FB-A545-01A,39.0852026314683,268.920151853701,64.8141504980303,2
TCGA-FB-A5VM-01A,43.9222489534184,266.855484517072,65.6532152267376,2
TCGA-FB-A78T-01A,39.2310748694903,263.349858834413,56.1354255708897,2
TCGA-FB-AAPY-01A,42.7279294961754,267.9848122823,61.282134865002,2
TCGA-FB-AAPZ-01A,41.0573030396962,268.451229154273,60.5971864645306,2
TCGA-FB-AAQ0-01A,39.8069438767673,263.057555462464,57.5784343008552,2
TCGA-FB-AAQ2-01A,39.5684634588754,268.619347964945,67.3236735002132,2
TCGA-FB-AAQ6-01A,40.2596304238612,262.878233505867,58.7336987330256,2
TCGA-H6-8124-01A,38.0477733876395,271.09528223517,58.9979275969087,2
TCGA-H6-A45N-01A,38.4960595290132,269.374419327345,54.9108311080795,2
TCGA-HV-A5A3-01A,41.3112309123538,266.25633497974,58.4611875124717,2
TCGA-HV-A5A4-01A,38.9160560684111,263.454356882244,55.3881744046474,2
TCGA-HV-A5A5-01A,36.8316157117554,270.476010589212,52.3984028808614,2
TCGA-HV-A5A6-01A,41.7252774512681,268.365853624012,60.6168843919179,2
TCGA-HV-A7OL-01A,42.8997410297329,267.742140955374,62.4572109731855,2
TCGA-HV-A7OP-01A,43.1674155266561,268.387250313931,62.4015516870082,2
TCGA-HV-AA8V-01A,36.8185467903126,270.486160726719,52.3834057834625,2
TCGA-HV-AA8X-01A,39.1777162931799,268.768578690507,64.8639166884773,2
TCGA-HZ-7289-01A,39.4696999321953,259.405098392753,64.1483220193976,2
TCGA-HZ-7922-01A,37.8935840179667,271.157140023511,58.5969230799168,2
TCGA-HZ-8001-01A,44.7357772960766,269.16473463056,65.2059800171013,2
TCGA-HZ-8005-01A,39.0596425036289,258.871975730266,64.6060205128624,2
TCGA-HZ-A49G-01A,38.2450046674088,269.614632574387,54.5576008858257,2
TCGA-HZ-A4BK-01A,38.67736661986,269.077034863171,55.2004996265402,2
TCGA-HZ-A77O-01A,41.9301243187141,266.928064272464,60.8869965631248,2
TCGA-HZ-A8P1-01A,39.9696060672535,263.961182593005,59.7851277264225,2
TCGA-HZ-A9TJ-01A,42.3158388767235,268.393929753085,61.3728369511639,2
TCGA-IB-7654-01A,38.8413182524292,258.599573522784,64.8343414667602,2
TCGA-IB-A5SP-01A,40.808127611142,263.462178829258,59.8439226424845,2
TCGA-IB-A6UG-01A,41.1730664224185,266.486861192502,58.2305192774702,2
TCGA-IB-A7LX-01A,38.6012711492767,263.195104818449,54.6143491503894,2
TCGA-IB-A7M4-01A,41.4569730976689,266.609058684928,61.0662022247484,2
TCGA-IB-AAUT-01A,38.1497275540756,269.728310104322,54.3349379530046,2
TCGA-LB-A8F3-01A,44.038733424464,267.09766769031,65.4805060599869,2
TCGA-OE-A75W-01A,43.4646090595432,266.95271828198,63.2909515600203,2
TCGA-PZ-A5RE-01A,41.5995254875793,266.381784289056,59.151951647292,2
TCGA-Q3-AA2A-01A,39.6917058451398,263.291448979736,57.2897793988713,2
TCGA-RB-AA9M-01A,37.6840771829386,271.194408646108,57.9451779104671,2
TCGA-RL-AAAS-01A,44.7868475859161,269.760134660854,65.1656064496534,2
TCGA-S4-A8RO-01A,40.2454120625452,260.456041773125,63.2811824174567,2
TCGA-US-A774-01A,41.1056226103978,267.531420222069,59.0160108718176,2
TCGA-US-A779-01A,43.2330744300766,267.126342425358,62.8316910060523,2
TCGA-US-A77J-01A,44.2851716875652,267.362132954797,60.4005580647661,2
TCGA-XN-A8T3-01A,37.446484604755,271.248143990438,57.2712209921716,2
TCGA-YB-A89D-01A,46.0532948132495,268.236139510354,63.2652115967406,2
TCGA-YH-A8SY-01A,40.2561650675855,260.474009128642,63.2233104996121,2
TCGA-YY-A8LH-01A,40.3887700827929,263.478665213923,59.7384936833015,2
