Sample,X,Y,Z,Cluster
TCGA-2J-AAB1-01A,-47.6403688482074,117.954271287137,50.8098917249184,1
TCGA-2J-AAB4-01A,-49.8126174152592,116.261307963297,50.6162247620284,1
TCGA-2J-AAB9-01A,-52.1432074758479,108.317126160205,55.1557680674174,1
TCGA-2J-AABF-01A,-49.9811155644848,116.259785123125,49.5148766275635,1
TCGA-2J-AABH-01A,-48.2637372817391,124.522313768525,45.8482324735896,1
TCGA-2J-AABK-01A,-50.8614370466032,113.04400862727,53.472845979947,1
TCGA-2J-AABR-01A,-52.1783984295262,108.176288437577,54.7752402905809,1
TCGA-2J-AABT-01A,-49.0620594752711,116.239059729453,44.6451343071783,1
TCGA-2J-AABU-01A,-43.8835979598745,119.670091469431,48.2085730221158,1
TCGA-2J-AABV-01A,-51.2915596719218,111.509110298717,54.3070161472011,1
TCGA-2L-AAQI-01A,-49.7156189949222,116.655566137325,51.0730494990152,1
TCGA-2L-AAQJ-01A,-47.4136498516598,121.787950270383,44.654243634028,1
TCGA-2L-AAQL-01A,-50.9589594440941,111.883802059516,47.3978496253305,1
TCGA-2L-AAQM-01A,-48.3933397605113,119.000649838938,43.6261906175894,1
TCGA-3A-A9I7-01A,-49.1790806296836,115.947215216565,44.7486979108298,1
TCGA-3A-A9I9-01A,-51.256383401742,111.609904722066,53.9366873791672,1
TCGA-3A-A9IH-01A,-48.4186675029663,124.376498163272,45.7063614755423,1
TCGA-3A-A9IJ-01A,-46.7221441828559,118.775069855372,43.8174925955931,1
TCGA-3A-A9IL-01A,-47.8493999130896,119.45608246066,42.9694176487376,1
TCGA-3A-A9IN-01A,-48.8232188537709,118.800822297798,43.8876317975818,1
TCGA-3A-A9IO-01A,-47.8333726961704,119.578788335723,43.4043972275261,1
TCGA-3A-A9IR-01A,-48.9530473181655,119.051428127057,44.3799787906679,1
TCGA-3A-A9IS-01A,-49.467519981318,118.879564275176,43.4075337394286,1
TCGA-3E-AAAY-01A,-50.8744156905379,112.129118746722,47.2211016354759,1
TCGA-3E-AAAZ-01A,-46.150086393817,120.297903861093,44.0182802626766,1
TCGA-F2-6880-01A,-51.0830132570815,112.340507502924,54.0066695647261,1
TCGA-F2-7276-01A,-52.1965856856842,107.915293056359,55.1716794700305,1
TCGA-F2-A7TX-01A,-47.2592600637867,118.667993264208,50.2987831518834,1
TCGA-FB-A4P6-01A,-51.1275128848159,112.029980308848,52.8939723139643,1
TCGA-FB-A78T-01A,-49.3966877463741,117.384190485812,50.2594434180911,1
TCGA-FB-A7DR-01A,-43.9405232053101,119.560060950125,48.0053074203519,1
TCGA-FB-AAPP-01A,-47.6215679609732,121.37273015736,45.9066047528347,1
TCGA-FB-AAPU-01A,-47.2763406110249,122.433527466249,44.5913851618381,1
TCGA-FB-AAPY-01A,-51.5390765107962,108.63739929112,55.632191727535,1
TCGA-FB-AAPZ-01A,-44.2289740268243,120.086387272196,49.2694912666587,1
TCGA-FB-AAQ0-01A,-42.8878110744698,121.185269072264,49.3241605579101,1
TCGA-FB-AAQ1-01A,-51.1252540357789,112.10889838263,53.8464233373695,1
TCGA-FB-AAQ2-01A,-44.9014706700128,123.861774805791,47.0550266106071,1
TCGA-H6-8124-01A,-44.5882430073029,123.382705550961,47.7607617826114,1
TCGA-H8-A6C1-01A,-50.5029540009526,113.483883560348,47.2410997595218,1
TCGA-HV-A5A3-01A,-44.8242201437889,123.116304034652,48.2191191919083,1
TCGA-HV-A5A5-01A,-51.453420527354,110.90588716784,54.6398406726311,1
TCGA-HV-A7OP-01A,-47.3874779953375,122.488224542421,43.3291195946811,1
TCGA-HV-AA8X-01A,-48.988891228283,120.227590089948,46.0925013837262,1
TCGA-HZ-7289-01A,-46.0806965897088,123.809329585906,46.1660803052338,1
TCGA-HZ-7919-01A,-43.3833192030593,120.907292811275,48.9451735986233,1
TCGA-HZ-7924-01A,-46.7611140662345,121.588599684924,44.2687241402294,1
TCGA-HZ-7926-01A,-44.9078349609413,120.211265589084,49.5563500696117,1
TCGA-HZ-8638-01A,-46.6912972339983,121.49483423756,44.3657532356609,1
TCGA-HZ-A49G-01A,-51.7369636245005,109.485545935277,53.8499383171201,1
TCGA-HZ-A49I-01A,-50.2965004636996,113.672979721464,46.317740407072,1
TCGA-HZ-A4BK-01A,-47.903467764857,118.567196447919,50.2166564751409,1
TCGA-HZ-A77O-01A,-50.1734446974872,116.944633144543,53.2321111769818,1
TCGA-HZ-A8P1-01A,-47.9385091190481,121.267495371968,45.9080544867661,1
TCGA-HZ-A9TJ-01A,-48.3218990485857,123.356207326666,45.0206967460907,1
TCGA-IB-7649-01A,-50.6222944260294,112.800665086407,46.7218863583224,1
TCGA-IB-7651-01A,-45.3054498918184,120.06856116968,45.2351195948707,1
TCGA-IB-7889-01A,-50.3043161215474,113.563198079269,46.0826911248812,1
TCGA-IB-7891-01A,-50.6780649802648,112.668822398808,46.8326422924994,1
TCGA-IB-A5SP-01A,-49.3390170448716,118.176271415944,48.9596913918391,1
TCGA-IB-A6UF-01A,-47.7166610592997,118.083405577221,50.6657282739142,1
TCGA-IB-A6UG-01A,-49.9345423962481,116.957090242569,52.2557249919873,1
TCGA-IB-A7LX-01A,-46.3870305084844,123.708344597892,45.9308470980807,1
TCGA-IB-A7M4-01A,-44.134155499615,120.170845572304,49.2444136482027,1
TCGA-IB-AAUM-01A,-51.0684923527874,112.326875670788,53.6361591131424,1
TCGA-IB-AAUN-01A,-50.0261502006549,117.063431718594,52.7939272665941,1
TCGA-IB-AAUO-01A,-44.9216412889403,123.009484059919,48.3874776499014,1
TCGA-IB-AAUT-01A,-51.8166136626312,109.322507954392,53.7598761153744,1
TCGA-IB-AAUU-01A,-48.3561420894645,123.959906896201,45.3717372176208,1
TCGA-IB-AAUW-01A,-51.8418659504825,109.091962666406,54.0488037844104,1
TCGA-LB-A7SX-01A,-48.7378320783041,118.909306652319,50.7121301419343,1
TCGA-LB-A8F3-01A,-51.0393853671139,112.772628183324,54.7084786072575,1
TCGA-LB-A9Q5-01A,-51.8069630194318,108.152357380213,55.7271969522507,1
TCGA-RB-AA9M-01A,-52.0227546874259,108.836368621021,54.035058533085,1
TCGA-S4-A8RM-01A,-47.5012644771941,122.527473743406,44.7600906651236,1
TCGA-S4-A8RO-01A,-46.8191976145455,122.93409258762,45.457142909059,1
TCGA-S4-A8RP-01A,-49.7985174806768,116.34962966395,50.5419806701744,1
TCGA-US-A776-01A,-46.1661690163197,123.752034727729,46.0703906009964,1
TCGA-US-A779-01A,-48.7963623685974,117.977455673948,50.5026201033115,1
TCGA-US-A77G-01A,-49.2722904099256,117.963837288698,49.560858014718,1
TCGA-XN-A8T3-01A,-52.157056869892,109.340569319878,55.5844971326169,1
TCGA-YY-A8LH-01A,-47.448244933951,121.259173694259,45.4658209212559,1
TCGA-Z5-AAPL-01A,-46.0904689298927,122.217377108459,43.6016839129287,1
TCGA-2J-AAB6-01A,48.9520538154,-103.221010415246,-41.1901413524879,2
TCGA-2J-AAB8-01A,45.1357614139178,-106.397068134734,-43.4311263957002,2
TCGA-2J-AABA-01A,42.4567593424433,-105.243410070321,-43.1242218893268,2
TCGA-2J-AABE-01A,47.6385167816145,-105.179936302779,-43.7890273187702,2
TCGA-2J-AABI-01A,49.7653452137392,-97.9403993699255,-41.9914007654942,2
TCGA-2J-AABO-01A,48.5200558324614,-103.29296883523,-39.7752832234003,2
TCGA-2J-AABP-01A,39.0230127313485,-101.572987042835,-43.9288195844173,2
TCGA-2L-AAQA-01A,49.7608663419993,-98.1583118559247,-42.4982543548269,2
TCGA-2L-AAQE-01A,49.6130865260861,-99.5429836042594,-40.7404100769024,2
TCGA-3A-A9I5-01A,43.3034819655175,-107.374488646412,-44.3377069274437,2
TCGA-3A-A9IB-01A,45.8283579110886,-105.064360652496,-41.2114662820707,2
TCGA-3A-A9IC-01A,32.2981378112676,-105.489970742641,-40.1382999889253,2
TCGA-3A-A9IU-01A,48.4182414043723,-104.325107287656,-43.8894925763035,2
TCGA-3A-A9IV-01A,43.9047471865373,-102.623590834522,-43.1442468669133,2
TCGA-3A-A9IX-01A,36.5657841077584,-102.99856643497,-45.3851755719761,2
TCGA-3A-A9IZ-01A,50.1150021026319,-96.9299404621241,-44.4303219646585,2
TCGA-3A-A9J0-01A,43.2901143526054,-105.224480109523,-41.2437300446663,2
TCGA-F2-6879-01A,48.7817665805123,-103.372225357591,-42.6811086344893,2
TCGA-F2-7273-01A,31.3866483038124,-105.46982217917,-41.0596896302034,2
TCGA-F2-A44G-01A,49.7988134619,-98.9013903855017,-42.941345832761,2
TCGA-F2-A44H-01A,42.4367251831519,-106.39796473312,-46.0209827867213,2
