Sample,X,Y,Z,Cluster
TCGA-P7-A5NX-01A,-4.35045627033812,4.06995702782408,-8.32119721926876,1
TCGA-P7-A5NY-01A,-3.77430425101893,10.1153328919318,-8.98909674061724,1
TCGA-P8-A5KC-01A,-2.2442037433746,6.51171579948341,-7.04507454382799,1
TCGA-P8-A5KD-01A,0.442986424793623,3.67917562247664,-8.86856432552979,1
TCGA-P8-A6RX-01A,-9.92794827715587,17.7304276740401,-7.67618350546716,1
TCGA-P8-A6RY-01A,1.15047414319433,5.08081575401008,-13.2506499572859,1
TCGA-PR-A5PF-01A,-1.51465110433688,6.09381806194378,-8.00880270121923,1
TCGA-PR-A5PG-01A,0.308443178122694,7.63524466404998,-7.9793961259729,1
TCGA-PR-A5PH-01A,-0.0709386763443291,6.33364469776289,-3.13023444559437,1
TCGA-QR-A6GS-01A,1.16679592588936,5.3708632121396,-13.4814288652394,1
TCGA-QR-A6GT-01A,-4.67996246014341,12.3530798510793,-10.7231812311353,1
TCGA-QR-A6GU-01A,-2.57177684566648,9.26153347675252,-4.6859776022271,1
TCGA-QR-A6GW-01A,3.72355054399138,7.29162843044636,-5.47559621908892,1
TCGA-QR-A6GX-01A,-4.38089005936214,11.7636258150797,-9.51244889294503,1
TCGA-QR-A6GY-01A,-1.93624867250984,10.570550881821,-11.596476155759,1
TCGA-QR-A6H0-01A,-2.30241581391698,20.8549201884168,-3.4397666769128,1
TCGA-QR-A6H1-01A,-5.2804455668758,13.7898909283846,-5.63792346541387,1
TCGA-QR-A6H3-01A,-1.22723353246085,22.3793896142211,-0.502757199156625,1
TCGA-QR-A6H5-01A,-10.2701181061127,17.8709706482477,-8.02641931296889,1
TCGA-QR-A6H6-01A,-4.24242012158429,11.4711296269403,-10.779766489818,1
TCGA-QR-A6ZZ-01A,-9.52805919622775,17.6397969168872,-6.68872569831359,1
TCGA-QR-A700-01A,1.23898203762941,0.144553439148081,-6.24741963054915,1
TCGA-QR-A703-01A,-5.56229943259204,20.4968607200839,-3.05884182149639,1
TCGA-QR-A705-01A,-5.47555532399919,20.9657998925038,-2.35732551342495,1
TCGA-QR-A707-01A,-0.209353755775165,13.5021246502825,-13.521945199012,1
TCGA-QR-A70D-01A,-4.19121309808222,11.7580361368791,-9.59677340970673,1
TCGA-QR-A70E-01A,1.62191366801771,2.29248648489129,-5.10046681518792,1
TCGA-QR-A70G-01B,-2.23893499084484,6.55281134247197,-6.97937711591896,1
TCGA-QR-A70H-01A,1.09523380833087,6.26670017827099,-3.51519371877013,1
TCGA-QR-A70I-01A,-5.3746200699532,12.3947552319596,-9.51172881050788,1
TCGA-QR-A70J-01A,-2.82639213044791,20.2024211669496,-3.98012265388113,1
TCGA-QR-A70K-01A,-0.300310316915073,13.9953588016831,-13.3813857428123,1
TCGA-QR-A70N-01A,-8.7990470465408,17.1440128962365,-5.40015398081863,1
TCGA-QR-A70P-01A,-3.85975068168816,11.5994983026567,-10.2753802523315,1
TCGA-QR-A70U-01A,4.08545740385612,7.43838843104488,-5.30954734715824,1
TCGA-QR-A7IP-01A,-4.46614730289592,12.1932635643547,-8.34405283045669,1
TCGA-QT-A5XK-01A,-0.968971594872203,6.23830598454131,-3.68089169411699,1
TCGA-QT-A5XL-01A,-5.44394020988042,12.8707916669202,-9.29119115554823,1
TCGA-QT-A5XM-01A,-1.28581778505083,5.30380757450692,-7.91739318621673,1
TCGA-QT-A5XN-01A,-4.2898220725224,15.5976690098201,-8.4528414271821,1
