Sample,X,Y,Z,Cluster
TCGA-P7-A5NY-01A,-38.5773623474238,-18.6994468192372,-49.5049295221329,1
TCGA-PR-A5PF-01A,-52.2259577286255,-3.23004447331502,-46.6384652184231,1
TCGA-QR-A6GR-01A,-60.0607697168976,-10.3631765905561,-36.051763389408,1
TCGA-QR-A6GU-01A,-52.3185877721951,-2.46191983298045,-46.2003123306924,1
TCGA-QR-A6H0-01A,-41.8436205574385,-12.2268964161128,-45.8568282008532,1
TCGA-QR-A6H1-01A,-68.5779654487182,-10.1628035850979,-54.9016963997653,1
TCGA-QR-A700-01A,-56.1431799945989,-5.70899255801578,-41.7866843165842,1
TCGA-QR-A702-01A,-71.9700377478744,-7.00082963912208,-39.7852138727939,1
TCGA-QR-A705-01A,-51.6603814572204,-10.7871929846221,-40.1757060803053,1
TCGA-QR-A707-01A,-54.7996288861708,-16.4565945916165,-35.3427716255857,1
TCGA-QR-A708-01A,-57.6595356035712,-4.09501474731167,-44.9249628608372,1
TCGA-QR-A70C-01A,-55.7092080736679,0.520289162007868,-38.5027689136792,1
TCGA-QR-A70E-01A,-65.9854721821875,-9.32858193209355,-50.2382911641985,1
TCGA-QR-A70H-01A,-57.1577994182921,-2.74070586990107,-42.8056873283694,1
TCGA-QR-A70M-01A,-55.5341807057836,-2.41519686411472,-39.1699790366878,1
TCGA-QR-A70P-01A,-52.6179310479192,-4.72016964383478,-47.1384057238827,1
TCGA-QR-A70Q-01A,-66.2831646512997,-18.3306004247732,-40.0716303873667,1
TCGA-QR-A70R-01A,-63.9287866186423,-5.38811664809224,-53.9910217850578,1
TCGA-QR-A70T-01A,-63.534262433844,-11.6672279601706,-39.2852276974879,1
TCGA-QR-A70U-01A,-64.8059801678637,-6.42351512805068,-54.8678465891335,1
TCGA-QR-A70V-01A,-53.2374838406684,-13.969555884766,-36.2722600489345,1
TCGA-QR-A70W-01A,-62.8486217600449,-13.2378144555043,-48.9359569908222,1
TCGA-QR-A70X-01A,-55.4855623986632,-2.53837665342626,-54.9702096887519,1
TCGA-QT-A5XO-01A,-61.3721731298737,-16.9685642404803,-53.7925279360991,1
TCGA-RT-A6Y9-01A,-69.6686197993335,5.08542248023034,-45.1746563481386,1
TCGA-RW-A67W-01A,-69.7408234004141,-5.83296472078796,-43.7496238059141,1
TCGA-RW-A685-01A,-58.3570172244159,-4.20030169739284,-52.4173157865005,1
TCGA-RW-A686-01A,-40.0892324408845,-8.32909994557106,-50.8047723379136,1
TCGA-RW-A68A-01A,-51.3314542664222,-2.70291435692551,-51.6561142779299,1
TCGA-RW-A68B-01A,-50.7360698440438,-13.5157206140248,-48.5765485800583,1
TCGA-RW-A68F-01A,-65.6806412430902,-4.31670255657342,-42.2343251543948,1
TCGA-RW-A68G-01A,-64.8597632259679,-18.7604665581023,-45.8604523291505,1
TCGA-RW-A7D0-01A,-65.9806322202909,-13.0037968661701,-54.3952815395651,1
TCGA-S7-A7WR-01A,-57.1795242379104,-6.85759933815947,-48.4847665599464,1
TCGA-S7-A7WU-01A,-41.4177201417512,-7.80270183219251,-41.9005469847911,1
TCGA-S7-A7WW-01A,-53.006999288171,-15.3334255748571,-39.1529738542002,1
TCGA-SA-A6C2-01A,-51.3081530342935,-16.1773866104414,-33.5552489616935,1
TCGA-SP-A6QG-01A,-51.1358068999085,-13.0729175198299,-41.4747789833486,1
TCGA-SP-A6QI-01A,-55.2134761770307,-9.75905948429915,-55.8700385534045,1
TCGA-SP-A6QJ-01A,-49.370109757463,-7.4486236322821,-40.8169564404526,1
TCGA-SR-A6MT-01A,-59.3385493515235,-9.73907423649088,-41.0175392769252,1
TCGA-SR-A6MU-01A,-55.9046822713306,-15.2635748391061,-41.2555472914314,1
TCGA-W2-A7HB-01A,-57.1096469947574,-4.86842909729226,-47.4995705375492,1
TCGA-W2-A7HC-01A,-41.6680013482783,-4.40844324113398,-50.8700162788858,1
TCGA-W2-A7HE-01A,-53.1138461004174,-14.0715710313285,-37.8023589753681,1
TCGA-W2-A7HH-01A,-50.612462012502,-18.4175476778518,-36.7276434814664,1
TCGA-WB-A80L-01A,-50.6362612724935,3.42360808476364,-57.771947853089,1
TCGA-WB-A80M-01A,-66.8540310538803,3.6706240332102,-52.0338841174289,1
TCGA-WB-A80Q-01A,-62.3311790737209,-6.87738670503869,-48.7227309510288,1
TCGA-WB-A80V-01A,-64.06747931657,-4.77228264111405,-44.8196305946446,1
TCGA-WB-A815-01A,-67.3380828604914,-11.0442855781744,-57.4556023455963,1
TCGA-WB-A816-01A,-49.3642559797118,-9.75948720021646,-31.168723175906,1
TCGA-WB-A81A-01A,-59.4793847169605,-7.48966791703159,-57.9096831940528,1
TCGA-WB-A81E-01A,-47.9178591060335,3.67625952656142,-41.4367329786183,1
TCGA-WB-A81P-01A,-58.7874518181655,-12.5695234133378,-37.7369425462811,1
TCGA-WB-A81W-01A,-41.3473235740263,-2.43556721916483,-43.8874351807391,1
TCGA-WB-A821-01A,-56.6376847989956,0.663658470216412,-34.4619824459519,1
TCGA-P8-A6RX-01A,9.03233782463706,2.55360393361881,-13.4866702030452,2
TCGA-QR-A6GT-01A,10.4897048956205,4.32217250435393,-1.02715882391555,2
TCGA-QR-A6H6-01A,10.7786958418991,-1.20949645923289,-4.15047830017275,2
TCGA-QR-A703-01A,12.6128501228757,-4.71984521787381,-16.9234951047518,2
TCGA-QR-A70G-01B,13.3791167456327,0.0276443688330098,-22.7495463439284,2
TCGA-QR-A70J-01A,16.5005995303206,2.53371621068761,-16.4310026873897,2
TCGA-QR-A70N-01A,10.4186617165505,9.96587859501963,-11.8385063455317,2
TCGA-QR-A70O-01A,4.0975520880087,5.40969535723806,-27.4450027124446,2
TCGA-QT-A5XL-01A,16.5746772504107,-4.78357218544601,-8.68335866079535,2
TCGA-QT-A5XN-01A,7.49066102702392,-4.57432835417813,-13.7408922134689,2
TCGA-RW-A67V-01A,8.88291054860582,5.28401928694513,-29.9411626435861,2
TCGA-RW-A67X-01A,9.74296365366648,-6.65062801877892,-21.19532704194,2
TCGA-RW-A8AZ-01A,14.5909104223251,-3.58987399951658,-14.0523545468972,2
TCGA-S7-A7WL-01A,2.93603900790934,-1.48140780124519,-14.4427498650719,2
TCGA-S7-A7WN-01A,8.29307983769709,6.81615342693742,-8.83959914101454,2
TCGA-S7-A7WO-01A,0.647878069968381,5.56581789822337,-15.8171690431141,2
TCGA-S7-A7WP-01A,10.7869712851056,2.57093782193575,-19.9672510856701,2
TCGA-S7-A7X0-01A,4.66402359602622,-6.71064871891616,-13.7580664328478,2
TCGA-SP-A6QH-01A,1.36253790938863,-5.24056944526235,-4.82578809308225,2
TCGA-SR-A6MS-01A,-2.21974832990676,-3.68523392188238,-7.43152567839734,2
TCGA-SR-A6MX-01A,20.3872577203359,1.86641210664767,-22.4439810787488,2
TCGA-SR-A6N0-01A,7.72652507993081,1.97972003477834,-26.7474021737876,2
TCGA-WB-A80O-01A,19.1988395356091,-6.11796087914109,-5.59141268248913,2
TCGA-WB-A80Y-01A,7.96118269741132,11.4069810154965,-26.8899730903358,2
TCGA-WB-A81I-01A,2.16865485567699,7.15117259024481,-20.3609574521824,2
TCGA-WB-A822-01A,13.217623001205,6.47144812436649,-10.5371203158287,2
TCGA-QR-A6H3-01A,50.7018633056028,-16.2854664971684,189.381306124142,3
TCGA-QR-A6H5-01A,45.8325974269726,-19.4857430090172,193.636954457421,3
TCGA-QR-A7IN-01A,52.0803070951331,-23.3564066052166,280.983575737557,3
TCGA-QT-A5XM-01A,39.9291962355615,-30.8168606318145,189.971015443917,3
TCGA-QT-A5XP-01A,57.3511843399742,-22.0105507852597,186.399759880516,3
TCGA-RW-A689-01A,44.0892661366901,-31.2739584513988,195.615841915568,3
TCGA-RW-A68C-01A,43.933775353325,-11.1906687114964,197.91488864812,3
TCGA-RW-A68D-01A,50.9948796080384,-31.3405619253669,188.330003374371,3
TCGA-S7-A7WQ-01A,51.1155432489664,-13.1357638264702,196.529143370995,3
TCGA-S7-A7X1-01A,47.0285540826344,-32.052435343697,193.703540602303,3
TCGA-TT-A6YP-01A,50.0294442665255,-33.5722242725266,194.251342301008,3
TCGA-W2-A7UY-01A,45.8293316775648,-30.4571073039336,189.114329099264,3
TCGA-WB-A814-01A,55.7152132263384,-30.4392581905064,192.369469340232,3
TCGA-WB-A81G-01A,43.9059263237546,-14.8811872975103,189.41093688032,3
TCGA-WB-A820-01A,53.5511552214195,-19.4099704956328,192.330969957444,3
TCGA-P7-A5NX-01A,37.4321243648828,-7.25132204504431,24.4267781790406,4
TCGA-P8-A5KC-01A,55.1729845377203,-8.27677505712667,22.9689541645222,4
TCGA-PR-A5PG-01A,41.4205494600931,0.472012887859273,28.6348117358998,4
TCGA-QR-A6GO-01A,55.6457171589037,-11.9930121134888,20.0159873687226,4
TCGA-QR-A6GW-01A,44.7208243993308,-3.56983603142828,23.6315168694488,4
TCGA-QR-A6GX-01A,39.4236560759009,-13.523518768652,16.1687145658616,4
TCGA-QR-A6H4-01A,37.1564494195894,-12.9853489471643,16.9010475856602,4
TCGA-QR-A70A-01A,44.945154611527,-12.5359491472353,30.4837284025821,4
TCGA-QR-A70I-01A,30.2960552621526,3.13107823932931,28.4745080581484,4
TCGA-QR-A70K-01A,34.3802290973648,-1.42487760272835,21.8998284061616,4
TCGA-RM-A68T-01A,47.4610745714733,-17.0202882985023,12.1721106692655,4
TCGA-RM-A68W-01A,40.9049789240471,-13.1984135596025,28.5060206862782,4
TCGA-RT-A6YA-01A,40.5021698767945,-11.4540803780401,16.6782835711612,4
TCGA-RT-A6YC-01A,29.4488610589799,-14.0853870283827,23.8990148827983,4
TCGA-RW-A680-01A,42.8045321237122,-4.40112920639496,21.2847456214198,4
TCGA-RW-A684-01A,52.4323470748722,-8.37336726454514,31.4494855436491,4
TCGA-S7-A7WM-01A,31.9938093591083,-16.1982941395797,24.8649714143058,4
TCGA-S7-A7WT-01A,36.3860319638528,-6.1397973221307,30.8932128180792,4
TCGA-S7-A7WV-01A,46.4277515465534,-6.61187658820478,31.7725612262942,4
TCGA-SP-A6QC-01A,31.6984142437286,-5.23241658410688,22.7248593219841,4
TCGA-SP-A6QD-01A,39.1438634278939,-8.37567892243343,30.4675665076337,4
TCGA-SP-A6QF-01A,39.6767902709106,-0.0842119146897692,27.5348419916694,4
TCGA-SP-A6QK-01A,37.2367154602321,1.16178762671521,24.8257279773383,4
TCGA-SQ-A6I4-01A,42.6385665815291,-9.44802374091961,25.1646742863537,4
TCGA-SR-A6MP-01A,28.3067750662178,-3.30731278023374,33.4059794822791,4
