Sample,X,Y,Z,Cluster
TCGA-P7-A5NY-01A,-10.2941974945459,61.6804952218865,13.8966099071786,1
TCGA-P8-A5KD-01A,4.02606258285218,55.6872336976976,12.9016494158261,1
TCGA-P8-A6RY-01A,5.94340265836583,54.5482520760856,15.5400036349553,1
TCGA-PR-A5PG-01A,-11.3729424126672,62.7415024530436,13.0474869761276,1
TCGA-QR-A6GW-01A,-7.09322160048482,64.5410323652544,17.6932293179399,1
TCGA-QR-A702-01A,-4.56001059301893,57.8062826948862,11.0746512371841,1
TCGA-QR-A70E-01A,1.0237662110338,56.6904116767159,14.8849951283918,1
TCGA-QR-A70M-01A,-1.95245161921516,57.3859195575405,11.1437619790703,1
TCGA-QR-A70W-01A,-2.6376359656549,61.8719315870923,12.6529130440475,1
TCGA-QT-A5XK-01A,-1.28311594310825,61.0540593966106,14.7662546852027,1
TCGA-QT-A5XO-01A,4.47598098083029,59.2238334452692,12.5883120613489,1
TCGA-QT-A5XP-01A,0.342836688049919,57.5512782063434,15.1035954873021,1
TCGA-RX-A8JQ-01A,5.02135494405511,57.8359587251854,13.3639151099071,1
TCGA-S7-A7WL-01A,6.17263492090305,59.6101350172872,13.8337745550093,1
TCGA-S7-A7WR-01A,7.78644924739323,60.0543220757721,18.3614908744259,1
TCGA-S7-A7WX-01A,-0.0700993824333648,60.8109477131938,10.1421048891403,1
TCGA-S7-A7X2-01A,-7.00796598853919,55.6990383638613,15.6530726250907,1
TCGA-SP-A6QG-01A,2.32716459337708,54.5098025270223,10.4594435966577,1
TCGA-SP-A6QJ-01A,4.59368307122046,65.3028947460121,12.8579229704646,1
TCGA-SR-A6MP-01A,1.89008236677338,62.1839409732529,15.3272309228158,1
TCGA-SR-A6MQ-01A,-0.537572961183543,56.7034951618271,10.8221157225251,1
TCGA-SR-A6MX-01A,7.91391969921351,53.3585038936707,10.0923751897613,1
TCGA-SR-A6MZ-01A,2.90855264231094,62.4373248273767,13.9882379610372,1
TCGA-TT-A6YN-01A,-9.32438377947906,60.1631008324193,11.9468209354067,1
TCGA-W2-A7HA-01B,2.20257362140481,59.6588517271146,14.8586888879012,1
TCGA-W2-A7HB-01A,-9.624900602476,61.3530042975735,11.7856502116599,1
TCGA-W2-A7HC-01A,2.82570527170992,59.0350243847419,11.6201323601144,1
TCGA-W2-A7HD-01A,-6.73576340254644,98.2042667732846,11.1326550139946,1
TCGA-W2-A7HE-01A,2.01846746601229,60.1707121817587,11.3617645210614,1
TCGA-W2-A7HF-01A,3.20905574796727,58.9526815904186,12.9188430812415,1
TCGA-W2-A7HH-01A,-7.96070415099865,65.7771235116868,12.2391668143352,1
TCGA-WB-A80N-01A,-8.20219921195273,62.4345251087122,11.0227436984469,1
TCGA-WB-A80O-01A,4.07739970013302,60.6325829959086,13.831569703323,1
TCGA-WB-A80V-01A,3.15654793383073,64.7283050042788,16.5650466681192,1
TCGA-WB-A80Y-01A,-2.81590426205448,58.1160139758709,11.5703750710292,1
TCGA-WB-A815-01A,0.695183497350946,59.7617000383474,8.94616154436279,1
TCGA-WB-A818-01A,-3.87737031010251,58.8376840494468,11.4820555637607,1
TCGA-WB-A819-01A,-4.91182889048623,59.8590201389619,12.3526887193285,1
TCGA-WB-A81D-01A,0.73472142799917,57.4158737038361,14.4381420670771,1
TCGA-WB-A81F-01A,2.18669087442024,61.9201726583611,13.6084465877385,1
TCGA-WB-A81I-01A,-5.17016937808324,62.8946455949145,13.7979906519071,1
TCGA-WB-A81N-01A,-3.7790106402125,56.859308977835,15.9743478135102,1
TCGA-WB-A81Q-01A,1.6711481692312,55.7902334092988,11.4830958557579,1
TCGA-WB-A81R-01A,-7.75712917140833,59.5132929134661,12.3152793587037,1
TCGA-WB-A81T-01A,2.16101946396774,64.8702306806468,14.4770273539926,1
TCGA-WB-A81W-01A,-0.433603754604175,55.4142230669356,9.60291468038852,1
TCGA-WB-A820-01A,1.36501046660025,58.8735387268935,11.5903238291002,1
TCGA-WB-A821-01A,0.0618322990285777,59.0660491525204,7.88389578774409,1
TCGA-P7-A5NX-01A,-5.35735215261518,-32.4454721185691,-7.47454826769948,2
TCGA-P8-A5KC-01A,-15.4785634566209,-41.386235080821,-0.10516718345806,2
TCGA-P8-A6RX-01A,-12.161000456498,-46.4206907401476,-13.3882874502979,2
