Sample,X,Y,Z,Cluster
TCGA-QR-A6GO-01A,-51.9797169298833,106.171055024074,-122.144951230644,1
TCGA-QR-A6GR-01A,-52.6011566409969,104.868378010057,-125.341815313955,1
TCGA-QR-A6H0-01A,-45.5648768809525,100.920283859228,-121.771884371887,1
TCGA-QR-A6H2-01A,-44.0022206920925,111.104211291283,-121.565995413018,1
TCGA-QR-A6H3-01A,-48.3979474362911,108.480528255806,-121.703574641608,1
TCGA-QR-A6H4-01A,-43.5713413459291,111.480459877949,-121.487115760038,1
TCGA-QR-A6H5-01A,-43.9471253129958,103.620992804639,-120.875034790653,1
TCGA-QR-A6ZZ-01A,-47.6884611407257,105.549433655066,-121.29259924168,1
TCGA-QR-A703-01A,-51.9504483515219,105.549927441702,-120.678561179949,1
TCGA-QR-A705-01A,-51.5351687661896,106.037515574963,-120.701480633036,1
TCGA-QR-A70A-01A,-47.1704719897273,109.469600620301,-121.954249415311,1
TCGA-QR-A70C-01A,-45.3392322837449,100.328323391898,-121.884531406859,1
TCGA-QR-A70G-01B,-45.0219127503858,106.256925185606,-121.720813562169,1
TCGA-QR-A70J-01A,-44.7757122097304,102.877669759715,-121.231600203476,1
TCGA-QR-A70M-01A,-50.78002425562,107.598843242068,-123.346662331871,1
TCGA-QR-A70N-01A,-45.8114064478018,106.17383071167,-120.620715310245,1
TCGA-QR-A70O-01A,-45.583745319503,109.622202337231,-121.616213151566,1
TCGA-QR-A70Q-01A,-52.6518597347562,104.730684189558,-120.856216785652,1
TCGA-QR-A70T-01A,-45.4824806991484,106.398324040561,-120.287789172527,1
TCGA-QR-A7IN-01A,-45.0194621288939,111.596337355029,-121.005751724269,1
TCGA-QT-A5XJ-01A,-47.5166236965794,108.252550277528,-125.520986085647,1
TCGA-QT-A5XL-01A,-47.3872802518806,110.694504289954,-120.512427595527,1
TCGA-RM-A68W-01A,-52.0859493056009,105.575662426131,-120.885664845652,1
TCGA-RW-A67V-01A,-45.13802457208,110.458544919156,-121.428950757422,1
TCGA-RW-A67W-01A,-44.0454035991269,110.679246203553,-121.783143857525,1
TCGA-RW-A67X-01A,-47.6007747321491,106.570724909236,-121.786831835454,1
TCGA-RW-A680-01A,-49.550955625506,109.298420606407,-120.488363297024,1
TCGA-RW-A684-01A,-52.5616497140848,105.520165311692,-125.441360391717,1
TCGA-RW-A68C-01A,-47.7889431666868,105.162568727479,-121.267494456987,1
TCGA-RW-A68F-01A,-43.7180150393886,104.082973939126,-120.674783527184,1
TCGA-RW-A68G-01A,-46.7634760989387,110.152573818268,-121.354737773123,1
TCGA-RW-A8AZ-01A,-51.1609045588646,108.513846700842,-121.913699233514,1
TCGA-S7-A7WO-01A,-49.0752229427161,107.702158345569,-122.982028522242,1
TCGA-S7-A7WP-01A,-48.6442800645207,107.484447052142,-121.826896110197,1
TCGA-S7-A7WQ-01A,-43.3522442667659,104.51194497228,-120.448150579853,1
TCGA-S7-A7X1-01A,-46.1923447213114,105.875320267562,-121.240622621582,1
TCGA-S7-A7X2-01A,-52.5585076027901,105.525040360772,-125.354836310482,1
TCGA-SP-A6QF-01A,-44.217590322886,112.139744977406,-120.890934077606,1
TCGA-SP-A6QK-01A,-50.5440456387453,108.19334321167,-122.17691824255,1
TCGA-SR-A6MR-01A,-46.2197451617749,100.791400953574,-121.526388962208,1
TCGA-SR-A6MS-01A,-52.4617035842778,106.817734282491,-124.380652904903,1
TCGA-SR-A6MU-01A,-50.8349785857895,107.941313283049,-122.424901424211,1
TCGA-SR-A6MV-01A,-49.2946641349774,109.353706892429,-120.554269077774,1
TCGA-SR-A6MY-01A,-46.3048544339551,100.786196327078,-121.510674138769,1
TCGA-SR-A6N0-01A,-49.0304933205855,107.617159441585,-123.147369207774,1
TCGA-TT-A6YO-01A,-49.9683007117622,108.063264174448,-122.044530347881,1
TCGA-TT-A6YP-01A,-44.5417080393105,103.070789565535,-121.155950378179,1
TCGA-W2-A7H7-01A,-52.0118972589341,105.631854224315,-121.580684643477,1
TCGA-W2-A7UY-01A,-48.8790702965113,107.82153833912,-121.862340343019,1
TCGA-WB-A80L-01A,-51.0029355488517,108.82113538035,-121.679752327689,1
TCGA-WB-A80Q-01A,-46.650449250902,106.226527322197,-122.174703620361,1
TCGA-WB-A814-01A,-52.1354506215733,105.787154734631,-120.886100659084,1
TCGA-WB-A816-01A,-47.8072840436844,108.173354428357,-125.155794007004,1
TCGA-WB-A817-01A,-44.2653707046859,112.217726306049,-120.841781575221,1
TCGA-WB-A81I-01A,-47.5542102606701,109.596497611605,-122.742395052887,1
TCGA-WB-A81K-01A,-52.4172389956978,106.537356607212,-124.709937673731,1
TCGA-XG-A823-01A,-49.4111189886842,108.432289347226,-121.569322512112,1
TCGA-P7-A5NX-01A,42.9599595599565,-71.0567776854965,93.302459355836,2
TCGA-P7-A5NY-01A,45.8013250535589,-73.5741537011826,89.8863022404511,2
TCGA-P8-A5KC-01A,47.5910220915696,-72.6518068220629,95.2227491078993,2
TCGA-P8-A5KD-01A,44.0572737790023,-73.0722702799178,92.1913535800618,2
TCGA-P8-A6RX-01A,46.0781979993306,-78.5428613614523,83.2248899980594,2
TCGA-PR-A5PF-01A,48.0699181939235,-74.7621102240449,90.9151943526591,2
TCGA-PR-A5PG-01A,46.4215486038988,-74.358089017859,90.5968846071688,2
TCGA-PR-A5PH-01A,48.051909137468,-74.7003599710695,90.9434215770203,2
TCGA-QR-A6GS-01A,38.6735659928188,-74.3443043596407,92.2352467881045,2
TCGA-QR-A6GW-01A,47.0191325758541,-72.5430698195097,89.2142471602617,2
TCGA-QR-A6GY-01A,35.9385790633495,-74.1573758663677,92.036065888175,2
TCGA-QR-A6H1-01A,33.6544411684157,-78.2390676979124,95.2682883570073,2
TCGA-QR-A700-01A,46.2734740023783,-77.809097705674,83.2405864804885,2
TCGA-QR-A702-01A,39.5703095781622,-75.855631017226,88.5689144442997,2
TCGA-QR-A707-01A,42.6460992661455,-77.4084115485287,87.6924596267269,2
TCGA-QR-A708-01A,44.8813619067154,-71.5332343908176,97.0417625609768,2
TCGA-QR-A70E-01A,49.2200838483895,-79.0503923240864,85.987503348018,2
TCGA-QR-A70H-01A,48.2950754223455,-72.5890230398578,94.7505617386955,2
TCGA-QR-A70K-01A,45.9995389054115,-74.9881144852404,85.1800420556984,2
TCGA-QR-A70R-01A,39.6101525451777,-74.884422038513,95.8395181893236,2
TCGA-QR-A70U-01A,34.9170678643477,-77.4561693366503,94.9366169233511,2
TCGA-QR-A70V-01A,35.9398997120615,-78.8450243571795,94.9684359290839,2
TCGA-QR-A70W-01A,35.0481402524832,-77.8384058627601,94.8674213108347,2
TCGA-QR-A70X-01A,47.5079467434201,-79.7912248904472,81.7205170301069,2
TCGA-QT-A5XK-01A,44.2022075687411,-70.8947548273885,95.6029950490644,2
TCGA-QT-A5XM-01A,46.3613483274849,-72.7040279364735,96.4813215238981,2
TCGA-QT-A5XN-01A,41.1211051283771,-76.5672862487551,87.7691753220567,2
