Sample,X,Y,Z,Cluster
TCGA-P7-A5NY-01A,-17.2514613563201,88.4895765729898,48.880891582053,1
TCGA-P8-A5KD-01A,-15.0789067524312,83.9216668545377,48.9492703153059,1
TCGA-PR-A5PG-01A,-11.550010247201,82.1379093017727,55.4721623539543,1
TCGA-QR-A6GO-01A,-13.4873749074672,80.9634607243239,60.0856452302346,1
TCGA-QR-A6GR-01A,-16.8427191936786,83.5907364685661,57.6128405068497,1
TCGA-QR-A6GS-01A,-16.0127778727057,83.5304254880277,54.0462312602889,1
TCGA-QR-A6GW-01A,-12.3233925856115,88.7263853479652,50.1989168991245,1
TCGA-QR-A6GY-01A,-11.0909195786954,76.5914217511247,59.7443506209205,1
TCGA-QR-A6H1-01A,-9.04664565432219,81.8120600598218,57.2313395719154,1
TCGA-QR-A6H2-01A,-4.92586527933683,79.6342232791391,58.799573170404,1
TCGA-QR-A702-01A,-17.84043780683,87.5172558016642,51.5789560785096,1
TCGA-QR-A707-01A,-13.7502530875858,84.6141368441289,54.9483657959778,1
TCGA-QR-A70D-01A,-11.8777066096862,80.5132034596197,53.9106743233878,1
TCGA-QR-A70E-01A,-13.1651656314195,80.196495297621,60.994819326529,1
TCGA-QR-A70G-01B,-12.8061087145421,89.1800057160079,49.8913250826016,1
TCGA-QR-A70H-01A,-15.1803485627337,83.2391903930321,59.8333258898876,1
TCGA-QR-A70K-01A,-12.2477050930071,84.1158641003541,54.5968297347153,1
TCGA-QR-A70M-01A,-18.1522647465442,79.5303951921566,53.2484008886383,1
TCGA-QR-A70O-01A,-5.72704845442569,80.0316871046292,54.9851745085839,1
TCGA-QR-A70R-01A,-5.97806861334504,79.9065651888421,58.6886326222045,1
TCGA-QR-A70U-01A,-15.9808846380192,93.4643420865882,39.7265588112218,1
TCGA-QR-A70V-01A,-10.4048546017559,77.0686124880036,47.925926987681,1
TCGA-QR-A70W-01A,-8.51225702577418,73.50468070259,52.0511664852413,1
TCGA-QT-A5XM-01A,-9.86901475796546,85.4332674421538,56.6134747683117,1
TCGA-QT-A5XN-01A,-14.8230981303698,87.8182367874285,53.2498258826444,1
TCGA-QT-A5XO-01A,-9.34712795352968,80.469892628942,47.2233102675937,1
TCGA-QT-A5XP-01A,-14.7297024195684,82.3078373977149,57.5797379863249,1
TCGA-QT-A69Q-01A,-8.45232796529096,85.523194385716,56.6891126879384,1
TCGA-RT-A6Y9-01A,-4.02190796023977,76.4402775695531,59.8898174424376,1
TCGA-RT-A6YA-01A,-15.1659084279492,79.230671200145,56.0504477221386,1
TCGA-RT-A6YC-01A,-12.1117780457316,81.8528745421493,60.426105530696,1
TCGA-RW-A67V-01A,-6.05268964713915,84.5103355415399,51.9581040763192,1
TCGA-RW-A67W-01A,-12.6723774000227,78.9944563425275,53.6922005355491,1
TCGA-RW-A67Y-01A,-14.3152040097874,73.0042454375719,51.2825465328269,1
TCGA-RW-A680-01A,-4.97292710981542,81.9923291742078,52.1615232500366,1
TCGA-RW-A685-01A,-14.7977464493931,78.2062926935096,48.1479925426555,1
TCGA-RW-A689-01A,-10.9278132586513,84.9885266153389,56.2778295418567,1
TCGA-RW-A68A-01A,-12.0106592417337,87.0743821451792,55.1398150576156,1
TCGA-RW-A68B-01A,-16.8284933741563,81.8528338599685,58.2117864067852,1
TCGA-RW-A68G-01A,-11.4949200483859,83.5613938655138,51.7862438479736,1
TCGA-RW-A7D0-01A,-15.5089296714668,81.6344293504261,59.9024997072943,1
TCGA-RX-A8JQ-01A,-14.3305707592729,78.9677901184452,59.7738970610906,1
TCGA-S7-A7WL-01A,-15.6896136127496,82.8214642060439,60.2122590745932,1
TCGA-S7-A7WM-01A,-6.81411300198738,81.8914199301384,56.7772290126762,1
TCGA-S7-A7WN-01A,-10.8722352071101,81.7034134816416,56.9205878399509,1
TCGA-S7-A7WR-01A,-20.2619811561823,81.2660514599055,52.9719038291346,1
TCGA-S7-A7WT-01A,-12.8801476958141,78.406776099676,56.9079857601315,1
TCGA-S7-A7WX-01A,-11.7416632843689,80.3419769298057,53.7621579118079,1
TCGA-S7-A7X2-01A,-20.5847750159597,86.6279455929194,51.0993261005614,1
TCGA-SP-A6QH-01A,-8.29344178614731,72.1934001317563,52.6986845955493,1
TCGA-SP-A6QI-01A,-16.9259415183962,86.3760403876514,52.8644757889304,1
TCGA-SQ-A6I4-01A,-11.3756937489993,80.371841413149,56.1690522156054,1
TCGA-SQ-A6I6-01A,-18.9283915047409,80.2050880921849,61.5517765613218,1
TCGA-SR-A6MP-01A,-10.5327634266307,80.8548616084717,58.6806374205729,1
TCGA-SR-A6MR-01A,-7.65703195000345,71.7727913793616,54.1659274161191,1
TCGA-SR-A6MS-01A,-13.5661611224338,85.5907362612014,50.1829798385606,1
TCGA-SR-A6MY-01A,-14.6738335365372,82.3802239608984,57.3780064959411,1
TCGA-TT-A6YN-01A,-10.2285234696351,85.4950783813445,56.8293821855383,1
TCGA-W2-A7HA-01B,-10.3998889537917,82.738260251774,56.380804318222,1
TCGA-W2-A7HB-01A,-18.9101706958756,80.9732410571998,55.2493202860927,1
TCGA-W2-A7HC-01A,-16.1072917496881,88.981468653876,48.3403380081168,1
TCGA-W2-A7HD-01A,-20.6307626033432,81.1112084943461,52.2717931106401,1
TCGA-W2-A7HH-01A,-4.99270678650283,80.1518175506808,53.9662928094485,1
TCGA-WB-A80N-01A,-12.1825968574808,82.1785043602763,52.7591284714025,1
TCGA-WB-A80O-01A,-13.7819970641298,85.6368080800771,54.0428629162638,1
TCGA-WB-A80V-01A,-20.3908005660439,86.1476230981129,48.0609609213142,1
TCGA-WB-A815-01A,-10.6396603233895,82.0575901504732,52.1287506987385,1
TCGA-WB-A818-01A,-9.98076385665373,79.5105246572299,54.3570364781947,1
TCGA-WB-A819-01A,-13.9764212906899,82.9476069556845,55.3432582912707,1
TCGA-WB-A81A-01A,-3.49985682135504,82.1392779139393,58.9223963435632,1
TCGA-WB-A81D-01A,-20.5380338754033,87.4883899081003,45.714126711077,1
TCGA-WB-A81F-01A,-6.82816123231831,85.4716696673758,55.2770170340967,1
TCGA-WB-A81K-01A,-8.24777013432385,86.8535009251385,53.3263712684689,1
TCGA-WB-A81N-01A,-6.47357500523487,80.0140549574765,50.5400471606825,1
TCGA-WB-A81P-01A,-11.9861982025821,86.0097548753643,56.1577101036363,1
TCGA-WB-A81Q-01A,-13.5657342070171,82.6822389756326,61.1366628647286,1
TCGA-WB-A81S-01A,-9.15454236898404,82.6970144670513,58.2657827898664,1
TCGA-WB-A81T-01A,-12.0761899985615,83.4702927318424,56.0978965840635,1
TCGA-WB-A81W-01A,-19.393842963156,84.5277023950902,56.1810257484029,1
TCGA-WB-A821-01A,-7.25204180637823,77.2477772152056,59.5832358837805,1
TCGA-P7-A5NX-01A,7.44875459814435,-63.7692816352202,-42.1492196923065,2
TCGA-P8-A5KC-01A,13.5657006775079,-72.9971246169172,-44.1711388072599,2
TCGA-P8-A6RX-01A,8.27896395546379,-61.9709655633146,-46.3711980782091,2
TCGA-P8-A6RY-01A,17.3269522767571,-68.8880103450582,-45.1782916833072,2
TCGA-PR-A5PF-01A,5.70853346540697,-79.2946540488739,-40.5782380717433,2
TCGA-PR-A5PH-01A,12.8443627970404,-76.4290144533792,-39.2939787414215,2
TCGA-QR-A6GT-01A,11.6082712693645,-60.5449411675835,-46.6777071541564,2
TCGA-QR-A6GU-01A,7.29148961229475,-65.6152576317045,-40.9099401460343,2
TCGA-QR-A6GX-01A,12.8645961241252,-67.7421656440665,-44.3268023093655,2
TCGA-QR-A6H0-01A,15.5370028816216,-62.5449407503888,-42.6550365197245,2
TCGA-QR-A6H3-01A,12.5130402573293,-65.2428953581581,-46.7223326712889,2
TCGA-QR-A6H4-01A,9.79667874929985,-72.8836212515406,-40.0064466822441,2
TCGA-QR-A6H5-01A,8.96739504545847,-67.1630812254486,-45.1280517205057,2
TCGA-QR-A6H6-01A,9.70235054166518,-63.2119039282529,-44.3704569122483,2
TCGA-QR-A6ZZ-01A,7.90682301545127,-62.7971248015953,-42.5403440046538,2
TCGA-QR-A700-01A,3.59239991263928,-60.5296718565852,-45.7176796317729,2
TCGA-QR-A703-01A,11.9240712685978,-63.7354132162016,-47.4068587902957,2
TCGA-QR-A705-01A,13.6441127253672,-69.3282341189012,-51.8743398062092,2
TCGA-QR-A706-01A,12.5958866245037,-62.578314779112,-42.6668379823602,2
TCGA-QR-A708-01A,11.0564476021238,-70.1394861110963,-47.4105938559873,2
TCGA-QR-A70A-01A,12.4469734189821,-65.9109310472428,-54.1057225002056,2
TCGA-QR-A70C-01A,9.44428272452636,-71.8869062128264,-42.7384700525375,2
TCGA-QR-A70I-01A,7.94607895673601,-66.4615250197843,-41.2871678512333,2
TCGA-QR-A70J-01A,15.6679854529016,-66.2046516562252,-45.2370654857568,2
TCGA-QR-A70N-01A,8.8834993209828,-63.5031154904518,-49.5659600530696,2
TCGA-QR-A70P-01A,1.87135337701477,-61.536962850106,-47.98295226827,2
