Sample,X,Y,Z,Cluster
TCGA-AF-2687-01A,74.5543096307804,-22.5055006599547,40.0352581170487,1
TCGA-AF-2690-01A,75.4892150467001,-23.4807046377925,43.2107145977206,1
TCGA-AF-2692-01A,71.688486846908,-21.2752947471548,39.9000436899125,1
TCGA-AF-3911-01A,75.0014191583354,-23.4754741264872,44.4288706770193,1
TCGA-AF-3913-01A,74.0528965828522,-20.2869397517789,40.7238183699817,1
TCGA-AF-4110-01A,86.5975931896102,-16.9100403459097,32.5839064229891,1
TCGA-AF-A56K-01A,76.8141540971219,-23.7016230976741,37.9852513574501,1
TCGA-AF-A56L-01A,80.8824761583375,-23.398091543554,36.9014208979877,1
TCGA-AF-A56N-01A,67.3412180047853,-21.4480860284436,39.5642750190663,1
TCGA-AG-3574-01A,86.5496497784333,-16.9171129750391,32.5812621324144,1
TCGA-AG-3575-01A,78.3253707209932,-14.4952122703788,33.8722949902118,1
TCGA-AG-3581-01A,85.3577428190501,-18.7275069664139,33.5491940795389,1
TCGA-AG-3582-01A,73.9234736310777,-23.327508000874,43.2381748746586,1
TCGA-AG-3583-01A,78.5296062379451,-15.1042868421225,31.9920727520235,1
TCGA-AG-3584-01A,77.630631438645,-18.0128247083159,34.9072091918452,1
TCGA-AG-3586-01A,78.3055532621073,-20.4651250499147,39.4428791972096,1
TCGA-AG-3587-01A,76.1738010352748,-23.1774716932635,41.7559656432055,1
TCGA-AG-3592-01A,70.8537143584327,-22.1695678267896,42.5998828085326,1
TCGA-AG-3593-01A,77.0409934229374,-17.3358024801531,34.2237795872023,1
TCGA-AG-3598-01A,78.4262833214039,-14.207032698073,32.9511735992037,1
TCGA-AG-3599-01A,79.7743283955237,-20.5220865960107,38.6647488423043,1
TCGA-AG-3600-01A,74.3822054249664,-19.336925327906,33.1512357956142,1
TCGA-AG-3601-01A,83.7363621154922,-19.5784245807833,37.371976378518,1
TCGA-AG-3602-01A,78.411278211451,-14.4125948034313,33.2161809539,1
TCGA-AG-3605-01A,77.0567333582662,-17.5108953845856,34.3245218197026,1
TCGA-AG-3608-01A,78.2152422753058,-14.9498967458717,34.4920577240346,1
TCGA-AG-3609-01A,76.9437443680542,-24.8759389119309,40.1668958037167,1
TCGA-AG-3612-01A,77.519424843428,-22.507811314438,40.2224020785002,1
TCGA-AG-3726-01A,83.0164806715568,-20.307212714058,33.1692577233229,1
TCGA-AG-3727-01A,82.8025606743944,-20.4446192944564,32.5933147075593,1
TCGA-AG-3728-01A,82.277498141533,-21.1644395525483,35.4917112893903,1
TCGA-AG-3731-01A,67.1322735448761,-21.2861336192846,42.0968140984514,1
TCGA-AG-3878-01A,82.8965686695825,-20.5422198459323,32.533831497022,1
TCGA-AG-3881-01A,81.4972270861252,-19.6129903044486,33.3739998155114,1
TCGA-AG-3882-01A,82.4042810732171,-20.4656041902972,34.2195865689321,1
TCGA-AG-3883-01A,81.5132869858927,-19.5017454605195,33.519915994376,1
TCGA-AG-3885-01A,81.7823844095765,-20.2999788831212,33.6855463251127,1
TCGA-AG-3887-01A,77.7768785889174,-21.9362100139137,40.5357320890374,1
TCGA-AG-3890-01A,81.2387881631388,-20.4309535106364,38.4683709580404,1
TCGA-AG-3892-01A,78.4015120679347,-14.4171577491799,34.8983696808587,1
TCGA-AG-3894-01A,79.4886530081727,-20.5602080955725,38.7815019794822,1
TCGA-AG-3896-01A,80.8281230107505,-20.3581381326011,36.8383296481377,1
TCGA-AG-3898-01A,78.1865176925634,-14.9172879664281,34.5215341591436,1
TCGA-AG-3902-01A,75.1785192593498,-18.8428549249212,34.1803397672846,1
TCGA-AG-3909-01A,86.3235252892315,-18.8703186622182,35.9144994190706,1
TCGA-AG-3999-01A,81.792828083555,-21.3919370661533,34.4221116040399,1
TCGA-AG-4001-01A,81.4559474508497,-22.2979955605004,36.5944022825462,1
TCGA-AG-4005-01A,74.8441078583456,-22.4951185058918,39.9446519884854,1
TCGA-AG-4007-01A,81.370594411801,-20.1923081794169,37.9614187165471,1
TCGA-AG-4008-01A,76.8128044076826,-23.4934721735574,45.0567423078702,1
TCGA-AG-4015-01A,77.6623207066596,-18.4774189429418,35.377223771771,1
TCGA-AG-A00H-01A,77.0151342075028,-23.4814961404848,44.0119870915733,1
TCGA-AG-A00Y-01A,76.7345671134429,-22.7513808114367,39.4782445051024,1
TCGA-AG-A011-01A,86.3227234885951,-19.0180700785546,36.4012333119875,1
TCGA-AG-A014-01A,75.7053687190706,-23.3012341461211,41.2120992780314,1
TCGA-AG-A016-01A,81.826908647639,-20.8062031365795,35.2298671878427,1
TCGA-AG-A01J-01A,86.4697599841002,-18.7963207664647,35.8569727235008,1
TCGA-AG-A01L-01A,84.5684216000578,-19.2945183286503,33.3679319078195,1
TCGA-AG-A01N-01A,84.4624163266134,-19.3387243885857,33.3877548786262,1
TCGA-AG-A01W-01A,75.7532294846218,-18.446770802551,34.5941585000632,1
TCGA-AG-A01Y-01A,74.6587815193004,-19.2298443854168,33.4466765784425,1
TCGA-AG-A020-01A,68.6311396093553,-20.0620096662042,39.7610069668537,1
TCGA-AG-A023-01A,76.484926906167,-23.4789473814092,42.4857052143835,1
TCGA-AG-A025-01A,81.7157708920447,-20.7067124194209,32.737169470723,1
TCGA-AG-A026-01A,83.7065283745514,-20.3826810553589,32.8517859725081,1
TCGA-AG-A02G-01A,76.7945502600132,-23.454385112824,38.4174644865411,1
TCGA-AG-A02X-01A,81.3663935863768,-19.8656342060348,39.2181991671305,1
TCGA-AG-A032-01A,81.5229036887511,-21.8748939817852,36.4993915296294,1
TCGA-AG-A036-01A,72.660664982222,-21.800994044651,40.118071739572,1
TCGA-AH-6549-01A,68.160407802721,-21.9598528866601,42.7071630393176,1
TCGA-AH-6643-01A,76.507466581277,-24.0698446859277,42.131064615989,1
TCGA-AH-6897-01A,68.4633089150688,-22.3746943037579,43.1607040556963,1
TCGA-CI-6619-01B,76.2317906537572,-24.1821454991839,44.1919171721022,1
TCGA-CI-6620-01A,67.4066196345562,-21.4478987370896,42.097078120477,1
TCGA-CI-6621-01A,71.7267506932267,-21.271276887802,39.8341191073535,1
TCGA-CI-6623-01B,74.4107916599241,-23.3759666643692,43.4582943930204,1
TCGA-CL-4957-01A,71.616339815642,-21.7772556595298,41.4719113514837,1
TCGA-CL-5917-01A,66.5321511391444,-20.9897694723063,41.2789014862641,1
TCGA-DC-4745-01A,71.7955217850863,-22.0586729064362,42.2483811695116,1
TCGA-DC-4749-01A,76.979910588277,-17.0088279713817,33.6460050869824,1
TCGA-DC-5869-01A,74.3405594302809,-23.3085327103935,44.6348370466586,1
