Sample,X,Y,Z,Cluster
TCGA-AF-2691-01A,-22.0919416429395,15.4406677414389,10.4682224973489,1
TCGA-AF-2692-01A,-27.8000986631158,12.2482060828719,13.4787586895859,1
TCGA-AF-2693-01A,-23.4112965232587,18.212746103862,12.4621641461794,1
TCGA-AF-3400-01A,-24.3445297281014,17.4544741498772,13.7397696717722,1
TCGA-AF-4110-01A,-21.4321370942744,12.5221677619932,16.6337734552798,1
TCGA-AF-5654-01A,-21.4243832221432,10.2617376564618,15.818727722448,1
TCGA-AF-A56N-01A,-25.2657697989298,7.34275767288438,18.411515456268,1
TCGA-AG-3574-01A,-20.6942572213635,10.516570858815,17.9405238321994,1
TCGA-AG-3575-01A,-26.0433538398426,13.6444648891025,16.0908268107089,1
TCGA-AG-3580-01A,-22.2708308348151,8.61468316517252,16.3272784694732,1
TCGA-AG-3583-01A,-23.3456363639912,10.6239954012275,12.4312154298958,1
TCGA-AG-3586-01A,-25.8086541042388,17.6484695255574,11.3047420380521,1
TCGA-AG-3599-01A,-22.5343261535557,13.9433512391426,9.8580123907272,1
TCGA-AG-3602-01A,-21.4395748269922,11.5681682724966,16.0805720468651,1
TCGA-AG-3725-01A,-27.1092370011567,19.991030285476,11.5110600409098,1
TCGA-AG-3726-01A,-22.1098633653069,16.3855258101136,17.9874623522451,1
TCGA-AG-3727-01A,-23.6540459751023,11.4799781741324,13.0791629684107,1
TCGA-AG-3731-01A,-24.91168922112,12.0145586828481,21.7358236852903,1
TCGA-AG-3878-01A,-24.958092386853,12.1421594340417,13.7758239308785,1
TCGA-AG-3882-01A,-25.4304957656926,10.2019456760586,12.169367777288,1
TCGA-AG-3890-01A,-22.1401745460326,14.2219911104226,10.3228079153266,1
TCGA-AG-3892-01A,-22.6868274783029,15.6775732910236,12.3278687180954,1
TCGA-AG-3894-01A,-24.614740144842,16.5981901930932,16.3120771515784,1
TCGA-AG-3909-01A,-27.3659390032579,11.8953570405595,19.5125197627702,1
TCGA-AG-4007-01A,-21.9289132049774,17.3796721330155,15.6451484429978,1
TCGA-AG-4022-01A,-22.6331713984935,18.9598748315275,16.4745422684333,1
TCGA-AG-A015-01A,-25.5099968128814,13.5496769961044,10.984967387159,1
TCGA-AG-A01J-01A,-25.5288944841119,15.8791585320926,14.4889755275359,1
TCGA-AG-A01L-01A,-24.2522576155131,15.3071875055549,10.4812275469101,1
TCGA-AG-A023-01A,-24.6363897413782,19.9455947902339,13.6708697191615,1
TCGA-AG-A025-01A,-23.5721097387257,14.303142984438,17.0557578661485,1
