Sample,X,Y,Z,Cluster
TCGA-AF-2687-01A,-25.248437761662,-48.2297809891673,32.1744785656227,1
TCGA-AF-2690-01A,-26.9800625775695,-53.6309467859604,39.4295518046071,1
TCGA-AF-2693-01A,-29.2736699108583,-49.6943961333137,25.9185625419286,1
TCGA-AF-3911-01A,-29.2327072730324,-47.4427650609763,33.1136288888914,1
TCGA-AF-4110-01A,-15.1019782593684,-44.0389126817598,30.8667143598717,1
TCGA-AF-5654-01A,-29.3988873132087,-52.4598715949988,25.4424878073244,1
TCGA-AF-6136-01A,-24.7673233966408,-50.64680123574,37.6954982880089,1
TCGA-AF-A56K-01A,-32.6387707908258,-46.5418446584451,20.183947620185,1
TCGA-AF-A56N-01A,-28.9897963226378,-42.4694083201578,21.7659918836526,1
TCGA-AG-3575-01A,-32.5953701944296,-54.9826974899957,27.009280702556,1
TCGA-AG-3592-01A,-23.3401887913276,-46.0795154368957,32.5905711285078,1
TCGA-AG-3593-01A,-21.6601181263583,-55.259423799192,40.7589469813016,1
TCGA-AG-3725-01A,-30.1187861208191,-57.0012203408988,33.716192134348,1
TCGA-AG-3732-01A,-24.6471550148461,-46.476710964338,25.8942646848978,1
TCGA-AG-3901-01A,-27.2751145116844,-54.8688900489071,24.7628322837572,1
TCGA-AG-4001-01A,-35.7121163789972,-57.3382971003758,34.3398289998491,1
TCGA-AG-4008-01A,-32.70526959754,-50.746859453282,31.1594437119402,1
TCGA-AG-4015-01A,-26.6423872410968,-54.6247051208144,35.1907871620001,1
TCGA-AG-4021-01A,-29.2141769927221,-50.6150328491854,38.2605869284781,1
TCGA-AG-4022-01A,-29.4087768276859,-46.3956763578045,30.3896693016172,1
TCGA-AG-A015-01A,-22.6987856624056,-57.7317652620997,42.4185875691898,1
TCGA-AG-A01Y-01A,-29.3889340902933,-50.9802848075243,33.9927721137174,1
TCGA-AG-A02G-01A,-30.2578030301066,-45.2455250981572,29.6766174037647,1
TCGA-AH-6549-01A,-23.5172982396031,-45.0898574819957,32.0815575518415,1
TCGA-BM-6198-01A,-23.8299826377209,-52.4334062766554,25.3335364121289,1
TCGA-CI-6619-01B,-16.4501564890251,-51.9836330002615,38.7814776588226,1
TCGA-CI-6620-01A,-29.9602701054992,-51.9485953831142,18.6491956259601,1
TCGA-CI-6621-01A,-20.987355612049,-48.4256981528133,28.8413077224658,1
TCGA-CI-6623-01B,-20.6614874953186,-41.9902156731979,33.4763697621431,1
TCGA-CI-6624-01C,-23.1425433722469,-47.8226201969972,33.7204780667091,1
TCGA-CL-5917-01A,-20.9219604576666,-46.6777272965808,33.1605362253329,1
TCGA-DC-5869-01A,-24.2616521251513,-55.3383182369754,28.5408417012401,1
TCGA-DC-6154-01A,-34.6680000431632,-49.6514240028163,37.6398900835107,1
TCGA-DC-6156-01A,-16.496563151317,-46.916506423444,30.2143847594944,1
TCGA-DC-6157-01A,-20.2238563606487,-54.7809349695285,32.1855348299676,1
TCGA-DC-6158-01A,-26.2912706118383,-51.7738815990754,33.7242465541463,1
TCGA-DC-6160-01A,-22.0213168462528,-46.7618104660657,31.6415600910093,1
TCGA-DC-6682-01A,-32.4073885173984,-51.885372748596,20.7568053768539,1
TCGA-DT-5265-01A,-30.1543856518431,-51.9697235740761,18.3807358496707,1
TCGA-DY-A0XA-01A,-19.2206940027313,-55.6974419097211,31.3200260190672,1
TCGA-DY-A1DC-01A,-30.2933534345889,-54.5553700079179,32.5623458993815,1
TCGA-DY-A1DD-01A,-29.5302877714817,-44.7181161956236,28.7206509162542,1
TCGA-DY-A1DE-01A,-26.659289089054,-53.210388431818,32.867535067852,1
TCGA-DY-A1DF-01A,-33.6262570315641,-52.3094118908898,19.6278463297681,1
TCGA-DY-A1DG-01A,-30.9945857697227,-55.8148172750377,25.9008631321258,1
TCGA-EF-5830-01A,-25.6412543456699,-52.1840742670107,35.0853424788059,1
TCGA-EF-5831-01A,-30.7625300355952,-51.9482114584326,33.5803288503479,1
TCGA-EI-6507-01A,-25.0722607211882,-45.7578087402329,20.6535894319323,1
TCGA-EI-6509-01A,-19.3470097371372,-49.0908117248972,34.1954344563771,1
TCGA-EI-6510-01A,-24.9437512294629,-48.6212921450093,31.0212164765046,1
TCGA-EI-6513-01A,-21.6560552635647,-54.7455438378573,40.1511477684991,1
TCGA-EI-6514-01A,-16.3274445643735,-49.885277719299,26.5076245999631,1
TCGA-EI-6884-01A,-30.0544170946629,-45.9689287933491,28.9834703979783,1
TCGA-EI-6885-01A,-24.4331808743971,-50.9314836629942,36.7126363195952,1
TCGA-F5-6464-01A,-23.7797814140807,-50.30430835642,32.0972837337871,1
TCGA-F5-6571-01A,-30.3600293160685,-49.4665683178678,34.566765184313,1
TCGA-F5-6702-01A,-24.0730513227732,-50.0835487735235,37.1187297133703,1
TCGA-F5-6810-01A,-28.3615974281804,-48.7782614481756,34.2666709554676,1
TCGA-F5-6811-01A,-28.7684334864798,-44.8380302761172,30.4305507044739,1
TCGA-F5-6812-01A,-27.5483453287226,-46.653848798959,37.3349602145123,1
TCGA-F5-6813-01A,-27.0988994754384,-48.4073500587223,35.8511473592894,1
TCGA-F5-6863-01A,-28.9580006680842,-53.6202235254476,39.3222754412091,1
TCGA-F5-6864-01A,-24.5053709154083,-44.0451601378652,33.017866916961,1
TCGA-G5-6233-01A,-26.3314842063708,-43.4498186358335,30.7863732657117,1
TCGA-G5-6572-01A,-15.7408356737704,-42.241813131852,32.3311527870471,1
TCGA-G5-6641-01A,-26.671783466755,-55.7476583268537,21.9634672360929,1
TCGA-AF-2691-01A,41.722935472675,77.0969126536503,-37.3581805032196,2
TCGA-AF-2692-01A,35.2664322344586,87.5850050747068,-34.5656091381069,2
TCGA-AF-3400-01A,35.3891272234838,75.7872159303282,-50.7081175505859,2
TCGA-AG-3574-01A,39.4305821255595,75.6848417606029,-30.4354728019314,2
TCGA-AG-3580-01A,39.9268778651135,78.8145055195039,-34.4287866453131,2
TCGA-AG-3582-01A,31.9744164830148,75.1108050552994,-52.5338684907568,2
TCGA-AG-3583-01A,33.5590048617483,83.1933971622932,-37.9869270903261,2
TCGA-AG-3584-01A,41.7891586705934,76.6970505282428,-43.3161235791951,2
TCGA-AG-3587-01A,27.1161963669803,77.3858935785492,-47.7901391576308,2
TCGA-AG-3591-01A,35.1461547733176,78.4786144284572,-32.3056185006083,2
TCGA-AG-3594-01A,33.0815284865862,79.8500798624279,-49.1608005208919,2
TCGA-AG-3598-01A,32.3942917334583,74.4572772061842,-32.4928253199285,2
TCGA-AG-3599-01A,32.0304755701205,79.6535877481251,-40.7901705373677,2
TCGA-AG-3600-01A,42.5362726806025,75.310127630175,-34.4602248134643,2
TCGA-AG-3601-01A,29.7296171748773,82.4190851629114,-47.341373765165,2
TCGA-AG-3602-01A,41.3556279388155,81.8091793574922,-40.7321346050651,2
TCGA-AG-3605-01A,32.5238175606034,85.4046224616149,-33.2663863741581,2
TCGA-AG-3608-01A,43.0392249233779,72.341735538993,-38.9944587360282,2
TCGA-AG-3609-01A,45.707848010844,78.4339668358648,-36.8380721532976,2
TCGA-AG-3611-01A,37.9199696923252,81.0525886929399,-37.3335011905684,2
TCGA-AG-3612-01A,36.9364888477115,75.7375710108071,-41.157485115206,2
TCGA-AG-3726-01A,31.1797004614796,69.115898674717,-47.5402148800131,2
TCGA-AG-3727-01A,38.140954265924,74.0998523020261,-48.196484827342,2
TCGA-AG-3728-01A,38.8652488940093,70.4216186978019,-41.4775190208635,2
TCGA-AG-3878-01A,32.9202855046689,74.2855344068463,-45.2929023441793,2
TCGA-AG-3881-01A,30.9011691501314,70.6409308354756,-43.265563503353,2
TCGA-AG-3882-01A,30.56424934165,73.1425482101761,-43.8234344551431,2
TCGA-AG-3883-01A,33.9754084248608,75.3071100248286,-39.2121668653066,2
TCGA-AG-3885-01A,45.6600222161227,75.8882183964406,-35.5979553972742,2
TCGA-AG-3887-01A,30.6871707175631,78.949134808955,-42.8872482301901,2
TCGA-AG-3890-01A,32.9892636141337,77.6704735585241,-42.6517853616306,2
TCGA-AG-3892-01A,33.6742631326985,77.7156057222033,-35.1967762949071,2
TCGA-AG-3893-01A,36.0803716170918,71.6088666600412,-41.8226779892342,2
TCGA-AG-3894-01A,45.3261406222428,74.9181497609004,-40.8977165119644,2
TCGA-AG-3896-01A,36.449116013555,85.8427706771577,-35.5476420297416,2
TCGA-AG-3898-01A,41.7752060797254,78.6690085119703,-43.9108042469016,2
TCGA-AG-3909-01A,46.3744378932621,76.6422138960615,-43.4448599964651,2
TCGA-AG-3999-01A,30.231805628708,72.5431114985817,-48.8488430382393,2
TCGA-AG-4005-01A,35.9142830607543,77.0850600028705,-50.9873621309783,2
TCGA-AG-4007-01A,41.351464555068,77.0860931328931,-37.0051138387941,2
TCGA-AG-A008-01A,37.4968014501057,73.989691600916,-52.6551847605479,2
TCGA-AG-A00C-01A,37.3745636155912,76.8315439544967,-51.720731287125,2
TCGA-AG-A00H-01A,40.4653030089248,75.3078950935025,-48.3005353562157,2
TCGA-AG-A011-01A,38.6382431916146,73.6978812438971,-45.9481716849589,2
TCGA-AG-A016-01A,34.3980717298731,70.7635407720543,-46.6968572067249,2
TCGA-AG-A01L-01A,38.240574964847,76.0189354206737,-48.5087639139303,2
TCGA-AG-A01N-01A,31.5622330422695,78.8943305405346,-41.6964241250523,2
TCGA-AG-A025-01A,32.8665602068522,68.2013918766638,-47.7290368681369,2
TCGA-AG-A02X-01A,40.637967902791,77.0502336879393,-47.5060756666605,2
TCGA-AG-A032-01A,33.9628237753644,75.7218050314191,-45.0015865848294,2
TCGA-AH-6897-01A,41.8962512531266,74.289899396801,-48.5959558760523,2
TCGA-DC-4745-01A,36.1761159410608,74.0778802003766,-36.6524520713898,2
TCGA-DC-4749-01A,43.7653938900927,80.081258545169,-39.8454690203461,2
TCGA-DC-5337-01A,35.0476718899944,76.1256722613198,-38.4256908631525,2
TCGA-DC-6155-01A,34.2331516753919,78.6066014715309,-42.0855808758526,2
TCGA-DY-A1H8-01A,39.4990188636597,80.9117746072412,-44.0027077628107,2
TCGA-EI-6883-01A,44.0540927105164,79.4331663988914,-40.891369124505,2
TCGA-EI-7002-01A,40.0943210305278,69.5287880979729,-40.562033234006,2
TCGA-AF-3913-01A,-8.41260503961999,-20.7334003280482,10.7006691780654,3
