Sample,X,Y,Z,Cluster
TCGA-AF-2691-01A,28.5669693243532,18.1001002825454,-4.67155461111621,1
TCGA-AF-2692-01A,31.3905818915087,16.9818128116811,-8.23420979255598,1
TCGA-AF-2693-01A,28.3102497398903,16.2473952125327,-6.36142722608771,1
TCGA-AF-3913-01A,32.7449008177687,18.0760694435397,-18.7864516191126,1
TCGA-AF-5654-01A,27.1676179808347,16.144128620918,-0.315938165881621,1
TCGA-AF-6672-01A,32.1300584730392,18.9191149174584,-0.479661585269222,1
TCGA-AF-A56L-01A,34.3167759818862,18.2133026857761,-3.01785956441618,1
TCGA-AG-3575-01A,33.7723691111547,20.3302352654731,-14.5212830602547,1
TCGA-AG-3578-01A,15.2530015671525,14.3635916594978,-19.2796700707996,1
TCGA-AG-3581-01A,12.2798194871863,12.5468521564621,-19.7282860484706,1
TCGA-AG-3584-01A,22.63106975824,14.2036252848307,-19.9601445266718,1
TCGA-AG-3593-01A,11.2206001004425,11.4306271375171,-20.1879226022612,1
TCGA-AG-3611-01A,36.1469517405076,19.2670795110725,-5.72497734021442,1
TCGA-AG-3726-01A,28.3053520375019,13.9570592801115,-21.7645087872735,1
TCGA-AG-3727-01A,26.5398104083056,17.9211835064558,-15.3528527176397,1
TCGA-AG-3728-01A,28.3970875149436,20.124012201772,-14.6476898880085,1
TCGA-AG-3732-01A,32.6618011088986,20.5513239290809,-2.71106426641797,1
TCGA-AG-3878-01A,32.015848438057,20.4082274870564,-14.5032567761636,1
TCGA-AG-3881-01A,29.0422809562621,19.3931816974943,-13.9518817430757,1
TCGA-AG-3882-01A,27.9493392101819,18.2584894902712,-22.194933876989,1
TCGA-AG-3883-01A,29.4468295678165,20.8169241070495,-11.3514463427838,1
TCGA-AG-3885-01A,23.1942415154017,18.4251868172592,-14.7902829309465,1
TCGA-AG-3887-01A,24.8743701556268,22.2481337084863,-23.5914146763409,1
TCGA-AG-3890-01A,28.690797148353,17.2576486088968,-20.2104055822146,1
TCGA-AG-3894-01A,29.4593749523344,17.7372603324846,-8.18752858076634,1
TCGA-AG-3896-01A,21.1789362718639,18.6234617288711,-18.350904353113,1
TCGA-AG-3898-01A,33.2780303257526,17.0232214320004,-14.2527472396541,1
TCGA-AG-3902-01A,13.2880382397302,11.2278107132542,-21.6037799253161,1
TCGA-AG-3909-01A,16.016618058256,9.99262188872002,-18.1498905868546,1
TCGA-AG-3999-01A,28.9072605829164,20.1217491044628,-16.6779501097872,1
TCGA-AG-4005-01A,20.1866899160257,11.5018168653657,-21.4833782234036,1
