Sample,X,Y,Z,Cluster
TCGA-AF-2692-01A,-46.8451984305932,57.8466858252062,-6.34429114906713,1
TCGA-AF-3400-01A,-47.1302977031374,63.6871917865263,-15.6260257991629,1
TCGA-AF-3913-01A,-36.7284341215301,76.150023928302,-3.86223349327566,1
TCGA-AF-5654-01A,-23.4857780809809,76.9646215609396,-14.875157948823,1
TCGA-AF-A56K-01A,-39.9824252437462,64.6256346368384,-6.27998210809405,1
TCGA-AF-A56N-01A,-41.9310679380498,64.8995731145535,-4.45515124943104,1
TCGA-AG-3574-01A,-28.2739264633136,75.4657709642548,-10.6994622719835,1
TCGA-AG-3578-01A,-16.4982922949605,57.1050064266396,-23.277667381836,1
TCGA-AG-3581-01A,-38.9242821936196,56.6766627056263,-0.200193642106657,1
TCGA-AG-3582-01A,-35.4103866791269,71.3619905148015,-3.37103279286214,1
TCGA-AG-3583-01A,-42.6912983630396,58.5833469034569,-1.11357295429206,1
TCGA-AG-3584-01A,-31.1103788253087,75.9815127290222,-10.3279112048442,1
TCGA-AG-3587-01A,-32.7918807131089,60.2407635794441,-3.50008192077529,1
TCGA-AG-3598-01A,-31.70261485952,54.2515509165544,-0.280496681791121,1
TCGA-AG-3601-01A,-39.9501489329665,63.3308435455613,2.20060023755039,1
TCGA-AG-3605-01A,-41.7687777276821,55.7016980725837,-10.2362216240258,1
TCGA-AG-3608-01A,-21.6739215940022,71.1730550561527,-12.6671828978659,1
TCGA-AG-3609-01A,-38.1374207555378,56.9037455703683,2.21731749083929,1
TCGA-AG-3611-01A,-38.1157876122919,63.3291734085807,4.96987245941622,1
TCGA-AG-3726-01A,-26.2425015955632,72.2204279272643,-18.9089971134186,1
TCGA-AG-3727-01A,-24.5918184397299,63.9065552431381,-24.4812392410133,1
TCGA-AG-3728-01A,-31.7139592816909,67.7665369883814,-22.867357120236,1
TCGA-AG-3732-01A,-29.7113515829652,68.7608413044709,-16.4008614169964,1
TCGA-AG-3742-01A,-15.2641520196907,71.7294553387521,-9.41695937151701,1
TCGA-AG-3878-01A,-30.5100337300879,59.2850499419378,4.42543561637572,1
TCGA-AG-3881-01A,-21.3779575740457,66.8906436959849,-17.8571802201713,1
TCGA-AG-3882-01A,-24.2418621861819,71.9581118738672,-18.1741415745958,1
TCGA-AG-3883-01A,-34.361085910052,58.7332724014506,1.91425201351078,1
TCGA-AG-3885-01A,-31.9449264399393,67.8767664078207,-16.3916784703439,1
TCGA-AG-3887-01A,-42.537525855482,65.337904175963,-3.98422742893131,1
TCGA-AG-3890-01A,-26.4433130379142,64.2230693001478,-14.7442008882755,1
TCGA-AG-3892-01A,-45.9631213300867,66.0238566086648,-16.7185452709235,1
TCGA-AG-3893-01A,-28.2204575250057,76.6696831116114,-7.26906163828741,1
TCGA-AG-3894-01A,-26.7170245282944,68.4803567258652,-24.8813782027461,1
TCGA-AG-3896-01A,-29.0334986983689,65.2637101139027,-18.5050451508284,1
TCGA-AG-3901-01A,-47.1476344432148,61.4877329753706,-18.5801799340232,1
TCGA-AG-3909-01A,-18.7454475038209,72.0553277685326,-23.4443311222956,1
TCGA-AG-4001-01A,-27.4353795323876,58.1682633360238,2.65821014975834,1
TCGA-AG-4007-01A,-26.7629952553982,55.8950484003367,-0.416674114195363,1
TCGA-AG-4022-01A,-43.3534563308094,62.9721998803634,-11.9372756752604,1
TCGA-AG-A008-01A,-47.9398454545816,63.3171463056331,-6.5071458727347,1
TCGA-AG-A00C-01A,-38.5767923022571,59.3773031418221,-7.64494388272437,1
TCGA-AG-A00H-01A,-27.3608841795303,70.9114799943641,-11.6859145146853,1
TCGA-AG-A00Y-01A,-34.7049335931096,69.8107089008644,-10.9107794210152,1
TCGA-AG-A011-01A,-25.8410166150111,69.538018603415,-20.4034600286178,1
TCGA-AG-A015-01A,-36.8845784489495,64.4940839704543,2.53253125815964,1
TCGA-AG-A01J-01A,-26.3972488193343,69.9560360953486,-22.9998948790909,1
TCGA-AG-A01N-01A,-31.5045383403835,53.2848806186513,-3.16621896867448,1
TCGA-AG-A020-01A,-48.1887124045028,64.5389119323061,-18.1144808185141,1
TCGA-AG-A026-01A,-36.8567913386147,54.935584074635,2.8662074243758,1
TCGA-AG-A02G-01A,-27.3203552372922,69.8509545946994,-21.2977965561044,1
TCGA-AG-A02N-01A,-46.6188453568698,57.0064825191735,-3.91060692776724,1
TCGA-AG-A02X-01A,-33.7093859740375,76.2954775836734,-13.0739295145995,1
TCGA-AG-A032-01A,-34.6328504115435,71.5463987543886,-10.6855522237427,1
TCGA-AG-A036-01A,-19.4203405586539,73.3232288977757,-15.8134327171218,1
TCGA-AH-6547-01A,-40.9422990514163,67.6449140370053,-6.62457775327443,1
TCGA-AH-6549-01A,-41.0299205925017,60.6281251205679,-9.81138882453241,1
TCGA-AH-6903-01A,-45.7023642988739,65.5510389923982,-5.4266773061892,1
TCGA-BM-6198-01A,-23.4107941516791,72.617857246639,-17.63849455702,1
TCGA-CI-6619-01B,-25.7526861759553,69.1277588963624,-11.9844349571679,1
TCGA-CI-6621-01A,-24.2912907795,69.1039143759277,-21.2493165367269,1
TCGA-CI-6623-01B,-25.2057958385996,76.284072257233,-14.8048945437809,1
TCGA-CI-6624-01C,-28.770693511041,72.0092774611269,-18.7203358738242,1
TCGA-CL-4957-01A,-48.9801480743368,59.110463739152,-11.9674455214908,1
TCGA-CL-5917-01A,-30.8051333815726,66.3126574908902,-17.925290892283,1
TCGA-CL-5918-01A,-26.631007175074,70.568520996299,-4.71500449548611,1
TCGA-DC-4749-01A,-37.0586607647707,64.6528683991337,-1.63318343932313,1
TCGA-DC-5337-01A,-42.8131728372968,65.0856681953688,-7.96465463054985,1
TCGA-DC-6154-01A,-41.8291391864376,57.5145598183579,-11.7577488188654,1
TCGA-DC-6155-01A,-45.9878784400513,65.9966145301427,-4.56216649972914,1
TCGA-DC-6160-01A,-43.5292082676766,67.2858322631958,-13.9943624698061,1
TCGA-DC-6682-01A,-39.1190788517643,62.5658685076133,-5.14255606640106,1
TCGA-DC-6683-01A,-23.5548683166692,60.0417908803692,-22.4133966261792,1
TCGA-DT-5265-01A,-41.9753307081829,64.5296240195581,-4.49036526731318,1
TCGA-DY-A0XA-01A,-34.8667953446441,57.4476278762335,-3.32276836665791,1
TCGA-DY-A1DD-01A,-32.6903706941717,71.1370864755467,-6.57211042842008,1
TCGA-DY-A1DE-01A,-46.6947575028728,63.9376063647867,-15.5331390301263,1
TCGA-DY-A1DF-01A,-52.328892204619,71.659759497748,-6.58040294933947,1
TCGA-DY-A1DG-01A,-24.0117520904301,76.9537420741547,-12.1225610805808,1
TCGA-DY-A1H8-01A,-33.5765260368182,65.1201494832643,3.36075954435541,1
TCGA-EF-5830-01A,-21.196603865945,60.4301568548875,-17.2017393781902,1
TCGA-EF-5831-01A,-19.6492493231799,61.9090201508861,-15.5312884358569,1
TCGA-EI-6506-01A,-36.7652825877121,52.9066808936841,1.30907922678465,1
TCGA-EI-6507-01A,-36.5898483426791,66.1590734130897,-9.98496182585069,1
TCGA-EI-6509-01A,-48.9944944090612,61.6290792754134,-14.9863120509213,1
TCGA-EI-6511-01A,-27.107988102094,68.3687567544712,-16.7098177810147,1
TCGA-EI-6512-01A,-31.2527711332049,59.4248001052208,-1.16959200247272,1
TCGA-EI-6513-01A,-14.2511876244658,68.1943280063316,-21.3133707308885,1
TCGA-EI-6514-01A,-23.0813063770521,66.8647884936213,-20.9028172114643,1
TCGA-EI-6883-01A,-28.9357417433581,75.3238827589523,-16.1050782236729,1
TCGA-EI-6884-01A,-20.5710077140228,72.4645856212085,-13.6966042048691,1
TCGA-EI-6885-01A,-23.8890880006622,68.9463226186277,-15.7636636369075,1
TCGA-EI-7002-01A,-38.0909390223806,54.8135162937314,-1.81750172051925,1
TCGA-F5-6810-01A,-41.9899097553054,68.772825197283,-10.7416836388006,1
TCGA-F5-6811-01A,-22.2232154241566,62.9462869693176,-23.7840609154584,1
TCGA-F5-6813-01A,-44.7764931143836,71.596033111993,-8.88275814903061,1
TCGA-F5-6863-01A,-33.0405489282642,59.4158458807869,3.15285673143176,1
TCGA-G5-6233-01A,-34.3125153718868,63.6066682351485,-6.10170244183217,1
TCGA-G5-6572-01A,-37.2608114502828,65.9818892934332,-7.16346860566146,1
TCGA-G5-6641-01A,-31.6636129170807,68.7407469550434,-11.5584853095446,1
TCGA-AF-2687-01A,51.0025915194685,-91.8430261306938,27.3102198160081,2
TCGA-AF-2690-01A,52.6446366751621,-124.405557496634,25.1537019322923,2
TCGA-AF-2691-01A,60.74314914321,-99.822097112668,17.4592570460071,2
TCGA-AF-2693-01A,50.7459217985765,-91.1555275077936,15.2010484653541,2
TCGA-AF-3911-01A,45.3089234846846,-93.467443767324,12.3063505090486,2
TCGA-AF-4110-01A,46.367936663174,-90.5735429161454,25.8185126582107,2
TCGA-AF-6136-01A,48.1173336757666,-109.118604827225,9.61656892210997,2
TCGA-AF-6655-01A,54.59343836452,-89.0494693405124,22.3404475460951,2
TCGA-AF-6672-01A,51.1390575190664,-95.6373184819902,14.882328319941,2
TCGA-AF-A56L-01A,44.6882660739499,-100.953052992162,18.1051108168865,2
TCGA-AG-3575-01A,48.3994759446519,-102.527988616316,19.9674103629451,2
TCGA-AG-3580-01A,44.7190047066884,-91.2085063211167,8.78199161306718,2
TCGA-AG-3586-01A,57.0670116258764,-92.1796827022585,25.4960930990216,2
TCGA-AG-3591-01A,57.766355750392,-103.960305760002,14.467434093813,2
TCGA-AG-3592-01A,45.2323469986544,-92.3523655760728,9.88787442790938,2
TCGA-AG-3593-01A,51.1242088440151,-118.192595216759,53.8898693169326,2
TCGA-AG-3594-01A,47.5920537775691,-95.3587576248194,4.1023338954746,2
TCGA-AG-3599-01A,56.5587147043564,-102.06086215085,15.4906147360188,2
TCGA-AG-3600-01A,46.8198910867309,-97.4614304255583,11.4381597764013,2
TCGA-AG-3602-01A,45.0590894053628,-94.6162813647056,21.3162608053208,2
TCGA-AG-3612-01A,52.0513752594713,-102.05951542124,4.59517530758908,2
TCGA-AG-3725-01A,54.5904757230558,-104.922448274781,6.10300219394571,2
TCGA-AG-3731-01A,60.6300534781042,-100.909867728711,9.54354065568297,2
TCGA-AG-3898-01A,50.9825506524702,-99.4778423966339,16.565699676173,2
TCGA-AG-3902-01A,53.7633442302029,-103.226123099421,16.5799771435589,2
TCGA-AG-3999-01A,42.8994430497953,-96.2703127999414,13.9022104614925,2
TCGA-AG-4005-01A,54.9020394572296,-102.91352820215,8.24583155040447,2
TCGA-AG-4008-01A,47.8330610795319,-108.866012536111,12.3323646850955,2
TCGA-AG-4015-01A,53.2370458977561,-104.04888528432,10.7725935377717,2
TCGA-AG-4021-01A,45.6447331112884,-104.969533090699,12.1788356501631,2
TCGA-AG-A002-01A,54.0819564956336,-103.86472530402,8.19444765976874,2
TCGA-AG-A014-01A,44.3423692166534,-93.1804368995772,10.017701138805,2
TCGA-AG-A016-01A,41.4752605174375,-98.017423059513,15.8820594468861,2
TCGA-AG-A01L-01A,59.0186842804206,-102.308461206879,12.0001167847967,2
TCGA-AG-A01W-01A,47.7041980352024,-103.533146864769,4.38519068663476,2
TCGA-AG-A01Y-01A,48.7872552575497,-100.720268875573,14.0644681436301,2
TCGA-AG-A023-01A,55.4668649275409,-93.9901892216702,28.0779123650685,2
TCGA-AG-A025-01A,40.1193038999685,-90.4353117027511,12.9259663476122,2
TCGA-AH-6544-01A,55.4392441013732,-88.4182884014852,16.9859262787666,2
TCGA-AH-6643-01A,57.8252282061159,-93.0543241469478,25.179244390028,2
TCGA-AH-6644-01A,48.1599804905668,-106.5348147045,7.25545971030754,2
TCGA-AH-6897-01A,45.5343031563257,-99.7806981318635,19.678089290818,2
TCGA-CI-6620-01A,50.5002030785451,-102.57889240016,13.9207036416934,2
TCGA-CI-6622-01A,56.2817485541943,-100.854791704302,12.480834002428,2
TCGA-DC-4745-01A,54.7574198335598,-101.733403876856,3.55254806592552,2
TCGA-DC-5869-01A,51.7215576309451,-93.6637303445156,19.3792265673878,2
TCGA-DC-6156-01A,45.9861684381158,-101.556042911498,21.9007714618908,2
TCGA-DC-6157-01A,48.1791559434817,-100.025495329482,12.4837305992476,2
TCGA-DC-6158-01A,50.678827454875,-94.951798095328,26.5730924000129,2
TCGA-DC-6681-01A,48.9268761775511,-107.751904486037,-0.322664463683738,2
TCGA-DY-A1DC-01A,51.8003686649523,-96.3517654568304,3.15764061926818,2
TCGA-EI-6508-01A,57.2475533548301,-105.242585082897,4.23086989977592,2
