Sample,X,Y,Z,Cluster
TCGA-AF-2687-01A,74.7506034260287,-150.230037929297,-237.582093799859,1
TCGA-AF-2692-01A,73.9249294728408,-144.037090616162,-234.742822352544,1
TCGA-AF-3911-01A,77.9944264047172,-149.295533234239,-232.887196248484,1
TCGA-AF-3913-01A,77.2743937692347,-148.544977328114,-240.960770538294,1
TCGA-AF-A56L-01A,76.687744745245,-145.407247229546,-240.109456595583,1
TCGA-AG-3580-01A,74.9216473934429,-150.757394849293,-233.940873121925,1
TCGA-AG-3581-01A,72.697751172641,-148.739815993525,-239.272193846639,1
TCGA-AG-3583-01A,72.6802867282286,-148.986048507386,-239.160023953795,1
TCGA-AG-3584-01A,75.7083620037091,-149.175452134331,-234.476137892597,1
TCGA-AG-3586-01A,71.3491229135397,-150.656173447971,-232.91834087113,1
TCGA-AG-3593-01A,73.9988088389695,-143.450154763459,-234.20413461029,1
TCGA-AG-3598-01A,75.7331200415777,-150.034518164674,-234.486059702343,1
TCGA-AG-3599-01A,72.5909843888508,-149.146257805483,-239.117696407933,1
TCGA-AG-3600-01A,75.8373621023526,-150.295947397081,-234.848684675083,1
TCGA-AG-3605-01A,78.3718615765404,-146.260102917827,-231.95306579807,1
TCGA-AG-3608-01A,77.8839538722124,-149.323498035334,-234.873050439878,1
TCGA-AG-3609-01A,78.1048990510517,-149.491991619911,-240.852777105908,1
TCGA-AG-3726-01A,76.8526599998517,-147.678219960053,-242.328425390653,1
TCGA-AG-3727-01A,76.1647605131608,-148.880737804521,-239.995700363123,1
TCGA-AG-3728-01A,76.5230476859187,-148.082229444034,-241.550391258999,1
TCGA-AG-3731-01A,77.2539303380443,-145.860010935646,-229.321902651658,1
TCGA-AG-3878-01A,75.7466837558817,-147.930534454896,-241.260613454981,1
TCGA-AG-3881-01A,77.7528414578592,-145.650236902189,-232.070143122753,1
TCGA-AG-3882-01A,74.9518135364579,-147.662891065792,-240.826691493073,1
TCGA-AG-3885-01A,76.2869141338565,-148.257162439271,-241.112166081995,1
TCGA-AG-3887-01A,75.06858443279,-150.223818545734,-237.266940413262,1
TCGA-AG-3892-01A,75.2535233165356,-150.952312627632,-235.373706265958,1
TCGA-AG-3894-01A,75.171622531643,-151.12459823637,-235.565676217238,1
TCGA-AG-3896-01A,77.2731644638311,-148.007175936544,-242.124760414495,1
TCGA-AG-3901-01A,72.3292363752249,-149.219255695633,-239.189375579041,1
TCGA-AG-3902-01A,78.1752068891516,-146.283286112035,-231.718970063178,1
TCGA-AG-A002-01A,71.1989711238733,-150.495142237832,-232.655826988988,1
TCGA-AG-A008-01A,75.3581036001048,-150.875086516898,-235.207937156526,1
TCGA-AG-A00Y-01A,78.0772467712952,-148.045789100756,-232.880736718417,1
TCGA-AG-A011-01A,73.3481007106777,-145.77205017942,-237.281733144391,1
TCGA-AG-A014-01A,78.1717372086342,-148.038665221066,-239.817273659452,1
TCGA-AG-A015-01A,71.1617405654358,-150.881119973287,-233.259402329189,1
TCGA-AG-A016-01A,76.5768719657872,-148.899301256495,-239.774011566127,1
TCGA-AG-A01W-01A,78.8088538451053,-146.270117815167,-232.126275990048,1
TCGA-AG-A020-01A,75.3013736654223,-147.399853840742,-241.684647250134,1
TCGA-AG-A023-01A,73.5222468421993,-144.47616434789,-235.636580335196,1
TCGA-AG-A025-01A,75.1967571646773,-150.612072353484,-236.042384302448,1
TCGA-AG-A02G-01A,73.3668108726854,-147.449518132391,-239.455475599891,1
TCGA-AG-A036-01A,76.0773622333623,-148.662816208925,-240.244660283717,1
TCGA-AH-6549-01A,77.4783083972573,-146.422715221769,-230.382810738961,1
TCGA-AH-6643-01A,73.4403832204807,-144.602963120534,-235.902879851965,1
TCGA-CI-6619-01B,77.5047894502647,-146.449543018603,-230.555997421017,1
TCGA-CI-6623-01B,77.0746026961936,-149.566412703456,-239.008747055499,1
