Sample,X,Y,Z,Cluster
TCGA-3B-A9HQ-01A,-56.8368685226457,52.0218455482749,-27.4493814609396,1
TCGA-3B-A9HR-01A,-55.120288013796,46.7765681516287,-27.1687063903959,1
TCGA-3B-A9HT-01A,-51.1291225331966,43.2604764544662,-31.8665408735165,1
TCGA-3B-A9HU-01A,-53.0405191438591,48.2756485518884,-31.5568238477287,1
TCGA-3B-A9HV-01A,-56.5383393356018,52.9492286521434,-26.704742726321,1
TCGA-3B-A9HX-01A,-57.680666950344,52.2947919829791,-26.0895286489266,1
TCGA-3B-A9HY-01A,-55.2092203781366,47.1272223562999,-27.6603344933373,1
TCGA-3B-A9HZ-01A,-56.905210789873,52.0605955980207,-26.6738109018987,1
TCGA-3B-A9I0-01A,-56.9865697828998,48.7521917730636,-30.335258379412,1
TCGA-3B-A9I3-01A,-53.5950721059329,47.3929311478205,-29.1010801460313,1
TCGA-DX-A1KW-01A,-56.6868086673041,43.0934245559478,-27.7070171103509,1
TCGA-DX-A1L0-01A,-54.7633472994059,45.47946171804,-26.492925392639,1
TCGA-DX-A1L4-01A,-51.3069342252158,43.7510366389889,-30.6667241363929,1
TCGA-DX-A23Z-01A,-50.6594681235973,43.1708680778651,-28.698390554642,1
TCGA-DX-A2J1-01A,-49.3628562561047,37.2560112538512,-27.4239589134183,1
TCGA-DX-A3LS-01A,-50.2566666102158,42.7648476173314,-28.2888169741352,1
TCGA-DX-A3LU-01A,-49.430787672783,37.0338943665972,-27.5499373176623,1
TCGA-DX-A3U7-01A,-53.9221224047687,47.37217232057,-29.825586229777,1
TCGA-DX-A3U9-01A,-57.6966714152808,47.9211377009478,-27.2392005026768,1
TCGA-DX-A3UC-01A,-52.8705477540258,48.3042123864112,-31.3469064163337,1
TCGA-DX-A3UD-01A,-50.0560076685005,41.8871068576131,-22.2073809010075,1
TCGA-DX-A3UE-01A,-53.8104547686876,49.6440565036711,-31.237995131358,1
TCGA-DX-A3UF-01A,-53.3502870326679,48.5161279715384,-30.7567565754675,1
TCGA-DX-A48L-01A,-57.650124288243,48.3201366570104,-27.5666596091129,1
TCGA-DX-A48O-01A,-49.3172299036574,42.6537942888195,-21.9642527275711,1
TCGA-DX-A48R-01A,-55.9239798155327,49.1487401744474,-25.5324870538101,1
TCGA-DX-A6B9-01A,-54.831591833127,46.3600265086073,-26.4516572105869,1
TCGA-DX-A6BA-01A,-54.0666726355657,47.1856036959581,-29.4044004219862,1
TCGA-DX-A6BG-01A,-50.1168570982196,42.6510275351999,-32.7111089186016,1
TCGA-DX-A7EI-01A,-56.8930979587782,42.6462272757243,-28.1245937446493,1
TCGA-DX-A7EL-01A,-55.5361638284509,48.7048679061222,-25.457950266833,1
TCGA-DX-A7EM-01A,-54.7821672886963,47.142230508386,-27.5666411271046,1
TCGA-DX-A7EN-01A,-55.5437392219152,44.4838561112364,-29.545510043164,1
TCGA-DX-A8BP-01A,-49.7924812867696,42.454059948896,-33.1624668312926,1
TCGA-DX-AATS-01A,-57.0465831959132,42.3495666191247,-28.4278339181578,1
