Sample,X,Y,Z,Cluster
TCGA-3B-A9HI-01A,-18.2144451642904,-116.611275741241,39.6505548948394,1
TCGA-3B-A9HJ-01A,-9.15037332256226,-126.557122561561,47.2026875152286,1
TCGA-3B-A9HQ-01A,-7.60681752961055,-126.112562408669,52.1004121259743,1
TCGA-3B-A9HR-01A,-7.6717529234508,-121.734432393135,46.2725154231717,1
TCGA-3B-A9HT-01A,-5.25563261359269,-123.494173639535,36.1719675681153,1
TCGA-3B-A9HU-01A,-9.11360029555517,-124.18682626658,47.3409150377618,1
TCGA-3B-A9HV-01A,-8.56019588112339,-127.56456874354,51.6055864000126,1
TCGA-3B-A9HX-01A,-12.0534598613905,-125.031281999126,47.4214591023062,1
TCGA-3B-A9HY-01A,-8.01297953467257,-120.917249510796,44.4217912972501,1
TCGA-3B-A9HZ-01A,-13.319330985466,-121.125536277992,45.8731939567766,1
TCGA-3B-A9I0-01A,-6.63636519726382,-124.123446088462,51.4579119067598,1
TCGA-3B-A9I3-01A,-9.45130604481678,-124.837633468529,46.6052150557223,1
TCGA-3R-A8YX-01A,-6.80537239761505,-116.888367832676,40.5685105924815,1
TCGA-DX-A1KX-01A,-8.22273122550795,-117.382974213678,39.8568371536157,1
TCGA-DX-A1KY-01A,-13.7749167972501,-118.765139199026,28.9019397852434,1
TCGA-DX-A23R-01A,-13.6633459823593,-118.823382670689,28.8211536745993,1
TCGA-DX-A23T-01A,-8.84884771966019,-126.930787579082,47.2399830383271,1
TCGA-DX-A2IZ-01A,-17.3179173931768,-120.742774042237,40.0330285040079,1
TCGA-DX-A2J1-01A,-17.9224665677893,-122.941178863941,38.336405507029,1
TCGA-DX-A2J4-01A,-9.77560571286781,-126.583497999866,46.2378538177086,1
TCGA-DX-A3LS-01A,-9.98947693511336,-117.5657339125,38.5554721806743,1
TCGA-DX-A3LW-01A,-18.0320696498778,-120.885067889793,41.7528974216009,1
TCGA-DX-A3M1-01A,-17.3813869215565,-119.485569127813,40.4814919021328,1
TCGA-DX-A3U7-01A,-7.52123434872109,-118.920557634266,40.3838924502868,1
TCGA-DX-A3U8-01A,-5.60417278768649,-123.169509841817,36.6397344252243,1
TCGA-DX-A3U9-01A,-6.99119182545183,-120.690804145625,42.6512769794155,1
TCGA-DX-A3UA-01A,-5.56554273135996,-123.208743542802,36.572697318672,1
TCGA-DX-A3UB-01A,-16.1176991593165,-123.6705528847,41.8482155105316,1
TCGA-DX-A3UC-01A,-7.99332218919023,-123.558527313848,48.1633600117514,1
TCGA-DX-A3UD-01A,-7.23712717808961,-125.235636349962,51.4992496520565,1
TCGA-DX-A3UE-01A,-14.8944653832235,-118.276879612857,30.0425576881643,1
TCGA-DX-A3UF-01A,-5.77240262281604,-116.059903431002,41.5212071989012,1
TCGA-DX-A48J-01A,-11.2930860338212,-124.387616290873,52.1485128392138,1
TCGA-DX-A48L-01A,-7.76581011181884,-121.838152305241,46.1473743476622,1
