Sample,X,Y,Z,Cluster
TCGA-3B-A9HL-01A,-12.9616252607776,-11.5723538305818,-0.372978441918383,1
TCGA-DX-A1L1-01A,-12.7061900194423,-9.17565500231134,-0.214877075944722,1
TCGA-DX-A1L2-01A,-10.9414801631403,-12.065713383079,0.707825788317409,1
TCGA-DX-A1L3-01A,-10.0243613752606,-12.3972349296209,0.424650590841206,1
TCGA-DX-A23Y-01A,-7.70696644035222,-10.2691558425127,1.69789670194516,1
TCGA-DX-A3LS-01A,-11.4954374275234,-7.76864396471594,0.952227704999016,1
TCGA-DX-A3U5-01A,-9.1543684327422,-11.9106960978936,0.801592845470368,1
TCGA-DX-A6BF-01A,-10.1988323978523,-12.4696296871367,-0.694754285218678,1
TCGA-DX-A6YQ-01A,-6.73204195018699,-12.6566563967276,-1.40412104043236,1
TCGA-DX-A6YZ-01A,-11.8244248960076,-12.632434012615,3.29573217567024,1
TCGA-DX-A8BG-01A,-13.8640107214153,-12.525170417213,-0.234148691713328,1
TCGA-DX-A8BH-01A,-8.00050688512325,-12.4636935573229,1.76983477547647,1
TCGA-DX-A8BL-01A,-10.6772872937374,-9.93695636850436,-1.31134040682923,1
TCGA-DX-A8BN-01A,-12.970644414159,-10.1472224264412,0.653127561048266,1
TCGA-DX-A8BQ-01A,-10.4269774278274,-12.7336845870422,1.13381006154777,1
TCGA-DX-AB2F-01A,-13.6699221355525,-10.2519887403991,0.733673833230581,1
TCGA-DX-AB2G-01A,-11.5839179696438,-10.3039739761083,-2.16429595585266,1
TCGA-DX-AB37-01A,-10.3492189190347,-13.1699579193654,0.88622419020026,1
TCGA-IE-A4EJ-01A,-10.6988560442283,-12.8086254991026,-0.626343036327125,1
TCGA-K1-A6RU-01A,-10.0401099832402,-11.9227469075073,0.981572002224098,1
TCGA-MB-A5Y9-01A,-11.0292198179034,-9.78486614686678,1.3044888282319,1
TCGA-PC-A5DM-01A,-11.3856350324301,-9.12336991500243,-1.42345266738565,1
TCGA-QQ-A5VC-01A,-11.6062023241944,-13.4137073584505,0.863717868211158,1
TCGA-RN-AAAQ-01A,-7.26437861334866,-11.3633581485791,-1.73714631131004,1
TCGA-SG-A849-01A,-8.16473306225487,-12.7333693521876,1.55892533057228,1
TCGA-VT-A80J-01A,-10.1583117929821,-10.0196635645119,-1.01026336638814,1
TCGA-X6-A7W8-01A,-11.4905692573465,-12.0470755236717,4.80253554822929,1
TCGA-X6-A8C6-01A,-9.83529988007614,-9.721534774224,-0.696877377042679,1
TCGA-3B-A9HP-01A,28.5253877089339,-18.4841862985167,-11.6388657524407,2
TCGA-3B-A9HQ-01A,23.3454278579096,-18.1826249889612,-19.1400850690768,2
TCGA-3B-A9HR-01A,25.8494812423932,-16.3869964260301,-23.1646081747673,2
TCGA-3B-A9HT-01A,25.0518840833498,-14.6797070545347,-20.4742863356379,2
TCGA-3B-A9HV-01A,30.203869815375,-17.4095071503474,-20.6738994626311,2
TCGA-3B-A9HX-01A,25.7042790508816,-18.0641072480331,-21.7081780714628,2
TCGA-3B-A9HY-01A,25.2720562269674,-14.9147237762079,-22.9559784568081,2
TCGA-3B-A9HZ-01A,29.3127039304841,-18.6281876632705,-18.9822802388208,2
TCGA-3B-A9I0-01A,27.7949975540271,-20.4290151954189,-11.7071446336208,2
TCGA-3B-A9I3-01A,22.4558355732736,-16.0307632190198,-22.0521861014772,2
TCGA-3R-A8YX-01A,27.0336406745992,-19.5073040589345,-12.6771023934654,2
TCGA-DX-A1KY-01A,26.8517802184168,-15.8783412146604,-15.0051575917337,2
TCGA-DX-A2IZ-01A,19.4055643658867,-9.39402193021153,-17.9772203841934,2
TCGA-DX-A3U7-01A,29.9273871087051,-18.1211509044081,-20.1226922320583,2
TCGA-DX-A3U8-01A,22.4178205526546,-20.0824022718444,-19.2119192397246,2
TCGA-DX-A3U9-01A,28.8053420067577,-18.056879324201,-13.3139282204477,2
TCGA-DX-A3UB-01A,23.0270709744628,-14.8124549803823,-14.0888249238926,2
TCGA-DX-A3UC-01A,27.5227506877651,-22.1674209040994,-15.7882003370723,2
TCGA-DX-A3UD-01A,29.5175803553818,-17.8460051512679,-15.8819604639419,2
TCGA-DX-A3UE-01A,23.3793853903969,-19.5812862278777,-19.3461218063216,2
TCGA-DX-A3UF-01A,27.6456367659374,-17.4963833505834,-15.4830284083059,2
TCGA-DX-A48L-01A,23.3572887360173,-19.1971473990202,-18.1605875897267,2
TCGA-DX-A48N-01A,23.8050755405814,-16.0312024400097,-15.3278065485782,2
