Sample,X,Y,Z,Cluster
TCGA-3N-A9WB-06A,-8.99408252927961,-16.0503368022085,-7.06338037783211,1
TCGA-3N-A9WC-06A,-2.84317805758281,-10.9171398496483,-1.88327556615904,1
TCGA-BF-AAP0-06A,-5.17448762259371,-9.80999368775436,-9.44516358861251,1
TCGA-D3-A1Q7-06A,-7.90262052663072,-7.41353556958134,-8.12371929295345,1
TCGA-D3-A1Q9-06A,-0.0904546831180524,-10.8138343059913,-9.44456026689439,1
TCGA-D3-A1QB-06A,2.32769209649915,-10.833341254127,-5.18079688941137,1
TCGA-D3-A2J9-06A,-6.31457619098864,-12.9118896588917,-6.14620581204209,1
TCGA-D3-A2JB-06A,-4.89176364214899,-13.5282531344836,-12.081822442548,1
TCGA-D3-A2JF-06A,-10.9059433140961,-13.239881172883,-0.300899138212434,1
TCGA-D3-A2JH-06A,-3.65951959095133,-5.46006552667028,-6.36292176670709,1
TCGA-D3-A2JL-06A,-4.86412290093967,-16.3839425963583,-9.13493318442347,1
TCGA-D3-A3BZ-06A,1.48570845837483,-11.8954570274476,-4.16018736804547,1
TCGA-D3-A3C8-06A,-7.63154694234416,-12.5971978857384,-10.978088223339,1
TCGA-D3-A3CC-06A,-4.44332215292769,-13.9261177761782,-12.9075119845285,1
TCGA-D3-A3CF-06A,-6.41693490048575,-13.0119455198583,-6.00267758181444,1
TCGA-D3-A51E-06A,-4.36969198666655,-12.245965354459,-4.6723242937663,1
TCGA-D3-A51F-06A,-6.00228208747618,-10.1346705481704,-9.24483778000762,1
TCGA-D3-A51H-06A,-6.30899692061698,-11.2688553984803,-8.97666617410865,1
TCGA-D3-A51J-06A,-6.42673756581766,-7.06872875299783,-3.3334488980695,1
TCGA-D3-A5GO-06A,-11.0103162935671,-13.2583372532244,-0.221132292659006,1
TCGA-D3-A5GS-06A,1.49368862981637,-11.775222862022,-4.20437221258553,1
TCGA-D3-A8GD-06A,-3.97209406829944,-15.7508655594975,-7.16721798666919,1
TCGA-D3-A8GM-06A,-8.11086452576934,-15.1502179587366,-6.07460738945354,1
TCGA-D9-A148-06A,4.09837031890718,-19.8457624392388,-1.08389312397647,1
