Sample,X,Y,Z,Cluster
TCGA-D3-A1Q1-06A,48.2713982776707,208.777418032009,-55.0195443110122,1
TCGA-D3-A1Q4-06A,43.3491027279931,215.524887754588,-56.8209336735369,1
TCGA-D3-A1Q5-06A,46.1138873441569,204.981883133709,-47.0956330248415,1
TCGA-D3-A1Q8-06A,49.7755108591538,207.111480581937,-57.0753389574083,1
TCGA-D3-A1QB-06A,37.4624696337047,211.09465508097,-61.5773650353298,1
TCGA-D3-A2JA-06A,46.7338400284236,210.539430471121,-51.2763127262421,1
TCGA-D3-A2JB-06A,39.6164102748162,206.360128317393,-45.0311409785052,1
TCGA-D3-A2JD-06A,45.4171779703683,211.193186919028,-60.4509061547323,1
TCGA-D3-A2JE-06A,47.1017118253912,203.590436532127,-36.0492825358779,1
TCGA-D3-A2JF-06A,46.1359080376799,205.252961749257,-45.9640994657212,1
TCGA-D3-A2JK-06A,43.0263613135282,211.145269804995,-61.1968949490756,1
TCGA-D3-A3C6-06A,46.657376072245,211.162587981953,-59.8421529226281,1
TCGA-D3-A3MR-06A,41.1040340110871,209.435821687692,-50.3942671958959,1
TCGA-D3-A3MU-06A,39.4368734592141,210.807188511047,-62.2074243197872,1
TCGA-D3-A51E-06A,43.4913399824417,210.84992356764,-56.6700948371388,1
TCGA-D3-A51K-06A,43.1046254311605,210.264436222428,-58.7312869585322,1
TCGA-D3-A51R-06A,43.2870696627315,209.064699891424,-50.3085770093838,1
TCGA-D3-A5GN-06A,42.8389898137371,209.314351068222,-50.2745941045258,1
TCGA-D3-A5GO-06A,47.5287976261529,204.739061804476,-40.0212404560288,1
TCGA-D3-A5GS-06A,36.5478976458479,210.931815099726,-61.5805453032743,1
TCGA-D3-A5GU-06A,42.3317723030295,203.429463655894,-38.5258351295966,1
TCGA-D3-A8GI-06A,45.6699162684452,211.119798806943,-47.828198569155,1
TCGA-D3-A8GJ-06A,41.0178744893896,206.397327464864,-45.8957452856802,1
TCGA-D3-A8GK-06A,43.9395619142719,207.692925542472,-58.6896406842908,1
TCGA-D3-A8GQ-06A,42.0783711910326,209.725987899049,-50.5012896856119,1
TCGA-D3-A8GS-06A,37.9642000840886,212.815973659797,-57.6750222292592,1
TCGA-D3-A8GV-06A,47.6325296892847,209.418159746413,-52.1661458824155,1
TCGA-D9-A149-06A,49.0849394302583,209.729109087156,-57.2349874336817,1
TCGA-D9-A1JW-06A,48.2549127855719,206.267241700646,-42.8234731440566,1
TCGA-D9-A1JX-06A,40.1607866751965,205.481666216472,-46.3810588901356,1
TCGA-D9-A3Z3-06A,36.2977905874988,210.436829436611,-60.9676279356963,1
TCGA-D9-A6E9-06A,42.7676919353363,210.523361906134,-62.6768360491078,1
TCGA-DA-A1HV-06A,47.152044639504,210.86657366838,-49.4705387561992,1
TCGA-DA-A1I0-06A,45.1185035229816,211.790477685491,-60.4198409495316,1
TCGA-DA-A1IA-06A,42.1976014340479,210.93747723756,-61.8559614543498,1
TCGA-DA-A1IC-06A,44.9309525457133,203.125159515357,-36.2090598467112,1
TCGA-DA-A3F2-06A,45.2817632025601,210.498266080773,-60.0066581051513,1
TCGA-DA-A95V-06A,39.055886597339,211.651426009487,-61.0377907791118,1
TCGA-DA-A95X-06A,47.0203417559131,206.139237296478,-43.9944001531776,1
TCGA-EB-A44R-06A,40.2405827322627,206.340789725266,-45.5000435288922,1
TCGA-EB-A5KH-06A,45.3928578959789,209.466992201423,-60.0899747980271,1
TCGA-EB-A5SG-06A,45.0745027210011,210.704596251887,-47.5898290917348,1
TCGA-EB-A5SH-06A,48.2979038522955,208.621513365688,-54.4744049846795,1
TCGA-EB-A6L9-06A,47.4391404680543,210.319957465938,-52.7531633626333,1
TCGA-EE-A17X-06A,43.2920224381053,212.400724886813,-59.0802723471602,1
TCGA-EE-A17Y-06A,42.4493606736645,209.449769826497,-53.0500362523103,1
TCGA-EE-A17Z-06A,42.913784925219,210.247679189021,-59.5712142384791,1
TCGA-EE-A182-06A,44.9633472230616,209.744617217032,-60.482776501155,1
TCGA-EE-A183-06A,42.6169326260017,211.480312500344,-61.3469203806753,1
TCGA-EE-A20F-06A,37.4065496194024,212.096294387988,-61.0032037425869,1
TCGA-EE-A20H-06A,42.6460349896034,211.095946553812,-51.3864140996697,1
TCGA-EE-A29A-06A,49.7264414627537,207.204292648233,-56.9651644973981,1
TCGA-EE-A29B-06A,43.9633257268404,209.742917156286,-59.7351425320394,1
TCGA-EE-A29C-06A,48.1333482475751,209.227138665675,-57.9946041010761,1
TCGA-EE-A29E-06A,43.0561907410306,214.770232081019,-55.9451484098408,1
TCGA-EE-A29G-06A,47.590841606726,206.041541644198,-42.7585985160179,1
TCGA-EE-A29P-06A,41.0276395077079,210.324479478864,-62.9452053443643,1
TCGA-EE-A29R-06A,47.5262925409942,204.576944992714,-39.4459998326234,1
TCGA-EE-A29W-06A,43.2159366621607,211.947760043567,-58.6208369030182,1
TCGA-EE-A29X-06A,49.2919066684041,210.325020312312,-55.199126866942,1
TCGA-EE-A2A1-06A,48.1373351212544,206.168600407703,-42.7835925683105,1
TCGA-EE-A2A5-06A,47.4703929235177,204.314970194354,-38.8860703190923,1
TCGA-EE-A2GE-06A,45.9902632753095,203.337705329465,-36.2823944297915,1
TCGA-EE-A2GH-06A,42.4129295291813,209.477601271363,-50.4076148562397,1
TCGA-EE-A2GI-06A,42.5395966354961,210.789049615201,-51.1493554837225,1
TCGA-EE-A2GL-06A,42.0967065989836,213.756015644956,-55.7044427926659,1
TCGA-EE-A2GN-06A,47.9673529167312,209.325385517079,-57.9610920413231,1
TCGA-EE-A2GO-06A,46.2065480293698,203.622161716692,-37.2053691902664,1
TCGA-EE-A2GR-06A,48.7342411725425,208.815840217959,-55.739826891324,1
TCGA-EE-A2GT-06A,47.2379565648632,210.710659485611,-49.7093289388155,1
TCGA-EE-A2M6-06A,46.9809864052272,211.124402137263,-48.7508939480009,1
TCGA-EE-A2M7-06A,47.6695987277407,205.027095357496,-40.941118028669,1
TCGA-EE-A2MM-06A,48.6238721714729,208.915941732813,-54.7747638855334,1
TCGA-EE-A2MP-06A,45.5678434376018,209.691097126127,-60.0089535123704,1
TCGA-EE-A2MU-06A,47.0827399008508,211.110442351642,-48.7915221834207,1
TCGA-EE-A3AB-06A,42.0660199963149,209.70361948158,-59.2929883508279,1
