Sample,X,Y,Z,Cluster
TCGA-3M-AB46-01A,-3.8985821569522,-40.7106774415234,10.0364362621051,1
TCGA-3M-AB47-01A,7.26034923962264,-23.5622088055109,13.2896872276134,1
TCGA-B7-5818-01A,-10.2494731757395,-34.3315844300133,18.3663489056579,1
TCGA-B7-A5TI-01A,-11.4183642685863,-45.6174452029219,11.4384892636653,1
TCGA-B7-A5TJ-01A,-15.3475065284346,-42.6035307161943,8.18916785296849,1
TCGA-B7-A5TK-01A,5.07625253217391,-24.5013826813405,12.8754720462215,1
TCGA-B7-A5TN-01A,1.24433329684881,-23.7138525031925,10.3869985531463,1
TCGA-BR-4187-01A,7.4465835780451,-20.4644073972739,13.3706817089878,1
TCGA-BR-4191-01A,-3.3397868268827,-48.8523490041769,13.1324831088151,1
TCGA-BR-4201-01A,-5.6198549378878,-35.5536824783899,-1.81954492320921,1
TCGA-BR-4253-01A,2.73777705328975,-41.143886983828,-1.36994950443991,1
TCGA-BR-4256-01A,-8.19016046212851,-35.7990785070698,-0.451677810253575,1
TCGA-BR-4257-01A,-10.3004146101319,-34.7038093053806,9.24100118354675,1
TCGA-BR-4267-01A,-1.88029733339388,-38.8335448911623,11.63400376805,1
TCGA-BR-4279-01A,2.40743975156029,-41.1251466750921,6.78199655629599,1
TCGA-BR-4294-01A,-6.96621430965163,-43.1349779571992,5.17982634826675,1
TCGA-BR-4361-01A,-0.875580119606901,-37.6385366971655,-2.08192497985968,1
TCGA-BR-4363-01A,-6.44842057046303,-34.7068094178444,6.00077477473272,1
TCGA-BR-4366-01A,-8.94386765989648,-33.3722115280018,13.8867339402964,1
TCGA-BR-4367-01A,-13.6399412538435,-35.5934930746397,13.2744083681003,1
TCGA-BR-4368-01A,-2.41630606213654,-38.399634743639,14.8658650461009,1
TCGA-BR-4369-01A,-6.42373228974584,-38.9390017706072,0.27790604707791,1
TCGA-BR-4370-01A,-11.2949263304256,-39.7747849123341,11.7595135401776,1
TCGA-BR-6452-01A,-12.2458287539499,-36.2802553997267,8.6757457199403,1
TCGA-BR-6455-01A,-11.5168986841204,-30.88381501633,10.3218704306866,1
TCGA-BR-6456-01A,-2.73136526166322,-46.7463381502871,18.4402660883581,1
TCGA-BR-6457-01A,3.52727496403021,-25.1159917303718,13.5573747200821,1
TCGA-BR-6458-01A,-3.25780516084432,-27.3853246013554,22.4721019174553,1
TCGA-BR-6563-01A,1.81943972829086,-28.132359947337,5.76851083854861,1
TCGA-BR-6564-01A,1.79092335201746,-34.1658968816673,23.5708672200057,1
TCGA-BR-6566-01A,-13.0070263240388,-44.6428674267179,32.3964703955136,1
TCGA-BR-6705-01A,-8.53237855276641,-49.226642004758,15.3627092087137,1
TCGA-BR-6707-01A,-16.3023452180336,-39.7362075021019,12.5289274133521,1
TCGA-BR-6801-01A,-0.182512201295568,-53.3260905816411,26.2923571337428,1
TCGA-BR-6802-01A,8.82357012776361,-31.2491004309028,30.9159546908314,1
TCGA-BR-6803-01A,9.96966528130982,-28.3158856568742,11.9815515217343,1
TCGA-BR-7196-01A,-12.6018305826395,-32.7222311848014,7.59680803502567,1
TCGA-BR-7704-01A,-17.8743300025079,-42.341131541789,11.6805531949076,1
TCGA-BR-7722-01A,-9.43772435396545,-41.5345381974901,20.1145579435935,1
TCGA-BR-7723-01A,6.19262695814122,-31.7229185384385,14.0320571403182,1
TCGA-BR-7901-01A,11.5880557061156,-28.6273556794931,20.6364846091941,1
TCGA-BR-7957-01A,0.705999346294134,-46.2379194537318,7.4092843586651,1
TCGA-BR-7958-01A,-14.1919236024435,-46.5157955415834,24.0095932874513,1
TCGA-BR-7959-01A,2.09577782587962,-47.3239649227707,25.4571666247331,1
TCGA-BR-8058-01A,-3.14555214251564,-38.3054958212901,19.7924322090909,1
TCGA-BR-8059-01A,-1.5723244241472,-49.0693216893385,17.2599890931793,1
TCGA-BR-8060-01A,-10.7146003393326,-47.6250621328843,20.0201252850358,1
TCGA-BR-8080-01A,-1.03364624090267,-28.1876191624787,24.0887598061183,1
TCGA-BR-8081-01A,-0.0500834563734146,-46.0080746733137,15.5988499068998,1
TCGA-BR-8284-01A,-0.675366714949805,-39.2384134966993,13.5226548801311,1
TCGA-BR-8286-01A,-12.6419591023398,-46.8738142318244,9.40174759521462,1
TCGA-BR-8289-01A,-1.02487197864972,-45.0152530186893,6.83541847315257,1
TCGA-BR-8291-01A,18.6978712281909,-18.3308710074902,15.7326457297242,1
TCGA-BR-8295-01A,-4.29060878913626,-45.2405450590605,4.41226981525303,1
TCGA-BR-8296-01A,-9.60860097046571,-36.5286946436408,18.5115610844954,1
TCGA-BR-8297-01A,-4.98556346667036,-37.8679783321696,18.9496934397518,1
TCGA-BR-8361-01A,3.24033250220111,-34.4371560870747,-1.17794175102209,1
TCGA-BR-8364-01A,13.2132078298231,-20.5207013289809,15.6651199478478,1
TCGA-BR-8365-01A,15.7092858486283,-28.7074962905699,14.7558776004384,1
TCGA-BR-8366-01A,-5.58465358769203,-50.4240616463513,15.9002989786856,1
TCGA-BR-8369-01A,-1.28918423007204,-33.8597493963923,6.54585667537393,1
TCGA-BR-8371-01A,0.51182675691959,-24.3509197357648,15.2058397109848,1
TCGA-BR-8372-01A,7.93947744289218,-28.534702977833,5.62827152896671,1
TCGA-BR-8373-01A,1.24989673731111,-28.1683285432707,17.4699165808851,1
TCGA-BR-8380-01A,6.83411461530334,-26.4220506817482,10.4431163912421,1
TCGA-BR-8381-01A,-8.29483064533256,-51.2338301027181,22.3313982619166,1
TCGA-BR-8382-01A,-17.9563786351788,-52.2488376171029,30.4006476349362,1
TCGA-BR-8384-01A,5.26573056631029,-32.114949949618,12.3457534107722,1
TCGA-BR-8483-01A,-18.8267529414378,-34.8803369167027,6.13716789980837,1
TCGA-BR-8484-01A,-6.6874027720347,-30.0283169312213,9.16323079515968,1
TCGA-BR-8485-01A,-17.8467623438257,-32.636153420748,9.92400895295954,1
TCGA-BR-8487-01A,-8.33870331887829,-50.1849042361918,24.8410326081543,1
TCGA-BR-8589-01A,0.47093405625515,-29.7726017180615,3.45487489130811,1
TCGA-BR-8590-01A,-9.55135203929754,-51.3609863700185,25.4217747818212,1
TCGA-BR-8592-01A,3.79755995383464,-20.1626517646653,16.7756922220583,1
TCGA-BR-8676-01A,-16.7671183378438,-36.8400252021199,12.4890955214214,1
