Sample,X,Y,Z,Cluster
TCGA-3M-AB47-01A,19.5580687022746,-72.9107669456147,12.6958693322861,1
TCGA-B7-A5TI-01A,-1.90390088143517,-51.4245816125747,25.261821168824,1
TCGA-B7-A5TK-01A,18.9475205977293,-73.9626903207711,13.9213521786616,1
TCGA-BR-4201-01A,16.6087489073043,-50.8353200330392,20.7501619441931,1
TCGA-BR-4253-01A,16.7509743286424,-57.9614176393747,19.8459870665076,1
TCGA-BR-4256-01A,17.7617278654713,-54.1258593136681,17.6426301600832,1
TCGA-BR-4267-01A,18.3103652998316,-70.7142440939202,12.0464263417621,1
TCGA-BR-4279-01A,20.0237847555671,-68.0674663325479,11.0772367793261,1
TCGA-BR-4280-01A,17.7772920462562,-52.1894918876279,19.1281288000121,1
TCGA-BR-4294-01A,19.2652823339073,-70.2007385668561,10.3784278902954,1
TCGA-BR-4357-01A,17.7758224648694,-57.663764654049,17.8748335171298,1
TCGA-BR-4361-01A,0.311177778224182,-51.8506043132825,20.5860625201348,1
TCGA-BR-4363-01A,10.5731383008913,-60.0083506051911,13.0111788395592,1
TCGA-BR-4366-01A,18.0896205366947,-65.8186530117641,14.2007088459415,1
TCGA-BR-4367-01A,8.20029099837492,-58.9729367709918,13.4838310598236,1
TCGA-BR-4368-01A,13.6979756657948,-59.2865828048882,17.3861591100257,1
TCGA-BR-4369-01A,20.1512693363172,-57.7182626503212,22.9016250732862,1
TCGA-BR-4370-01A,12.1436280682339,-59.6120329370633,12.7044449476273,1
TCGA-BR-4371-01A,14.899609594305,-61.2888228564726,12.8463405866077,1
TCGA-BR-6452-01A,0.02356040945435,-49.7745411081586,23.9454616132117,1
TCGA-BR-6454-01A,30.3241984806517,-29.4766223360008,33.2626351169398,1
TCGA-BR-6455-01A,-2.59067290480184,-48.1513323752122,19.9731196756667,1
TCGA-BR-6456-01A,-3.08141722452016,-47.7835929878877,19.4963178992866,1
TCGA-BR-6802-01A,-4.82890713349992,-45.473775714177,17.0782997516442,1
TCGA-BR-6852-01A,-4.23061261948592,-43.7478713177499,16.6623245233781,1
TCGA-BR-7851-01A,-0.1116354969151,-50.2906550763823,23.511361700912,1
TCGA-BR-7957-01A,12.9655626635574,-62.3130774911407,12.4109021774381,1
TCGA-BR-7958-01A,28.5509942874788,-28.5393360552798,31.6559193935758,1
TCGA-BR-7959-01A,12.3595987845452,-61.6638313150881,12.8264326388499,1
