Sample,X,Y,Z,Cluster
TCGA-3M-AB47-01A,-22.962186910103,46.6997831505908,-31.553383612122,1
TCGA-B7-A5TN-01A,-31.5903762995663,47.6916783178885,-30.1744919330261,1
TCGA-BR-4187-01A,-17.102683121643,40.6769570769799,-42.8763912282121,1
TCGA-BR-4201-01A,-14.4339591213033,37.1142027008724,-44.4366433474859,1
TCGA-BR-4253-01A,-14.7271367876152,54.0417312280669,-31.5813070597575,1
TCGA-BR-4256-01A,-13.7363502057212,49.6379076318788,-30.6803722033462,1
TCGA-BR-4267-01A,-25.0771466815257,66.4091379943891,-37.2520529765798,1
TCGA-BR-4279-01A,-21.2077276561815,41.7549034996399,-40.671423086616,1
TCGA-BR-4280-01A,-17.5871747190253,39.5091141156841,-36.1285802894369,1
TCGA-BR-4357-01A,-16.0479011530144,46.2347597349582,-38.9195870222762,1
TCGA-BR-4361-01A,-17.9354654505211,42.6890920686868,-45.0221694201566,1
TCGA-BR-4363-01A,-22.9646482865891,49.6797094346632,-37.8439155825127,1
TCGA-BR-4366-01A,-24.100144780209,41.878439358892,-42.6379517645368,1
TCGA-BR-4368-01A,-21.5590412350332,55.1174927852813,-44.4775160744645,1
TCGA-BR-4370-01A,-29.1151980126427,47.5624875431885,-39.6110201973678,1
TCGA-BR-4371-01A,-20.8501776315734,44.8037214278956,-45.9657486414354,1
TCGA-BR-6705-01A,-27.0687738451478,61.033721953337,-18.8957124223846,1
TCGA-BR-6707-01A,-20.0926757911778,43.955996004881,-35.3306887121187,1
TCGA-BR-6710-01A,-30.2087609943621,61.4531484066576,-27.9063961110024,1
TCGA-BR-6802-01A,-18.0024848697088,60.0829692505725,-30.4689341001156,1
TCGA-BR-6852-01A,-30.6159647233367,52.0932028335574,-29.6833081391236,1
TCGA-BR-7722-01A,-23.8121085530919,59.5725572070144,-29.0289069176351,1
TCGA-BR-7851-01A,-17.6871172377896,48.6575488007573,-29.5064390009666,1
TCGA-BR-7957-01A,-19.1976970084138,49.2979270686766,-29.7788299705565,1
TCGA-BR-7959-01A,-18.3555020113812,34.2652635607357,-44.9795816821928,1
TCGA-BR-8058-01A,-13.2378302971832,42.5582851470936,-31.3827812313703,1
TCGA-BR-8060-01A,-23.9719714612578,39.2167383420869,-45.6840551604115,1
TCGA-BR-8080-01A,-11.122817433118,34.3614413467608,-31.9987042166956,1
TCGA-BR-8081-01A,-27.2596599216688,48.009712642824,-36.4094435993472,1
TCGA-BR-8289-01A,-11.7140205020849,51.1704775474572,-24.2913131227054,1
TCGA-BR-8291-01A,-11.5196966999798,54.0673895870512,-28.875435809261,1
TCGA-BR-8296-01A,-9.98013218118705,59.8584945748135,-23.6851758374371,1
