Sample,X,Y,Z,Cluster
TCGA-3M-AB46-01A,-38.7469418348954,-33.9294894529779,94.4830390661317,1
TCGA-B7-A5TI-01A,-46.2040056929244,-41.6366091437684,74.9533381540854,1
TCGA-B7-A5TJ-01A,-38.7136578918254,-24.9354394414372,96.7924373014135,1
TCGA-B7-A5TN-01A,-52.6143080671596,-37.36152350292,87.0866431140629,1
TCGA-BR-4257-01A,-46.9027524489404,-39.69148202801,78.2358250796735,1
TCGA-BR-4280-01A,-47.5934167696069,-35.2914509071953,85.6497062541074,1
TCGA-BR-4294-01A,-43.2177036385724,-41.1455245197505,73.1915039557557,1
TCGA-BR-4361-01A,-47.1691460815521,-39.5680600266479,79.1612382873537,1
TCGA-BR-4363-01A,-51.5162873083599,-40.2352347471554,80.152522703484,1
TCGA-BR-4368-01A,-59.1719114436111,-40.0593206084709,75.4275815170798,1
TCGA-BR-4369-01A,-40.7506429017519,-37.2533066237966,92.9110772614931,1
TCGA-BR-4370-01A,-57.4777062195168,-41.0926170473672,73.896245136655,1
TCGA-BR-6452-01A,-42.8862555058527,-32.7044921091093,90.659043245621,1
TCGA-BR-6454-01A,-39.8264258478515,-26.9888455782008,95.5569138166803,1
TCGA-BR-6455-01A,-45.8969460983341,-28.4448630616465,93.19487308147,1
TCGA-BR-6456-01A,-45.6750597213438,-41.561709615351,74.7782152379729,1
TCGA-BR-6458-01A,-41.8278351607837,-24.48444922267,97.0731806293198,1
TCGA-BR-6566-01A,-47.1943485863808,-38.6734026744485,82.6995036664575,1
TCGA-BR-6707-01A,-43.3531335341414,-31.629893440287,90.4341424444151,1
TCGA-BR-6802-01A,-60.5530264698786,-37.77507921827,80.3887621048685,1
TCGA-BR-6852-01A,-48.918680503407,-39.6517885303453,81.4139177829019,1
TCGA-BR-7197-01A,-55.3835602573083,-41.0487286663978,75.5712444117655,1
TCGA-BR-7704-01A,-32.1635582310609,-36.4591493736176,94.4945371799584,1
TCGA-BR-7707-01A,-47.5496942888683,-38.8227167723219,84.0717148980076,1
TCGA-BR-7716-01A,-41.5005357220944,-25.4063964636246,96.5138248420727,1
TCGA-BR-7717-01A,-52.5698648600854,-37.3400570887205,87.1760330837713,1
TCGA-BR-7723-01A,-41.3146731478546,-33.8912845534484,93.0896812923179,1
TCGA-BR-7851-01A,-43.2624415053912,-32.0558570694027,89.130244090256,1
TCGA-BR-7959-01A,-42.2752368681908,-40.7279900507842,75.4000140050827,1
TCGA-BR-8059-01A,-51.047654949355,-40.337345978634,79.7457328332637,1
TCGA-BR-8060-01A,-30.5178274294552,-36.0308949297696,95.4502336530431,1
TCGA-BR-8077-01A,-39.6548978502372,-27.0982969262588,95.5148283071058,1
TCGA-BR-8289-01A,-33.6539820107533,-34.1659840696024,95.8760184088752,1
TCGA-BR-8295-01A,-41.6499315048819,-34.0857993157681,92.3537744599481,1
TCGA-BR-8297-01A,-43.4930584485009,-42.1492546320066,68.9725738421254,1
TCGA-BR-8368-01A,-42.0967801403599,-30.0046505894833,91.2126492142406,1
TCGA-BR-8372-01A,-46.302400212576,-39.0758584712988,79.5313740916932,1
TCGA-BR-8373-01A,-31.9219113179759,-35.2304604391391,95.5991565421528,1
TCGA-BR-8381-01A,-43.1945276360381,-38.2791116176004,79.5136664466849,1
TCGA-BR-8382-01A,-43.7364894076124,-37.7696602514287,80.7326176358589,1
TCGA-BR-8483-01A,-38.8978102833917,-25.9526598593415,94.0257212799782,1
TCGA-BR-8485-01A,-33.5352247528458,-34.771667187275,95.5031643637851,1
TCGA-BR-8486-01A,-32.304254265141,-33.4989421212399,96.603086468848,1
TCGA-BR-8487-01A,-46.3947768151314,-37.8716609753525,83.2578208866345,1
TCGA-BR-8588-01A,-42.0566296804055,-42.7745779954463,68.4105831192783,1
TCGA-BR-8591-01A,-46.1735500721214,-37.5482040358816,83.7842901907415,1
TCGA-BR-8676-01A,-44.1511139474044,-39.9093384375271,76.673607204808,1
TCGA-BR-8678-01A,-47.3868224915256,-38.9780254243141,82.4734704742828,1
TCGA-BR-8680-01A,-39.2556359103362,-35.2822977031375,93.9082121792352,1
TCGA-BR-8687-01A,-36.9402332060923,-24.6980919064514,97.3425975289804,1
TCGA-BR-8690-01A,-40.5478820106776,-35.0086821289439,93.21380598364,1
TCGA-BR-A44U-01A,-40.3958765603688,-41.3681199086302,69.6339933585721,1
TCGA-BR-A4CR-01A,-45.65072284107,-37.5332333998602,82.1446784243759,1
TCGA-BR-A4J4-01A,-43.7555251127675,-37.5039880468734,90.764880253115,1
