Sample,X,Y,Z,Cluster
TCGA-3M-AB46-01A,1.89759103624688,-13.529304225796,-69.2748499866176,1
TCGA-3M-AB47-01A,-2.43297515643842,-4.30212125263161,-72.0578757585414,1
TCGA-B7-5818-01A,-1.18019329448376,-7.3411285956624,-32.0027471142675,1
TCGA-B7-A5TJ-01A,9.03155599391637,-5.80462517536523,-52.6706378078504,1
TCGA-B7-A5TN-01A,-1.80747231252239,-17.1130932884706,-74.4216393117066,1
TCGA-BR-4191-01A,4.76333298531888,-11.7117819414548,-62.1637050636392,1
TCGA-BR-4253-01A,23.0538073531304,-2.47597241868975,-64.6592956522096,1
TCGA-BR-4257-01A,-3.93552291630093,-4.37188137585952,-63.8663956804171,1
TCGA-BR-4267-01A,-5.98398186558596,-14.4630489514824,-40.0900724452782,1
TCGA-BR-4280-01A,25.7148553576435,-4.83712412492873,-62.7753565487717,1
TCGA-BR-4294-01A,22.988697722073,-9.98029061587697,-51.095069151437,1
TCGA-BR-4367-01A,-0.0149953152580072,-10.4771712403977,-36.2979645057762,1
TCGA-BR-4369-01A,1.31328822609872,-15.4163810845583,-49.6527147384727,1
TCGA-BR-4371-01A,15.9740790945591,-6.30253352739607,-68.378977820753,1
TCGA-BR-6452-01A,8.18771415913247,-8.6931203856009,-61.1393958793363,1
TCGA-BR-6454-01A,0.470816276172603,-12.8837544852381,-54.5994669294302,1
TCGA-BR-6455-01A,8.48351411794133,-16.1652879536984,-50.7458183962971,1
TCGA-BR-6707-01A,-4.88948867737112,-3.91192119481053,-71.1750574667494,1
TCGA-BR-6709-01A,-14.1056591746482,-4.7401739146233,-27.905594022611,1
TCGA-BR-6710-01A,25.1041858944657,-10.7812954880429,-58.2105265269074,1
TCGA-BR-6801-01A,10.6031375731904,-1.81195659509627,-57.3672118342098,1
TCGA-BR-6802-01A,20.4314708287256,-19.8610546682921,-45.4285273313512,1
TCGA-BR-7197-01A,3.23553112101052,-10.1347397030107,-46.9930594437629,1
TCGA-BR-7704-01A,0.747021368697622,-13.518382781567,-34.9394537680226,1
TCGA-BR-7716-01A,3.21363298608483,-14.7678382832464,-47.1253035898078,1
TCGA-BR-7717-01A,-9.24922438106481,-13.8745662453634,-49.6064366522244,1
TCGA-BR-7722-01A,6.86799603422426,-5.49352909803285,-36.5322721796568,1
TCGA-BR-7723-01A,26.6535905013276,-16.2384609709862,-64.8247125920946,1
TCGA-BR-7958-01A,16.7161805664103,-12.2083542957035,-59.3420675226882,1
TCGA-BR-8058-01A,-5.92817647875852,-10.5155333413614,-62.6751080359695,1
TCGA-BR-8077-01A,15.2732325419543,-11.0584275947494,-46.8531046901807,1
TCGA-BR-8284-01A,-11.0971217530745,-12.5208860742147,-71.4157918773568,1
TCGA-BR-8286-01A,1.07732939996914,-11.1336765899705,-72.2310216785382,1
