Sample,X,Y,Z,Cluster
TCGA-2G-AAFJ-01A,-7.9976948285869,17.477179848455,-8.89980324086589,1
TCGA-2G-AAFV-01A,-6.32331546066685,21.6868686721556,-9.9925601591711,1
TCGA-2G-AAFZ-01A,-7.29651460399515,22.7491040887565,-11.0220234854274,1
TCGA-2G-AAG5-01A,-6.08948759582893,16.9267990215041,-7.22441982406175,1
TCGA-2G-AAG6-01A,-4.12907440770286,19.5987922286313,-7.93298501345744,1
TCGA-2G-AAGG-01A,-8.35174912855077,15.5748278950603,-7.23047862892654,1
TCGA-2G-AAGI-01A,-7.24811423744408,22.6931179202839,-10.9802650707894,1
TCGA-2G-AAGM-01A,-7.06387406129506,21.5858079617488,-10.6612935573307,1
TCGA-2G-AAGP-01A,-8.24343321558209,15.0564731395185,-6.65629998043702,1
TCGA-2G-AAGT-01A,-7.9388478605868,19.2142525262691,-11.2863405740236,1
TCGA-2G-AAGV-01A,-4.02623608120008,19.5814149234503,-7.84392860965022,1
TCGA-2G-AAGX-01A,-5.52445464968579,20.2058492567235,-9.22690242507196,1
TCGA-2G-AAGY-01A,-7.15232059216467,18.074194660924,-9.2952514321138,1
TCGA-2G-AAH2-01A,-7.62197178689891,18.0374164106861,-9.19558202681063,1
TCGA-2G-AAH4-01A,-7.25882670330383,18.9623221250162,-10.5584611586656,1
TCGA-2G-AAL5-01A,-5.85305263851025,19.1377111765545,-10.1909556466007,1
TCGA-2G-AALF-01A,-5.18371737652667,14.1799845709951,-4.75562325079619,1
TCGA-2G-AALG-01A,-6.01815490661708,14.870067469441,-5.52274610480653,1
TCGA-2G-AALN-01A,-4.94917222614455,14.0095228806994,-4.55797527627523,1
TCGA-2G-AALO-01A,-8.21429903502316,14.8712753650864,-6.55187267045283,1
TCGA-2G-AALQ-01A,-3.17152212904731,20.6678714380122,-9.47635885605133,1
TCGA-2G-AALR-01A,-5.65158098908711,19.274760181617,-10.2601377844088,1
TCGA-2G-AALT-01A,-5.99052525366119,14.8844746922025,-5.52342011514167,1
TCGA-2G-AALW-01A,-8.2120334113076,17.3833567471369,-8.89387315147111,1
TCGA-2G-AALX-01A,-7.00935440297584,17.8728874578362,-9.00752310919584,1
TCGA-2G-AALZ-01A,-5.91786722393162,15.1021006022516,-5.63680514177269,1
TCGA-2G-AAM3-01A,-4.01033268410865,19.4952446521259,-7.74686318764318,1
TCGA-4K-AA1H-01A,-8.41958913745088,14.4151523677459,-6.30927701445616,1
TCGA-SN-A84W-01A,-5.82639721050781,20.049545183842,-9.25214236561628,1
TCGA-SN-A84X-01A,-6.60307584263223,15.7812235683669,-6.49286069943151,1
TCGA-W4-A7U3-01A,-7.91513435135562,19.1780485293458,-11.1065665540642,1
TCGA-X3-A8G4-01A,-7.99402991259973,20.9029054524042,-8.30515747100913,1
TCGA-XE-AANI-01A,-6.28892605120138,16.5074150508546,-6.98357606812507,1
TCGA-XE-AAO6-01A,-3.27268391924195,6.2248405894447,-0.442274315650169,1
TCGA-XE-AAOB-01A,-7.10758599443446,14.7119555879804,-5.90538993851557,1
TCGA-XE-AAOC-01A,-6.228984820703,16.4133775749781,-6.85338838723252,1
TCGA-XE-AAOJ-01A,-4.87392206779149,19.6738008558487,-9.7805309497127,1
TCGA-YU-A90S-01A,-8.62931913424283,13.7491726841669,-5.98881344338641,1
TCGA-YU-A94D-01A,-4.09447927458369,20.2073827732619,-8.79347978142744,1
TCGA-YU-A94I-01A,-6.14049652533341,21.3536313516219,-9.84371698946985,1
TCGA-YU-AA61-01A,-8.56038872045265,19.0237666764015,-11.3589591310245,1
TCGA-ZM-AA05-01A,-4.7188440032141,9.03957552133432,-2.40387953700506,1
TCGA-ZM-AA06-01A,-3.88834901562248,7.77501426711939,-1.50532192742046,1
TCGA-ZM-AA0B-01A,-4.30687525783935,8.10234511975284,-1.85769129577918,1
TCGA-ZM-AA0D-01A,-4.70369009055222,8.93839414101778,-2.35709836006595,1
TCGA-ZM-AA0E-01A,-4.76001756376828,8.62861015386497,-2.24852345263964,1
