Sample,X,Y,Z,Cluster
TCGA-2G-AAFJ-01A,-142.583325086041,-36.0849084884062,-40.4416949010518,1
TCGA-2G-AAFV-01A,-152.817706201149,-32.5243705586895,-34.6990483039893,1
TCGA-2G-AAFY-01A,-144.170830099838,-33.2551782120316,-24.4018796305427,1
TCGA-2G-AAFZ-01A,-156.909985801391,-33.1001213753598,-43.1008066735262,1
TCGA-2G-AAG3-01A,-159.982045495944,-27.709929079336,-35.2772848537585,1
TCGA-2G-AAG5-01A,-153.760938877977,-24.28529394796,-27.3912193117615,1
TCGA-2G-AAG6-01A,-144.79812073629,-28.0500710868482,-28.759103889634,1
TCGA-2G-AAGF-01A,-153.908159466048,-31.4258083289259,-28.9315093604108,1
TCGA-2G-AAGG-01A,-151.59090705522,-46.4446358765067,-42.7177969860638,1
TCGA-2G-AAGI-01A,-154.373124836975,-39.0035372126629,-35.6798465782846,1
TCGA-2G-AAGM-01A,-156.612356638776,-36.6209996902815,-31.6884374124523,1
TCGA-2G-AAGP-01A,-145.250611536771,-28.4552689886401,-41.0084905798507,1
TCGA-2G-AAGS-01A,-142.613515658737,-35.291177558487,-36.0952009716962,1
TCGA-2G-AAGV-01A,-157.136214610968,-28.8418524704862,-31.101431161167,1
TCGA-2G-AAGX-01A,-140.592261295855,-24.580496666476,-29.7259264150105,1
TCGA-2G-AAGY-01A,-144.589599632014,-25.0799033247238,-29.3404128221776,1
TCGA-2G-AAH2-01A,-144.54100787699,-24.8814438275189,-33.9535440538683,1
TCGA-2G-AAH4-01A,-157.01090432858,-42.2329864154144,-31.9050972246973,1
TCGA-2G-AAKM-01A,-154.632512605598,-24.9517015440651,-35.0249798355834,1
TCGA-2G-AAL5-01A,-152.439608662155,-36.7906875255137,-36.3246644042625,1
TCGA-2G-AALF-01A,-154.761877497575,-35.6469382774645,-41.4564629470886,1
TCGA-2G-AALG-01A,-155.412865177972,-32.0167380702522,-44.346361386386,1
TCGA-2G-AALN-01A,-157.756735487621,-40.4067724180752,-30.7182001450937,1
TCGA-2G-AALO-01A,-150.926873609216,-50.2453107650799,-34.5929976782504,1
TCGA-2G-AALQ-01A,-156.499191961037,-38.0500292119113,-31.0127151641607,1
TCGA-2G-AALR-01A,-156.319976885606,-33.6541418331416,-46.8982454571815,1
TCGA-2G-AALT-01A,-149.886566113811,-36.8129035814189,-38.2544882568631,1
TCGA-2G-AALW-01A,-148.29650709262,-34.2879512517796,-35.4282776783595,1
TCGA-2G-AALX-01A,-144.917082406005,-37.349659644283,-40.570141788208,1
TCGA-2G-AALY-01A,-157.336614726915,-33.1518941846997,-25.704332843317,1
TCGA-2G-AALZ-01A,-144.85249696396,-31.1696733072298,-39.1043201055726,1
TCGA-2G-AAM3-01A,-156.393227178664,-33.7273257768598,-32.0493755043675,1
TCGA-SN-A84W-01A,-150.170397863647,-39.7263824371313,-42.2064409610161,1
TCGA-SN-A84X-01A,-153.703194232175,-42.8789758639723,-31.1405531766681,1
TCGA-W4-A7U3-01A,-154.900984543295,-39.2801627342492,-44.5461958324422,1
TCGA-XE-AANI-01A,-145.085683018181,-39.3244997763455,-36.3694770050784,1
TCGA-XE-AAOB-01A,-142.413501754603,-36.1353128680408,-36.381188864971,1
TCGA-XE-AAOC-01A,-152.086122547664,-35.9765239218226,-30.5645236136973,1
TCGA-XE-AAOJ-01A,-150.435741777163,-37.672941943787,-42.3274634825279,1
TCGA-YU-A90Y-01A,-155.74002220079,-39.6609737182567,-43.4261649806771,1
TCGA-YU-A94D-01A,-153.567858925199,-30.985756095657,-33.9479789910111,1
TCGA-YU-A94I-01A,-158.229288094096,-35.0637272822166,-30.7304136895981,1
TCGA-YU-AA61-01A,-154.702746934566,-29.9981738568065,-46.7047954888304,1
TCGA-2G-AAEW-01A,161.382099116361,34.2745789409229,22.7944450412404,2
TCGA-2G-AAEX-01A,155.715560352931,48.1928399336533,20.1045844173252,2
TCGA-2G-AAF1-01A,159.943580142722,33.2420146545292,21.1713927265679,2
TCGA-2G-AAF4-01A,151.286209749923,37.4891619982896,23.0850985112894,2
TCGA-2G-AAF6-01A,160.061941159549,43.0920782449728,20.701675360817,2
TCGA-2G-AAF8-01A,160.031154123464,41.6780263385272,12.9786524377867,2
TCGA-2G-AAFE-01A,161.485861984024,29.6710972214964,22.277926892298,2
TCGA-2G-AAFG-01A,152.576900519339,35.1331223028037,21.425486006095,2
TCGA-2G-AAFH-01A,156.585739667203,48.5647480454809,14.9809746372789,2
TCGA-2G-AAG9-01A,149.058695075188,33.8786912051007,13.02967403456,2
TCGA-2G-AAH0-01A,157.635121995554,30.5872340695162,19.9434197938565,2
TCGA-2G-AAH3-01A,161.127959676432,38.4117240590519,20.9659537601191,2
TCGA-2G-AAH8-01A,157.799701512853,26.1650913499968,17.1593983084213,2
TCGA-2G-AAHA-01A,161.439240632803,29.8485446329002,24.9716677053759,2
TCGA-2G-AAHC-01A,151.313808585769,45.3120919597909,24.8277910070852,2
TCGA-2G-AAHG-01A,148.212785282622,37.4740935590659,14.9424864990581,2
TCGA-2G-AAHL-01A,164.746038466321,20.3155165911443,16.0213304003882,2
TCGA-2G-AAHN-01A,161.466926305566,22.022450689768,18.8935685589134,2
TCGA-2G-AAHP-01A,160.105843994809,29.216244921434,21.018158229683,2
TCGA-2G-AAHT-01A,160.746973318342,29.8687783947771,28.3714578222992,2
TCGA-2G-AAKO-01A,150.558793841901,28.9009723319467,20.4420585276265,2
TCGA-2X-A9D5-01A,149.098057307927,32.3251413532494,15.361185867431,2
TCGA-2X-A9D6-01A,152.428596368621,31.4290885775958,24.5613120983261,2
TCGA-4K-AA1G-01A,152.591659028777,32.4046580347392,20.3383350847594,2
TCGA-4K-AA1H-01A,154.208072631176,19.6742639019686,10.7562921648633,2
TCGA-4K-AA1I-01A,152.419162548796,37.9264108779822,21.1814526518685,2
TCGA-4K-AAAL-01A,159.068071262342,26.0996850946011,17.6322487258738,2
TCGA-S6-A8JW-01A,150.564253289241,26.4110711685656,25.754368266762,2
TCGA-S6-A8JX-01A,149.41201983799,36.1046686204329,19.7540945528436,2
TCGA-S6-A8JY-01A,156.355872185496,44.6688422258298,17.6991375835089,2
TCGA-SB-A6J6-01A,158.868092584992,39.7818965691012,24.8857285460968,2
TCGA-SB-A76C-01A,156.397953216355,45.3144995539826,27.8576651955349,2
TCGA-SN-A6IS-01A,151.93797397998,47.2148427334318,28.7214032799,2
TCGA-SO-A8JP-01A,152.396746350655,39.8154097870579,26.4006690601515,2
TCGA-VF-A8A9-01A,153.240698448229,31.7654018874814,27.5390884397956,2
TCGA-VF-A8AA-01A,162.524836033602,31.4599570857115,24.2543984877444,2
TCGA-VF-A8AB-01A,162.602598712647,29.0362355670608,14.8041347271172,2
TCGA-VF-A8AC-01A,161.828883973032,22.464505746432,18.9753919556482,2
TCGA-W4-A7U2-01A,149.816897214476,35.3945699029276,17.9522094176007,2
TCGA-WZ-A7V3-01A,157.145728431715,35.8979395065896,23.136085270398,2
TCGA-WZ-A7V4-01A,155.050751811101,33.0335445304865,22.8820914638101,2
TCGA-WZ-A7V5-01A,159.023070771445,34.6698902226329,23.2141948823253,2
TCGA-WZ-A8D5-01A,160.613694628137,27.9470719507203,16.7438518227834,2
TCGA-XE-A8H4-01A,162.480299077085,28.5371787000673,25.6677343821083,2
TCGA-XE-A8H5-01A,149.7107645431,35.7358317764763,17.7757179289128,2
TCGA-XE-A9SE-01A,156.00793882652,41.1790674448994,12.1613278071741,2
TCGA-XE-AANJ-01A,152.552242360175,39.8217507656324,22.0196161501103,2
TCGA-XE-AANR-01A,162.302208916175,26.8597106496382,17.3132796677607,2
TCGA-XE-AANV-01A,150.999473490769,29.8784678581178,22.1395495127449,2
TCGA-XE-AAO3-01A,160.88747424481,39.0537085189772,20.5998929322494,2
TCGA-XE-AAO4-01A,162.479785299571,29.2738689145917,22.0877316408373,2
TCGA-XE-AAO6-01A,161.890086888282,32.6676674748202,20.651812571517,2
TCGA-XE-AAOD-01A,159.142362328344,27.1662944313911,9.91381574911208,2
TCGA-XE-AAOF-01A,152.879374424092,37.5381969618371,21.3839285758641,2
TCGA-XE-AAOL-01A,151.866625190887,43.1248604790418,18.6099347991815,2
TCGA-XY-A89B-01A,159.74223508779,39.677342198479,22.908198189015,2
TCGA-XY-A9T9-01A,153.103825475994,44.7265057099332,12.0047248856808,2
TCGA-YU-A90P-01A,148.393283478768,42.4615631598101,15.2272373019576,2
TCGA-YU-A90Q-01A,155.977196216499,27.0669598128211,19.7637415788557,2
TCGA-YU-A90S-01A,163.1630396439,35.2795522302435,12.6464233576012,2
TCGA-YU-A90W-01A,159.135830543785,30.4141848504032,23.23134147549,2
TCGA-YU-A912-01A,152.013329787409,37.7936602434854,18.8024923210902,2
TCGA-ZM-AA05-01A,152.253085402913,37.3820569583023,27.1600069362422,2
TCGA-ZM-AA06-01A,147.402635913671,34.7893546536099,16.4292521533699,2
TCGA-ZM-AA0D-01A,162.543805628913,34.2652542134729,15.8810556730231,2
TCGA-ZM-AA0E-01A,159.860355790572,26.9199442759694,21.0739932996373,2
TCGA-ZM-AA0F-01A,157.299966658719,24.71581626877,29.3426493984974,2
TCGA-ZM-AA0H-01A,153.51402384841,26.5366849681861,21.2769423767322,2
TCGA-ZM-AA0N-01A,162.520568107549,24.3980881965887,20.2370397315389,2
TCGA-2G-AAFI-01A,-107.711599945279,-25.2399829591429,12.669508820409,3
TCGA-2G-AAFL-01A,-105.079178117636,-24.5770536661145,-0.269180575100863,3
TCGA-2G-AAFM-01A,-109.047707119817,-20.5097257708021,3.98829776960457,3
TCGA-2G-AAFN-01A,-108.233812313312,-23.5668524765313,6.98004438404063,3
TCGA-2G-AAFO-01A,-109.996106656552,-23.1012833888865,10.3352937517635,3
TCGA-2G-AAG0-01A,-112.590817559121,-26.4770310013865,-3.12999555733817,3
TCGA-2G-AAG7-01A,-113.889603058303,-18.0070467903962,5.62685011623839,3
TCGA-2G-AAG8-01A,-119.377967102603,-15.8496241763201,9.24449687584903,3
TCGA-2G-AAGA-01A,-114.389818090675,-23.6410509351921,9.80127833632622,3
TCGA-2G-AAGC-01A,-104.108469768344,-26.8913762975076,-6.82173877134431,3
TCGA-2G-AAGE-01A,-106.529027802536,-18.1902651331471,-1.98018929155112,3
TCGA-2G-AAGJ-01A,-112.687632079909,-26.897542256413,-6.45197727739389,3
TCGA-2G-AAGK-01A,-109.315847996968,-23.0996690672358,13.0571713196763,3
TCGA-2G-AAGN-01A,-112.385668386114,-24.766194436638,4.6989744261909,3
TCGA-2G-AAGO-01A,-107.885209140925,-20.4831853164229,11.1741203488441,3
TCGA-2G-AAGT-01A,-116.775425256984,-20.8341264006764,-7.99944922943198,3
TCGA-2G-AAGW-01A,-117.385775801576,-25.9664682330057,4.31718955491222,3
TCGA-2G-AAGZ-01A,-110.712571656109,-17.1786371069481,0.665566943764123,3
TCGA-2G-AAKD-01A,-116.575847720371,-24.5333939656475,5.27959379700511,3
TCGA-2G-AAKG-01A,-118.423623800189,-18.5427940637243,-4.4236274840148,3
TCGA-2G-AAKH-01A,-108.431260631565,-10.8016550585746,7.79284472013178,3
TCGA-2G-AAKL-01A,-120.049374827973,-26.689636505115,7.19978680016705,3
TCGA-2G-AAL7-01A,-106.841085546495,-23.6755630455508,4.86657791411047,3
TCGA-2G-AALP-01A,-122.802546974487,-17.8140050366089,8.4061457787829,3
TCGA-2G-AALS-01A,-111.8673966031,-29.4188791027032,5.79064949245007,3
TCGA-2G-AAM2-01A,-119.142435355005,-22.3073177207053,2.76106249572008,3
TCGA-2G-AAM4-01A,-111.264551173356,-24.3412863513645,5.5743814562099,3
TCGA-SN-A84Y-01A,-120.468423793363,-21.1708123729928,-1.94710502069202,3
TCGA-VF-A8A8-01A,-107.335778533841,-27.7188718254994,-3.57648533225877,3
TCGA-VF-A8AD-01A,-106.597631919215,-21.7929587915876,13.5786387865898,3
TCGA-VF-A8AE-01A,-117.815168005161,-12.9983241845317,-1.18289998078881,3
TCGA-W4-A7U4-01A,-118.204921403947,-11.3051371933659,6.76205150912894,3
TCGA-X3-A8G4-01A,-108.391841563807,-27.5490694234949,6.72501475887737,3
TCGA-XE-A8H1-01A,-119.155545062979,-28.9154917361514,-6.3833360033532,3
TCGA-XY-A8S2-01A,-111.958439216377,-28.9477270925651,4.37798080245713,3
TCGA-XY-A8S3-01B,-108.880135616171,-22.004762400459,12.8687413545058,3
TCGA-YU-AA4L-01A,-110.583794620878,-26.9963672250683,-0.359001437585066,3
TCGA-ZM-AA0B-01A,-113.395109578374,-25.8079585520225,-0.789766561278727,3
