Sample,X,Y,Z,Cluster
TCGA-2G-AAFI-01A,56.2430965547135,-62.391568349565,-9.03812045422713,1
TCGA-2G-AAFJ-01A,63.3997349836209,-48.5621700958354,-11.252408531329,1
TCGA-2G-AAFL-01A,65.4500978850944,-60.9995783680534,-6.77059410840315,1
TCGA-2G-AAFM-01A,61.0432578507701,-61.2710315035182,-5.106998239991,1
TCGA-2G-AAFN-01A,61.1292690372075,-64.135392514045,-6.18989440164619,1
TCGA-2G-AAFO-01A,62.2007097972303,-54.3739862561781,-12.4138992090672,1
TCGA-2G-AAFY-01A,62.6150604775389,-58.7382426330247,-11.538430612346,1
TCGA-2G-AAFZ-01A,59.5556523727514,-52.4675238353123,-2.43363155324896,1
TCGA-2G-AAG0-01A,59.9586421419786,-58.9045545903823,-10.8440222888397,1
TCGA-2G-AAG5-01A,61.2683656662362,-53.0678937447464,-8.00058303133795,1
TCGA-2G-AAG6-01A,58.9371818322118,-48.7993007257435,-2.34027393534821,1
TCGA-2G-AAG7-01A,63.2668427274193,-59.1714685675722,-7.94186726877179,1
TCGA-2G-AAG8-01A,62.1400678936278,-64.0440794561718,-7.75809093593336,1
TCGA-2G-AAGA-01A,58.4040374473362,-66.5636166283161,-15.564598080019,1
TCGA-2G-AAGC-01A,59.9506964564487,-60.8412777073042,-9.00949047825555,1
TCGA-2G-AAGE-01A,56.9228286287925,-62.769606442325,-8.43005978430087,1
TCGA-2G-AAGF-01A,60.5326448798553,-52.070030442867,-7.32693658791749,1
TCGA-2G-AAGG-01A,65.6711551795466,-49.7889531442424,-6.17938260562169,1
TCGA-2G-AAGI-01A,60.6541891979721,-55.1739809862639,-9.27101810205707,1
TCGA-2G-AAGJ-01A,61.6750669035704,-60.0858516242076,-11.4804709488188,1
TCGA-2G-AAGK-01A,62.116568553647,-62.7484696344813,-3.52386413426455,1
TCGA-2G-AAGM-01A,58.9707176402892,-66.6187120105874,-10.1569727864992,1
TCGA-2G-AAGN-01A,63.3313512083905,-59.6319463381107,-9.47044332895909,1
