Sample,X,Y,Z,Cluster
TCGA-2G-AAEX-01A,-29.0856582468969,-31.7749006476896,-150.52717505669,1
TCGA-2G-AAF4-01A,-23.5556011170285,-33.2486511444062,-147.477332860068,1
TCGA-2G-AAFE-01A,-15.3598844834864,-36.9827359395128,-151.018900311211,1
TCGA-2G-AAFG-01A,-18.032264945157,-42.4342438522815,-148.616304528755,1
TCGA-2G-AAFH-01A,-21.1733000217921,-34.4265866675482,-139.404623180883,1
TCGA-2G-AAFI-01A,-14.6136320285068,-38.7264031872121,-141.993594623074,1
TCGA-2G-AAFN-01A,-8.90454268364203,-38.4598914056496,-147.744399035139,1
TCGA-2G-AAFV-01A,-5.30010740834308,-37.2881789644703,-144.166753124479,1
TCGA-2G-AAFZ-01A,-16.9364295999906,-33.9076182429398,-145.568675784652,1
TCGA-2G-AAG0-01A,-24.5833251247829,-45.146201738232,-147.722609404667,1
TCGA-2G-AAG7-01A,-19.8177085039624,-30.4798825458665,-139.355060668724,1
TCGA-2G-AAGC-01A,-11.0120489248012,-35.7122097285435,-138.347996648385,1
TCGA-2G-AAGJ-01A,-16.4252153275982,-40.6463081175485,-149.81932266641,1
TCGA-2G-AAGK-01A,-5.4675002079642,-30.6404736478746,-144.11822287299,1
TCGA-2G-AAGM-01A,-14.7872260442095,-27.7443829693348,-146.410318984085,1
TCGA-2G-AAGN-01A,-26.5955342128584,-38.8201277963904,-148.156067805902,1
TCGA-2G-AAGO-01A,-16.8125266744861,-30.1943700099764,-153.650856599518,1
TCGA-2G-AAGT-01A,-17.9163580550127,-41.0520205014748,-147.541160884883,1
TCGA-2G-AAGV-01A,-11.1520511196971,-32.2599900685654,-142.808903313748,1
TCGA-2G-AAGZ-01A,-13.664041334152,-45.6683219276985,-147.902707850329,1
TCGA-2G-AAH3-01A,-9.06394035046084,-38.9548116721635,-145.287849738939,1
TCGA-2G-AAH4-01A,-10.8618836683103,-33.1489276764594,-135.385739603295,1
TCGA-2G-AAHC-01A,-21.2362259983847,-37.2455104471552,-149.655498328545,1
TCGA-2G-AAHG-01A,-23.8836197037099,-37.7147849908445,-146.106985860011,1
TCGA-2G-AAHL-01A,-12.5197554731207,-45.8237153409215,-144.641796652615,1
TCGA-2G-AAHT-01A,-18.2984004718162,-38.4997191091539,-151.93392722593,1
TCGA-2G-AAKG-01A,-7.85779413077246,-34.4546717099778,-151.317502437466,1
TCGA-2G-AAKH-01A,-21.6971119733584,-56.451005613647,-142.736976748279,1
TCGA-2G-AAKM-01A,-18.2180159712605,-38.473590336063,-138.633117071373,1
TCGA-2G-AAL5-01A,-7.82423032124155,-31.6398946430919,-145.7647152735,1
TCGA-2G-AAL7-01A,-16.750664752365,-38.6852621956038,-144.656192300264,1
TCGA-2G-AALF-01A,-5.19127458914206,-39.4595977936626,-138.637625525196,1
TCGA-2G-AALQ-01A,-9.83526726563462,-33.4260804721881,-137.13703939926,1
TCGA-2G-AALR-01A,-2.58833151059905,-39.4535563014226,-146.441089018341,1
TCGA-2G-AALS-01A,-7.93138721832939,-37.3148565473257,-144.597129785916,1
TCGA-2G-AALW-01A,-12.6567127171169,-42.2460337167108,-139.863994350972,1
TCGA-2X-A9D5-01A,-16.2420822599033,-53.8442554327426,-142.524951031573,1
TCGA-4K-AA1G-01A,-16.494436726523,-32.1779152559154,-152.603681214791,1
TCGA-S6-A8JX-01A,-24.575145505039,-35.3109422613965,-145.358959802399,1
TCGA-S6-A8JY-01A,-15.009245399588,-35.3447494938657,-140.751934912108,1
TCGA-SB-A6J6-01A,-27.4044918462994,-31.4468653205382,-145.228441340154,1
TCGA-SB-A76C-01A,-13.8866675122222,-38.2974727279414,-151.888223054957,1
TCGA-SN-A6IS-01A,-16.9269544010526,-31.5683051763975,-144.539709297531,1
TCGA-SO-A8JP-01A,-22.3730437590712,-47.7977153187278,-147.976259636325,1
TCGA-VF-A8A9-01A,-25.9331087380631,-36.8178775810669,-141.116702378019,1
TCGA-VF-A8AA-01A,-17.1267758806767,-37.0225472847957,-151.928969832226,1
TCGA-VF-A8AB-01A,-14.7868262732543,-37.7168771116708,-140.611254832724,1
TCGA-VF-A8AE-01A,-13.7973507814978,-40.198338519825,-149.295806737781,1
TCGA-W4-A7U2-01A,-12.1503927746356,-39.4312599246726,-150.531782217878,1
TCGA-W4-A7U3-01A,-12.5059722436022,-38.7508555169393,-134.229113605666,1
TCGA-W4-A7U4-01A,-19.0725407913115,-42.8216672549004,-141.802951122014,1
TCGA-WZ-A7V4-01A,-20.0944096378365,-39.0466956798363,-142.886787684661,1
TCGA-WZ-A7V5-01A,-16.8675335380297,-34.0664119108506,-143.28102437795,1
TCGA-WZ-A8D5-01A,-27.277757079775,-37.5963557322357,-147.145827899186,1
TCGA-XE-A9SE-01A,-25.966546372665,-34.8687163963733,-140.094830029391,1
TCGA-XE-AANJ-01A,-16.1968718765233,-37.2556505993304,-151.477396843445,1
TCGA-XE-AANV-01A,-19.9893868011755,-86.3524515867659,-174.666599315472,1
TCGA-XE-AAO3-01A,-24.4539488005818,-49.1207926695946,-142.801419273312,1
TCGA-XE-AAOC-01A,-11.5926508867717,-37.9151769127127,-146.193586610511,1
TCGA-XE-AAOD-01A,-22.5809965301287,-43.3860362811543,-139.38027835009,1
TCGA-XE-AAOJ-01A,-14.6003191282495,-37.1387140700358,-142.255965229487,1
TCGA-XE-AAOL-01A,-24.6788504928977,-47.0366092538375,-138.274685912824,1
TCGA-XY-A8S3-01B,-21.1090346560487,-34.8198327897806,-148.445289308571,1
TCGA-XY-A9T9-01A,-22.8034123683104,-45.6859517109835,-149.331492318051,1
TCGA-YU-A90W-01A,-21.5834713431064,-32.0907270405663,-152.088902586212,1
TCGA-YU-A90Y-01A,-6.33281750927091,-34.3527925513001,-142.400046006669,1
TCGA-YU-A94D-01A,-4.08005284734398,-32.9341653096467,-134.718501293441,1
TCGA-YU-A94I-01A,-4.14070666443107,-34.7865667404487,-141.110132848522,1
TCGA-YU-AA4L-01A,-13.9520287737582,-29.4954696964746,-143.418336713505,1
TCGA-YU-AA61-01A,-16.4825736202452,-38.939475857336,-145.071748574273,1
TCGA-ZM-AA06-01A,-21.3565322979054,-42.5488347166395,-144.613326485049,1
TCGA-ZM-AA0D-01A,-23.6719356142182,-52.6419693415932,-145.27342579244,1
TCGA-ZM-AA0E-01A,-23.6370226034783,-45.6942257669678,-138.913736522478,1
TCGA-ZM-AA0N-01A,-20.9764183688909,-39.8455968846817,-138.960094228686,1
TCGA-2G-AAEW-01A,17.9775175229098,46.985586743894,147.220667924178,2
TCGA-2G-AAF1-01A,22.290658790342,44.2900211254507,143.004373618613,2
TCGA-2G-AAF6-01A,11.3693624633078,43.7212250787274,143.353031523082,2
TCGA-2G-AAF8-01A,19.3026133872617,38.0029292360476,137.09886346484,2
TCGA-2G-AAFJ-01A,17.1254707758586,38.6215029489658,135.743402991281,2
TCGA-2G-AAFL-01A,11.3511142979612,23.8517435468544,140.306918048614,2
TCGA-2G-AAFM-01A,17.6562234601988,22.2383296041148,143.662951267527,2
TCGA-2G-AAFO-01A,17.9814755739752,23.1088252666298,136.687303557155,2
TCGA-2G-AAFY-01A,11.6790811112105,34.664996767244,140.705069218231,2
TCGA-2G-AAG3-01A,19.7371192853246,41.9953545304986,142.217742766497,2
TCGA-2G-AAG5-01A,5.12460704550737,26.3881125477021,135.769603092967,2
TCGA-2G-AAG6-01A,8.36329056788465,37.2354717393156,143.025262192185,2
TCGA-2G-AAG8-01A,12.2823533779538,41.4041120535764,150.94606862587,2
TCGA-2G-AAG9-01A,22.7421160378772,37.2253347740437,146.836001805543,2
TCGA-2G-AAGA-01A,21.6306272773883,39.4911112715411,140.581934389356,2
TCGA-2G-AAGE-01A,15.6010795464843,36.5832864791156,143.398409386848,2
TCGA-2G-AAGF-01A,18.6709800904407,28.058198841594,138.007391182382,2
TCGA-2G-AAGG-01A,12.3794802918395,36.0611367771777,133.191075899012,2
TCGA-2G-AAGI-01A,6.93822368695853,31.1533141333476,140.422314526879,2
TCGA-2G-AAGP-01A,12.7495219334125,26.4806391184525,138.089115352301,2
TCGA-2G-AAGS-01A,14.6037014870943,37.3033801874318,132.929157850001,2
TCGA-2G-AAGW-01A,18.8295878027963,32.2087944583951,135.554075716507,2
TCGA-2G-AAGX-01A,19.135490206248,43.1253162343173,137.507214227504,2
TCGA-2G-AAGY-01A,19.1809984226266,27.5285199674305,131.892771007377,2
TCGA-2G-AAH0-01A,24.9989175416838,43.5493892371318,137.777956075268,2
TCGA-2G-AAH2-01A,6.15083012728516,32.8591078326294,142.901219845605,2
TCGA-2G-AAH8-01A,15.9827603871482,45.070971900423,147.913201094827,2
TCGA-2G-AAHA-01A,19.8225572735981,41.3597532332903,147.397896910215,2
TCGA-2G-AAHN-01A,11.2472307604021,41.6237572133293,150.206494571675,2
TCGA-2G-AAHP-01A,20.9880420980357,43.2959393536444,140.587722259824,2
TCGA-2G-AAKD-01A,16.8322694786135,42.2175635843875,138.074824753392,2
TCGA-2G-AAKL-01A,22.2830234930729,32.2540404346162,143.283969725632,2
TCGA-2G-AAKO-01A,15.1667153442859,36.0629905652239,136.944187796654,2
TCGA-2G-AALG-01A,8.61475895944621,28.9611149850687,140.15656640006,2
TCGA-2G-AALN-01A,20.1829526874671,29.8508281406779,142.808838182957,2
TCGA-2G-AALO-01A,13.035347045983,34.9858580290579,130.407868122094,2
TCGA-2G-AALP-01A,25.0451533567453,34.7890581776391,136.953854314144,2
TCGA-2G-AALT-01A,9.63515272519404,37.8423470366046,138.822577195895,2
TCGA-2G-AALX-01A,6.63726954287539,28.670125344247,144.054128652172,2
TCGA-2G-AALY-01A,20.4150453263356,32.3388404424935,139.000632183694,2
TCGA-2G-AALZ-01A,7.86052105111332,30.2107875350366,139.545072273905,2
TCGA-2G-AAM2-01A,22.5818019880395,34.2105402872308,137.046164266053,2
TCGA-2G-AAM3-01A,15.855925302782,34.2649141773048,133.851384709737,2
TCGA-2G-AAM4-01A,14.3344715596368,40.8638258814582,139.58510838288,2
TCGA-2X-A9D6-01A,17.6810256012141,41.4031426366869,150.569515328289,2
