Sample,X,Y,Z,Cluster
TCGA-3G-AB0O-01A,-57.3090065915587,16.6799943297796,31.2630325669995,1
TCGA-3Q-A9WF-01A,-54.5920287826235,20.004118107702,31.4567642685104,1
TCGA-3S-AAYX-01A,-62.0634120768744,16.4714464065387,27.5460136584247,1
TCGA-3T-AA9L-01A,-63.2863647944043,24.5459445533376,30.7500711976337,1
TCGA-4V-A9QI-01A,-57.1755418105859,16.6270038286956,28.6203560884092,1
TCGA-4V-A9QT-01A,-51.7382091748561,22.5538352103869,27.4597722726286,1
TCGA-4V-A9QU-01A,-63.0345200602277,20.294332651988,30.0353601013773,1
TCGA-4V-A9QX-01A,-64.6374620669695,22.8846760332243,25.1528273973808,1
TCGA-4X-A9FB-01A,-59.1714941505448,16.7260584386574,25.056632788273,1
TCGA-4X-A9FC-01A,-51.2298877575677,19.0232235719462,25.7245917048092,1
TCGA-X7-A8D6-01A,-58.2167748423359,15.3171040026497,34.3005971416682,1
TCGA-X7-A8D7-01A,-65.0824884796121,20.1561248004878,30.0620124189487,1
TCGA-X7-A8D7-11A,-51.6772752372126,19.1322244758736,24.6247824942541,1
TCGA-X7-A8DB-01A,-64.5264813494948,19.4366656114397,26.7353707800971,1
TCGA-X7-A8DE-01A,-53.0312306603189,19.6726455380597,35.1858949569999,1
TCGA-X7-A8DF-01A,-53.4829632881171,19.872336181443,34.0411044975097,1
TCGA-X7-A8DG-01A,-64.5986579012593,21.5866154481135,30.4216174293472,1
TCGA-X7-A8DJ-01A,-52.9887933007205,23.9972026230028,29.2453191956753,1
TCGA-X7-A8M4-01A,-56.9279836159123,20.5274349108442,29.1172539246239,1
TCGA-X7-A8M8-01A,-60.5981742279268,26.7568966500466,34.4711316052144,1
TCGA-XH-A853-01A,-55.3868225073457,27.7052924724014,26.0209631270734,1
TCGA-XM-A8R8-01A,-58.9368085647804,16.1158641696672,28.2338583337375,1
TCGA-XM-A8RB-01A,-61.3038624899116,17.9008313132334,33.22558524123,1
TCGA-XM-A8RE-01A,-51.7352661704136,19.2870642391264,34.4612550249558,1
TCGA-XM-A8RH-01A,-53.8417230422336,22.2819875121722,28.7295536219928,1
TCGA-XM-A8RL-01A,-53.947711557181,24.1781067284106,24.3401864829087,1
TCGA-XU-A92U-01A,-58.0989425326431,19.2778443117227,29.6085323813202,1
TCGA-XU-A92W-01A,-55.3018297197815,19.9055893736875,24.5117190621769,1
TCGA-XU-AAXW-01A,-55.6247153399939,12.5526979134026,29.1131484754056,1
TCGA-XU-AAXX-01A,-60.343802156242,18.6804230605041,35.3669497454697,1
TCGA-XU-AAY1-01A,-54.3285268576882,23.0639243599212,28.1697874909934,1
TCGA-YT-A95E-01A,-58.2086624460439,16.4950515968554,30.3839704978467,1
TCGA-YT-A95F-01A,-52.3533403588355,20.7665196285605,26.1267685793234,1
TCGA-YT-A95H-01A,-54.965353132024,20.8552243269442,34.4907576398156,1
TCGA-ZB-A963-01A,-58.7647998264013,25.1559038127807,31.3359966596379,1
TCGA-ZB-A96A-01A,-57.4563803236937,18.5671055406982,26.9292528709479,1
TCGA-ZB-A96B-01A,-54.9902035217824,24.4604074750864,30.7324602729718,1
TCGA-ZB-A96D-01A,-53.8858482965223,16.8518679162059,30.6668532701028,1
TCGA-ZB-A96G-01A,-61.1262145729233,18.6570538463566,31.0454622968279,1
TCGA-ZB-A96O-01A,-56.121548716107,17.7930160574972,37.8501129134576,1
TCGA-ZB-A96P-01A,-61.228511304084,15.4314536770411,26.8896478107748,1
