Sample,X,Y,Z,Cluster
TCGA-3G-AB0Q-01A,48.1214919587693,20.7800080815837,56.6375411268267,1
TCGA-3G-AB19-01A,49.0974874391537,17.5193190649565,55.9830867950375,1
TCGA-4V-A9QL-01A,47.5984090520672,23.4393991442129,63.089319224587,1
TCGA-4V-A9QM-01A,52.0966125575652,23.0288009210085,58.4213991157619,1
TCGA-4V-A9QN-01A,48.7251186272069,12.8730030699887,58.8810733027026,1
TCGA-4X-A9FA-01A,49.7641307896862,17.1030749299355,62.5897303989305,1
TCGA-4X-A9FC-01A,49.3025685442093,31.3997374721325,47.7488194902352,1
TCGA-4X-A9FD-01A,42.4073522002689,18.0837961997011,60.8511512974816,1
TCGA-X7-A8D8-01A,49.1164866920736,24.0781306691019,61.2267286297334,1
TCGA-X7-A8D9-01A,42.5867500557121,23.2898017863954,56.2394882411002,1
TCGA-X7-A8M0-01A,47.5031891209613,29.6656965254934,63.7209014460386,1
TCGA-X7-A8M1-01A,47.9751720675385,24.1023203456625,60.7663564067312,1
TCGA-X7-A8M3-01A,46.47583074158,18.8225340469364,63.6064607157618,1
TCGA-X7-A8M5-01A,46.7742599146032,21.4607715739172,55.311281086862,1
TCGA-XM-A8R9-01A,43.2803322566793,29.1317737647205,62.3014787088448,1
TCGA-XM-A8RF-01A,39.3392946217481,25.659854660816,59.760082401481,1
TCGA-XM-A8RG-01A,44.059783661628,25.955261884805,57.8579457951799,1
TCGA-XM-AAZ2-01A,50.3796416859117,27.5258311249866,59.8063335214768,1
TCGA-XM-AAZ3-01A,40.9425817472674,20.8928066896539,63.9987555881856,1
TCGA-XU-A92O-01A,52.8632632242555,24.6548098069685,65.2821514756175,1
TCGA-XU-A92Q-01A,47.0473706706082,17.8842011687152,63.7765118282214,1
TCGA-XU-A92T-01A,42.4278328726977,22.4278190010505,56.9199407608475,1
TCGA-XU-A92V-01A,52.1225528245875,25.3385531559171,57.2767715979111,1
TCGA-XU-A930-01A,46.1947964487007,28.067446718603,60.2438421708646,1
TCGA-XU-A931-01A,50.5770833061784,22.8726961286235,63.7949843943939,1
TCGA-XU-AAXX-01A,43.1541377121207,22.7129248606304,53.9677540669513,1
TCGA-YT-A95D-01A,46.6530997339077,15.5959971028568,55.4721191239332,1
TCGA-YT-A95F-01A,53.5834090068995,18.5216153844198,54.4182566772953,1
TCGA-ZB-A963-01A,44.6967114931364,21.4720110758444,66.4597169992448,1
TCGA-ZB-A964-01A,39.2198372976696,16.9217442563749,61.993618117029,1
TCGA-ZB-A969-01A,46.4364958895236,22.9036394984727,67.1253822181154,1
TCGA-ZB-A96C-01A,56.6623318199022,17.5023502727055,58.0302009301244,1
TCGA-ZB-A96D-01A,44.9476835790301,19.9394936590756,60.7157301110227,1
TCGA-ZB-A96E-01A,46.0881176360789,23.2452402354572,58.4064350479558,1
TCGA-ZB-A96H-01A,48.2242296518621,17.1759768095651,56.2023420181633,1
TCGA-ZB-A96I-01A,48.5399356039927,19.5507848308701,62.5433891828967,1
