Sample,X,Y,Z,Cluster
TCGA-4V-A9QW-01A,6.8741488170323,20.3960075631421,-5.41838916442576,1
TCGA-5K-AAAP-01A,5.80234684451794,22.6216976819087,-6.74699339597256,1
TCGA-5U-AB0E-01A,9.15782447433751,17.0868641815023,-8.01135466145872,1
TCGA-5U-AB0F-01A,7.35374580052035,19.9499723498717,-7.95842420521714,1
TCGA-5V-A9RR-01A,8.16607391350034,17.9626030051001,-6.29402503256453,1
TCGA-X7-A8DD-01A,7.36371926572336,19.6109750851054,-7.83382635063995,1
TCGA-X7-A8DF-01A,6.98712839663148,23.7457667735334,-4.36232132279444,1
TCGA-X7-A8M5-01A,6.55889706271091,20.3111894665379,-6.55358001058714,1
TCGA-X7-A8M6-01A,8.79697954816248,19.8092449326473,-7.47919086804405,1
TCGA-XM-AAZ3-01A,6.97492813396931,25.0398245095535,-5.54161865375732,1
TCGA-XU-A92O-01A,8.54884895375789,24.4910097730345,-5.85300629202552,1
TCGA-XU-A92Q-01A,8.03593509760913,24.4164849826089,-4.82729588395054,1
TCGA-XU-A92T-01A,7.39806229191258,29.0019428648064,-6.15085677706147,1
TCGA-XU-AAXZ-01A,3.52919317239151,18.8750747945358,-7.02321663094357,1
TCGA-XU-AAY0-01A,5.14595093211449,19.4509989274374,-5.98789556981792,1
TCGA-XU-AAY1-01A,4.13096711594049,22.3086127518039,-6.82714526704296,1
TCGA-ZB-A965-01A,7.27539697802184,27.5700937393806,-4.58077136808369,1
TCGA-ZB-A96B-01A,5.40186457539842,21.4567605285193,-5.36310249679468,1
TCGA-ZB-A96E-01A,6.94135415772449,23.1949040717821,-7.0138381778786,1
TCGA-ZB-A96H-01A,7.46339886865284,23.210802416576,-7.43252935032657,1
TCGA-ZT-A8OM-01A,4.90875979566125,20.8926795060798,-6.15129441540731,1
TCGA-3G-AB0T-01A,16.5313872438828,15.3122519393225,-3.16425619045054,2
TCGA-4V-A9QJ-01A,17.3108280629956,9.5187746826126,-2.38908209461328,2
TCGA-4V-A9QT-01A,15.4897389822565,12.4798699405208,-2.72403788502788,2
TCGA-4V-A9QU-01A,11.5879005361594,9.25129732125596,1.77077148583318,2
TCGA-4V-A9QX-01A,13.5130799589168,6.89810410087429,1.35606999782544,2
TCGA-4X-A9F9-01A,14.1117975168009,17.2729763213081,-6.75000837134965,2
TCGA-X7-A8DB-01A,17.6956367748043,10.4757339871585,-1.45883364589916,2
TCGA-X7-A8DE-01A,15.7717551499487,6.62847778275084,1.35196781827599,2
TCGA-X7-A8DG-01A,15.7379960941974,11.8848757605184,-3.05749068586289,2
TCGA-X7-A8M4-01A,13.1834938476576,9.14044556176552,1.44051030765959,2
TCGA-X7-A8M7-01A,14.1861084836765,20.1927295605974,-7.80900638769065,2
TCGA-X7-A8M8-01A,15.4367460028157,7.17028781501552,2.60730663830882,2
TCGA-XH-A853-01A,14.7034328728952,5.76437488591858,1.7227885845586,2
TCGA-XM-A8RE-01A,16.1409517030155,7.7789548784645,-0.421858625233277,2
TCGA-XM-AAZ1-01A,16.8336225094847,18.3132793217577,-6.84632965486805,2
TCGA-XU-A92U-01A,13.0906798492639,7.18200678370518,2.99340547468444,2
TCGA-XU-A92V-01A,11.5608183573893,10.0795241225673,2.10922674236015,2
TCGA-XU-A92Y-01A,16.8282366052783,8.70649905458226,-3.96910128957725,2
TCGA-XU-A932-01A,16.5738055550631,18.1959479296698,-8.60030746844003,2
TCGA-XU-AAXY-01A,14.4292831852747,19.8894656052915,-6.48210001373642,2
TCGA-YT-A95H-01A,15.1022318335218,7.34901504529215,3.69890692601836,2
TCGA-ZB-A966-01A,15.9380574662923,14.5196917869221,-4.73707547622772,2
TCGA-ZB-A96A-01A,13.554009419591,18.6612866343091,-7.60650568168101,2
TCGA-ZB-A96G-01A,15.8593226521673,14.1930358620853,-3.29263764380585,2
TCGA-ZB-A96K-01A,13.3779915827446,8.41254376154351,2.79405416689492,2
TCGA-ZB-A96O-01A,16.4731004209514,11.1045567804442,-3.02939055737027,2
TCGA-ZB-A96R-01A,16.597550824097,9.3590146521042,-0.942862263575433,2
TCGA-ZB-A96V-01A,15.3117106849732,15.4485960508659,-5.71155005133548,2
TCGA-ZC-AAA7-01A,14.3584591960527,18.9163547311232,-5.34222448826594,2
TCGA-ZC-AAAH-01A,13.067347806121,17.681828195046,-8.13576247159162,2
TCGA-3G-AB0O-01A,-3.87590913168697,-25.467205175315,5.56953135898684,3
TCGA-3G-AB14-01A,-19.3465710266038,-13.9358490628802,-3.66165990761408,3
TCGA-3G-AB19-01A,1.00051011815813,-25.1613878746081,3.31345541009888,3
TCGA-3Q-A9WF-01A,-5.41166009719708,-25.2811034205781,3.98629165331417,3
TCGA-3S-AAYX-01A,-1.7681930183412,-25.8125405777296,4.68792138744905,3
TCGA-3T-AA9L-01A,-7.13377527307287,-26.8947546385549,2.5553140956184,3
TCGA-4V-A9QI-01A,-6.13350788217986,-25.5299664303519,4.52975700591288,3
TCGA-4V-A9QN-01A,-18.9352038648693,-15.1845396325179,-1.90707940131751,3
TCGA-4V-A9QR-01A,-18.526163693533,-18.6035313055266,0.905744322454871,3
TCGA-4V-A9QS-01A,-13.5170622043528,-16.8697155553479,1.39793594930228,3
TCGA-4X-A9FB-01A,-5.63467663896218,-24.4942722384335,3.11247910702569,3
TCGA-4X-A9FC-01A,-5.59240056084933,-27.3006750569191,2.44756473553806,3
TCGA-4X-A9FD-01A,-15.4020390725054,-16.292355245361,-1.2381592963676,3
TCGA-5G-A9ZZ-01A,-11.5272597491159,-23.4944341119035,6.68959313469561,3
TCGA-X7-A8D6-01A,-4.83359334344906,-28.0692213597795,4.26095903646526,3
TCGA-X7-A8D7-01A,-1.81999958223091,-25.0529977011229,6.05821887711605,3
TCGA-X7-A8D9-01A,-6.25681471977563,-23.0152424535268,3.72126865801537,3
TCGA-X7-A8DJ-01A,-13.0848059358432,-27.2881060470538,2.97363072120117,3
TCGA-X7-A8M3-01A,-17.087333519791,-14.0813446567183,-1.78782809897567,3
TCGA-XM-A8R8-01A,-12.9883692127772,-21.9252719507872,2.79300948645841,3
TCGA-XM-A8R9-01A,-12.2031733780945,-27.4129691537712,3.88964395802061,3
TCGA-XM-A8RB-01A,-12.7766818790963,-20.7569928515827,3.25050497757213,3
TCGA-XM-A8RC-01A,0.88700921941178,-24.6372301253273,6.02830536711375,3
TCGA-XM-A8RD-01A,-16.8111524016972,-15.8644961079837,-1.31034266544322,3
TCGA-XM-A8RG-01A,-10.2680096317836,-23.204567020916,6.21449181446326,3
TCGA-XM-A8RH-01A,-6.00723113568867,-27.0166972612405,5.47827506905858,3
TCGA-XM-A8RI-01A,-15.7588851384346,-16.5341047196072,2.2322171453441,3
TCGA-XM-A8RL-01A,0.443074360395251,-25.8780202506257,4.14456012808918,3
TCGA-XU-A92W-01A,-14.6081236998274,-17.19098661424,1.39540920666036,3
TCGA-XU-A92X-01A,-19.3141922559248,-15.5068727255332,-3.77876614441455,3
TCGA-XU-A92Z-01A,-13.9958044219876,-23.0459683346788,2.45915199901776,3
TCGA-XU-A930-01A,-14.8777561789685,-13.2390810891152,1.22183035834647,3
TCGA-XU-A931-01A,-15.6128560921547,-16.0632794303715,1.33996623331698,3
TCGA-XU-A933-01A,-11.385489864187,-25.6253856505061,6.82719217981991,3
TCGA-XU-A936-01A,-13.307354950537,-25.0237755144149,7.63944169414641,3
TCGA-XU-AAXV-01A,-15.9200867055215,-17.4926193800276,-0.134106557869946,3
TCGA-XU-AAXW-01A,-11.6584634534453,-21.1131488454784,2.80257482549552,3
TCGA-XU-AAXX-01A,-5.17203934295223,-25.2205541936754,4.56592778599007,3
TCGA-YT-A95D-01A,-14.1173090831577,-22.9540061491654,1.96932825196019,3
TCGA-YT-A95F-01A,-12.2979270030526,-26.1163720285975,2.75684502975111,3
TCGA-YT-A95G-01A,-14.951949467653,-14.86364154702,1.12131692777371,3
TCGA-ZB-A961-01A,-17.0443260985854,-16.0945962614284,2.75604736087031,3
TCGA-ZB-A963-01A,-14.3538598649869,-25.2612507127241,4.22204842881763,3
TCGA-ZB-A96D-01A,-13.7403326711266,-26.9080748099981,4.83079900547781,3
TCGA-ZB-A96F-01A,-16.2717522769322,-15.9069928749317,2.72657159092269,3
TCGA-ZB-A96I-01A,-17.5155081014006,-13.8430667850829,1.18961515093405,3
TCGA-ZB-A96L-01A,-7.80589879211022,-22.5860420018337,5.22004385610093,3
TCGA-ZB-A96M-01A,-14.0488784959735,-24.6837538524367,2.82721428154024,3
TCGA-ZB-A96P-01A,0.636020568730404,-25.3575289359794,3.6547289066693,3
TCGA-ZB-A96Q-01A,-13.0719339541428,-25.3639560138028,3.29603069848503,3
