Sample,X,Y,Z,Cluster
TCGA-BJ-A0Z3-01A,-11.7948796859117,-19.9251637310405,-9.52795046552739,1
TCGA-BJ-A0Z9-01A,6.13609405834378,-44.4112528045739,-4.00609599998459,1
TCGA-BJ-A0ZE-01A,12.4330479542436,-44.5137980800321,-2.5675213998093,1
TCGA-BJ-A0ZH-01A,15.9170555649024,-37.1454592092664,-3.64975013093815,1
TCGA-BJ-A0ZJ-01A,-4.8448141975118,-20.2110411243967,-8.64055249901635,1
TCGA-BJ-A18Z-01A,-1.30082371851256,-44.0648605604612,-6.90878472447097,1
TCGA-BJ-A191-01A,-3.89479461887574,-24.1625390442247,1.53422809530738,1
TCGA-BJ-A192-01A,-3.86362896935603,-20.1096473368391,-8.71792655611704,1
TCGA-BJ-A28T-01A,-6.54397118989212,-19.6392335774151,-8.59624444573818,1
TCGA-BJ-A28W-01A,-6.19301841412087,-22.6452874101387,-9.64386140728741,1
TCGA-BJ-A28X-01A,-8.21481403087507,-20.8900801584254,-10.8027241966578,1
TCGA-BJ-A28Z-01A,-7.43017403364252,-22.547113725989,-9.47460428588498,1
TCGA-BJ-A291-01A,12.1876283781346,-23.8040320276973,-3.0120937045076,1
TCGA-BJ-A2P4-01A,11.2678080790468,-41.430580493714,-4.56151914417483,1
TCGA-BJ-A3F0-01A,11.7153823342705,-24.2675662913092,-2.52821246173271,1
TCGA-BJ-A3PR-01A,-6.44203047779711,-22.7367063038534,-9.51387555050378,1
TCGA-BJ-A3PT-01A,17.4138355684932,-39.3899930911243,7.71945202740024,1
TCGA-BJ-A3PU-01A,13.2846113691618,-41.9597134299963,2.88120118681751,1
TCGA-BJ-A45D-01A,8.61835748597503,-42.5660093956408,-1.51020807483208,1
TCGA-BJ-A45E-01A,-5.66577745753876,-22.4014092151239,-10.046742942567,1
TCGA-BJ-A45F-01A,16.198033655486,-31.3973609514993,-8.74494594510726,1
TCGA-BJ-A45I-01A,15.4205089471754,-38.5268332043148,-2.58198658874627,1
TCGA-BJ-A45J-01A,5.35221719380142,-38.3084449181472,3.58237238210966,1
TCGA-BJ-A45K-01A,5.63938508899376,-24.4797329081037,1.51308469375504,1
TCGA-BJ-A4O8-01A,-3.51810461489292,-26.1969864707855,-0.534668927434708,1
TCGA-CE-A27D-01A,-6.29983250218327,-20.1103267718953,-8.63152256940685,1
TCGA-CE-A3MD-01A,-3.23152098037904,-22.0777425800205,-2.21558016728198,1
TCGA-CE-A485-01A,-3.7892192564756,-23.0713063894133,-1.01159361221324,1
TCGA-DE-A4M8-01A,-11.6309960561704,-19.2497972356281,-9.15302523258055,1
TCGA-DE-A4MA-01A,11.5284906867355,-42.2071508451186,1.43811612795004,1
TCGA-DE-A4MB-01A,10.3746626205065,-35.5592253383891,1.03888497589648,1
TCGA-DE-A4MD-01A,15.1036552624099,-33.9975576151884,-8.98059375175466,1
TCGA-DE-A7U5-01A,-2.2157393400083,-42.6564202718462,-6.48536108073764,1
TCGA-DJ-A13L-01A,-0.925825770092901,-39.5073547482391,-6.23399954049655,1
TCGA-DJ-A13M-01A,9.76587633974948,-43.1680995408591,-0.726608917264835,1
TCGA-DJ-A13O-01A,13.277551711724,-41.9022979532924,0.0742455566208639,1
TCGA-DJ-A13R-01A,16.2374400946929,-35.9109699844208,-5.15738203411515,1
TCGA-DJ-A13S-01A,12.474627652293,-24.2858362917201,-3.34878189682215,1
TCGA-DJ-A13W-01A,8.13220872525297,-24.8689295087612,1.69668447754946,1
TCGA-DJ-A1QL-01A,5.7449648117924,-24.4523481715604,1.53480551229305,1
TCGA-DJ-A1QO-01A,2.72730609672784,-44.7359363482818,-7.14121938723121,1
TCGA-DJ-A1QQ-01A,-5.38138453387167,-21.8965464604139,4.02083863921234,1
TCGA-DJ-A2PT-01A,5.06400870898331,-38.5302404655725,-2.70510803393128,1
TCGA-DJ-A2Q1-01A,0.501490864554341,-31.5420098656846,1.30522529660062,1
TCGA-DJ-A2Q4-01A,-0.199023447622355,-45.8496049044171,-4.20153736450941,1
TCGA-DJ-A2Q5-01A,-11.9439040410219,-19.7980266044219,-9.52058977254363,1
TCGA-DJ-A2Q9-01A,-6.0285234402547,-24.3445735653003,-3.84241977500688,1
TCGA-DJ-A2QA-01A,9.10443714352578,-42.1388329822397,-0.571767286718581,1
TCGA-DJ-A2QC-01A,6.6349996016617,-29.4212350012173,5.04015849669779,1
TCGA-DJ-A3UO-01A,1.24058909111804,-45.906218664585,-2.61570990158278,1
TCGA-DJ-A3UQ-01A,-2.47167692339859,-42.4475552250072,-6.56133136530253,1
TCGA-DJ-A3US-01A,-5.02435351632484,-18.2029284653436,-7.29196631111063,1
TCGA-DJ-A3UT-01A,8.10416005110854,-24.9279895050967,1.83251816550293,1
TCGA-DJ-A3UW-01A,11.9737232533115,-37.8921821638285,3.07016394757468,1
TCGA-DJ-A3V0-01A,15.2559926419415,-41.1272895171957,-2.44619452495808,1
TCGA-DJ-A3V3-01A,6.38505513074276,-29.9808408983454,4.8390068908268,1
TCGA-DJ-A3V6-01A,15.3834606852363,-38.8872258573755,-1.36503115028451,1
TCGA-DJ-A3V7-01A,17.6985943867519,-40.9018030083951,6.83494488770002,1
TCGA-DJ-A3V8-01A,17.7355650862014,-41.6206522185139,6.33221829762469,1
TCGA-DJ-A3V9-01A,4.40795073912739,-38.7091208147907,4.81271397439309,1
TCGA-DJ-A3VB-01A,13.0976140077454,-41.9136007419591,2.89746977896702,1
TCGA-DJ-A3VD-01A,-8.93439740701612,-23.5826208201843,-10.8586155553339,1
TCGA-DJ-A3VI-01A,16.7869814930503,-47.4398146595365,0.70314366511298,1
TCGA-DJ-A3VJ-01A,3.40011396015443,-40.9979932406941,4.43716897265057,1
TCGA-DJ-A3VL-01A,15.9845522577392,-32.7393655612595,-8.43906983334878,1
TCGA-DJ-A4UL-01A,5.48678016079811,-36.8112294177008,8.04209002294557,1
TCGA-DJ-A4UP-01A,-2.86895617463474,-21.5688612186605,-2.94162824870373,1
TCGA-DJ-A4UQ-01A,-4.38162070796415,-23.1366781714725,1.728072766387,1
TCGA-DJ-A4UR-01A,13.2375753810122,-34.1395532796677,-9.50919545909214,1
TCGA-DJ-A4UT-01A,-0.850234569725426,-28.9606624045828,-0.305990628994632,1
TCGA-DJ-A4UW-01A,-3.45957221738439,-22.3657730053719,-1.85029893153251,1
TCGA-DJ-A4V0-01A,-6.63711909309349,-18.0595959249876,-8.3359633219233,1
TCGA-DJ-A4V2-01A,0.199964083229527,-46.0624326063377,-4.12489532251696,1
TCGA-DJ-A4V4-01A,16.2693821664824,-31.720653568441,-8.28327183468491,1
TCGA-DJ-A4V5-01A,-4.09330018192942,-24.869988132078,-0.397691930069551,1
TCGA-DO-A1JZ-01A,-5.33975595722709,-21.9584907201194,3.94309929044536,1
TCGA-DO-A2HM-01B,-8.18814185201146,-21.2935661769121,-11.046882212271,1
TCGA-E3-A3E2-01A,-10.9328559589625,-20.8158899942665,-9.66825761670072,1
TCGA-E8-A242-01A,3.47088110788417,-45.0716513791456,-6.0619826331901,1
TCGA-E8-A2EA-01A,15.7162402917153,-40.4050333391363,-2.97905571998579,1
TCGA-E8-A2JQ-01A,1.12649753612107,-38.5802847373228,-5.22774384210759,1
TCGA-E8-A3X7-01A,15.6989109513944,-43.6686357101665,0.154577169071224,1
TCGA-E8-A413-01A,-3.91306418446454,-23.7414091496711,1.24879369091301,1
TCGA-E8-A418-01A,16.8281859795879,-45.4699240957887,1.71661504587244,1
TCGA-E8-A419-01A,11.0438090777046,-37.8523345588396,3.10506609384614,1
TCGA-E8-A433-01A,12.2854810973726,-42.2735115304284,0.931712188640505,1
TCGA-E8-A434-01A,-4.74849339929912,-17.9165978672534,-7.01783340954486,1
TCGA-E8-A436-01A,14.8342131170918,-48.1617477783848,0.783360748377069,1
TCGA-E8-A437-01A,4.59458282143684,-31.2763061003667,3.91111815559848,1
TCGA-E8-A438-01A,5.71459917431391,-30.2364794678486,4.20707603496428,1
TCGA-E8-A44K-01A,15.6882933266175,-42.0606235896449,-1.07303641743555,1
