Sample,X,Y,Z,Cluster
TCGA-4C-A93U-01A,23.9690340183656,-45.7563304052558,15.1768640872521,1
TCGA-BJ-A0YZ-01A,45.0469302415531,-38.1893798238541,10.0868768331595,1
TCGA-BJ-A0Z3-01A,40.1451362035722,-26.2574141031357,21.0680199418072,1
TCGA-BJ-A0Z9-01A,30.6903375864657,-29.3318958873699,18.8914748546774,1
TCGA-BJ-A0ZB-01A,30.2516047036223,-16.9622270322878,22.3713440352744,1
TCGA-BJ-A0ZH-01A,22.7624765662847,-13.1337558914018,17.210509304758,1
TCGA-BJ-A18Z-01A,28.5784252861549,-48.1602133940858,23.2730539218772,1
TCGA-BJ-A192-01A,42.3626847651165,-35.8649930030215,10.2451591171407,1
TCGA-BJ-A28R-01A,30.3101884920234,-33.9243613940429,18.0221256855975,1
TCGA-BJ-A28T-01A,22.1122181889395,-43.4221622433891,22.6404378136861,1
TCGA-BJ-A28W-01A,26.7442372686193,-12.2160733692804,14.7504814747657,1
TCGA-BJ-A28X-01A,22.2581756237719,-49.3978852828104,23.0273112553602,1
TCGA-BJ-A28Z-01A,39.8000959724644,-29.734372851382,21.345839641127,1
TCGA-BJ-A290-01A,30.0202140114515,-16.8961681800005,21.5691784383101,1
TCGA-BJ-A2NA-01A,35.7424399716463,-30.8144776309688,22.8510499464954,1
TCGA-BJ-A3EZ-01A,32.08792513411,-26.1979960397885,19.9362411777301,1
TCGA-BJ-A3PR-01A,27.9809376191052,-22.5041251141246,20.1538381769062,1
TCGA-BJ-A45C-01A,23.8437062229349,-27.5011267662594,11.2431504162162,1
TCGA-BJ-A45E-01A,32.8670643879016,-47.6164484105761,17.5490218925035,1
TCGA-BJ-A45H-01A,37.9026557554098,-15.3720708839971,19.9757373375383,1
TCGA-BJ-A45I-01A,28.3421300859598,-47.779742801895,21.8261424315055,1
TCGA-BJ-A4O8-01A,23.6141822471994,-46.8150047084749,11.2964397111508,1
TCGA-BJ-A4O9-01A,34.509327409705,-26.4233007371301,21.450932124383,1
TCGA-CE-A27D-01A,27.9038374598209,-17.9402783143327,13.630967285914,1
TCGA-CE-A3MD-01A,23.2542795519653,-14.83922548085,21.1114566936096,1
TCGA-CE-A3ME-01A,32.9933586868434,-27.5495476695937,16.9078072623984,1
TCGA-CE-A482-01A,33.9797619030769,-17.120805876106,23.7445930230641,1
TCGA-CE-A483-01A,35.6589389276634,-15.1650990181152,17.4142472272243,1
TCGA-CE-A485-01A,28.4539987692451,-48.4514511443306,17.3244892243868,1
TCGA-DE-A0XZ-01A,28.4377915868976,-20.1235068479758,24.037228864156,1
TCGA-DE-A0Y2-01A,34.8078103353663,-36.0407091157984,13.8870362794029,1
TCGA-DE-A0Y3-01B,35.4282131675195,-30.1992481800212,15.0201866378414,1
TCGA-DE-A4M8-01A,23.9718825847067,-43.3632608010861,17.5386848025072,1
TCGA-DE-A4M9-01A,31.7377805793342,-32.1570960149315,15.8382052826798,1
TCGA-DE-A4MA-01A,20.3382709160671,-21.5997103272686,19.3019329831568,1
TCGA-DE-A4MB-01A,43.9517281796285,-49.0536253543722,10.7336681653989,1
TCGA-DE-A69J-01A,36.8402299784686,-29.8710716674875,20.8515921993906,1
TCGA-DE-A69K-01A,31.0228669387899,-32.1955008352745,26.115730857674,1
TCGA-DE-A7U5-01A,33.9143968313561,-47.5390639365691,14.2263869081938,1
TCGA-DJ-A13L-01A,24.3960689604544,-48.2412282716749,19.7357145812515,1
TCGA-DJ-A13P-01A,41.3913046635249,-25.7608124946626,19.9556400440059,1
TCGA-DJ-A13T-01A,31.6409891883608,-20.2069813890763,19.9735238030042,1
TCGA-DJ-A13U-01A,32.9468986582651,-32.6454450328617,19.1412573181485,1
