Sample,X,Y,Z,Cluster
TCGA-4C-A93U-01A,-105.436310453555,-152.31656064664,31.5063400585019,1
TCGA-BJ-A18Z-01A,-110.322070589608,-152.835436383047,42.4191687516091,1
TCGA-BJ-A28T-01A,-110.351627496217,-147.377934288501,33.1321083392478,1
TCGA-BJ-A28X-01A,-114.515343981603,-153.490731432443,27.1086000201054,1
TCGA-BJ-A290-01A,-108.338409777859,-138.924013529491,15.8960775406529,1
TCGA-BJ-A3PR-01A,-109.805962586998,-144.279675800617,30.9287931791012,1
TCGA-BJ-A3PT-01A,-113.899878592256,-143.753746235262,29.9420756443454,1
TCGA-BJ-A45E-01A,-108.168403349761,-153.817172743274,16.2168280105652,1
TCGA-BJ-A45H-01A,-109.232756773982,-150.1290444716,27.3210684656313,1
TCGA-BJ-A45I-01A,-110.013476414485,-158.256281262033,21.1182526435827,1
TCGA-BJ-A4O8-01A,-110.918956179864,-148.80978094314,24.8984361197979,1
TCGA-CE-A27D-01A,-117.899629880899,-147.488566450148,23.4451652133343,1
TCGA-CE-A485-01A,-116.672444613151,-149.24421479616,29.9582499956451,1
TCGA-DE-A4M8-01A,-115.63990037435,-150.572783412055,21.0949706469272,1
TCGA-DE-A4MB-01A,-107.636546193778,-149.612312496457,30.8860202920247,1
TCGA-DE-A7U5-01A,-112.928590116747,-154.31191105419,30.7681255861046,1
TCGA-DJ-A13L-01A,-111.099428787801,-155.113672079213,35.1868026398075,1
TCGA-DJ-A1QM-01A,-118.404320714134,-140.898013803019,20.7329472691895,1
TCGA-DJ-A1QO-01A,-115.729868466291,-146.740919083858,34.9959367518782,1
TCGA-DJ-A1QQ-01A,-108.782990453321,-144.484848525993,30.6279083637616,1
TCGA-DJ-A2PT-01A,-120.097349934647,-148.01833244451,29.661494851438,1
TCGA-DJ-A2PY-01A,-110.036814656338,-146.885274306167,33.5874132278942,1
TCGA-DJ-A2Q1-01A,-109.885232167292,-144.502773394757,26.9002103351846,1
TCGA-DJ-A2Q3-01A,-115.2099688831,-148.068495406484,41.2369846857887,1
TCGA-DJ-A2Q6-01A,-114.251520316976,-143.841821649106,22.9667455598499,1
TCGA-DJ-A2Q9-01A,-104.639057079042,-147.550437465854,38.8530170181688,1
TCGA-DJ-A2QA-01A,-109.826295896733,-159.106436926859,18.4804592536437,1
TCGA-DJ-A3UQ-01A,-116.981226858992,-146.673286490226,25.1037959331356,1
TCGA-DJ-A3UU-01A,-109.617149944196,-148.733821980039,38.399928173407,1
TCGA-DJ-A3UV-01A,-105.611358609826,-154.90585516328,35.5006562608434,1
TCGA-DJ-A3UW-01A,-102.549616982296,-150.773560898688,30.5196994305496,1
TCGA-DJ-A3UX-01A,-106.091586457853,-143.530176155296,16.6411464822694,1
TCGA-DJ-A3UY-01A,-123.838488342664,-142.547763664764,20.9157265375736,1
TCGA-DJ-A3UZ-01A,-101.038512510582,-158.481971065699,31.6797632365996,1
TCGA-DJ-A3V0-01A,-122.679288146681,-145.546005028266,27.5266020769321,1
TCGA-DJ-A3V4-01A,-112.724342489983,-155.446151857949,25.0429790491372,1
TCGA-DJ-A3V5-01A,-110.396431607138,-148.712951707258,36.3929003850128,1
TCGA-DJ-A3V6-01A,-110.039071241779,-152.41753542082,20.8161076724148,1
TCGA-DJ-A3VD-01A,-109.212558201831,-146.80271920616,50.0546976044186,1
TCGA-DJ-A3VF-01A,-116.171647570177,-152.546348511084,24.6343185227531,1
TCGA-DJ-A4UQ-01A,-110.264571448294,-150.814473101628,26.4143369708657,1
TCGA-DJ-A4UT-01A,-102.096149021638,-138.947460162118,32.4369972872578,1
TCGA-DJ-A4UW-01A,-112.939620152831,-153.64335678296,34.7238674148527,1
TCGA-DJ-A4V4-01A,-115.02250890856,-146.012223572394,30.5079501450566,1
TCGA-E3-A3E2-01A,-104.944118866666,-146.760263206426,18.4982529262713,1
TCGA-E8-A242-01A,-106.96210629666,-156.021023843704,35.5187561656414,1
TCGA-E8-A2EA-01A,-108.452045312034,-150.367710943152,44.2686252083018,1
TCGA-E8-A2JQ-01A,-105.427284945426,-144.390628551318,31.278400685536,1
TCGA-E8-A3X7-01A,-115.802975290301,-145.609961264961,22.2258262774886,1
TCGA-E8-A413-01A,-108.614444218545,-156.320323607476,31.0638946610595,1
TCGA-E8-A414-01A,-121.190801853384,-140.859025457225,24.2321354052504,1
TCGA-E8-A415-01A,-102.644236433757,-161.752484441344,31.9155666335456,1
TCGA-E8-A416-01A,-104.612066944147,-142.589344807622,30.0787891202997,1
TCGA-E8-A433-01A,-101.40875743842,-151.874191207894,29.2970406389043,1
TCGA-E8-A434-01A,-111.747026215149,-142.81719617591,30.391239036079,1
TCGA-E8-A436-01A,-110.981711799419,-149.039481356048,37.6445040608006,1
TCGA-E8-A44K-01A,-117.893602316706,-149.49221154228,18.6390652312932,1
TCGA-EL-A3CM-01A,-107.036234216482,-143.533306071785,22.424474343248,1
TCGA-EL-A3CN-01A,-119.115083914996,-145.742727894035,37.2859349733891,1
TCGA-EL-A3CO-01A,-103.932232130691,-148.273049488528,22.4349420800161,1
TCGA-EL-A3CP-01A,-110.663808995128,-143.82872662069,44.8149039156498,1
TCGA-EL-A3CR-01A,-115.92827560583,-151.989172990323,32.7729994851097,1
TCGA-EL-A3CT-01A,-108.39139839972,-144.680542233583,35.4464451346066,1
TCGA-EL-A3CU-01A,-110.592745452439,-156.30830684596,32.3819668980013,1
TCGA-EL-A3CV-01A,-119.989229494507,-150.598881617927,23.294894426988,1
TCGA-EL-A3CW-01A,-115.148720857857,-146.122173651961,26.3922532095525,1
TCGA-EL-A3CY-01A,-108.088069997517,-158.527215570979,30.0621240818982,1
TCGA-EL-A3D0-01A,-117.92718575811,-138.893515012987,15.5049628008406,1
TCGA-EL-A3D4-01A,-104.703892446041,-154.266221804782,23.6958828444785,1
TCGA-EL-A3GP-01A,-119.640638422219,-142.387951786802,28.3234557770829,1
TCGA-EL-A3GQ-01A,-112.248209026711,-147.588063335277,37.3965148993617,1
TCGA-EL-A3GR-01A,-107.003247226536,-143.654378584704,32.2420513193657,1
TCGA-EL-A3GU-01A,-110.875378891531,-146.362021299991,39.4691827395558,1
TCGA-EL-A3H5-01A,-120.799146643322,-150.156946970882,19.7468082640699,1
TCGA-EL-A3H7-01A,-104.57047701006,-151.34863308373,40.176358691575,1
TCGA-EL-A3MY-01A,-117.03215100367,-141.034455490299,19.0179722343133,1
TCGA-EL-A3MZ-01A,-105.027821590674,-152.564584744059,31.7475239301812,1
TCGA-EL-A3T9-01A,-107.658267347066,-157.11350812968,31.5502223600908,1
TCGA-EL-A3ZL-01A,-109.410086696757,-155.45190885057,16.0830061599777,1
TCGA-EL-A3ZM-01A,-108.203784844492,-152.654545764526,25.1929434269111,1
TCGA-EL-A3ZO-01A,-113.089411318243,-141.659115136443,25.7985946118225,1
TCGA-EL-A3ZP-01A,-115.037328615901,-141.85892132296,36.1151788260687,1
TCGA-EL-A3ZS-01A,-96.0056536668598,-153.846515664693,21.9438911220506,1
TCGA-EL-A4JW-01A,-96.3564973129829,-142.486311396243,18.1762021893838,1
TCGA-EL-A4JZ-01A,-102.357272519445,-141.706874897896,35.772711056575,1
TCGA-EL-A4K0-01A,-103.731454112287,-158.65950366197,36.8767755317239,1
TCGA-EL-A4K1-01A,-110.726679001751,-147.307142531711,25.1505828857281,1
TCGA-EL-A4K4-01A,-110.803311035092,-155.213705660624,29.8631134441039,1
TCGA-EM-A22P-01A,-105.883589055548,-146.004947484067,24.0489153271298,1
