Sample,X,Y,Z,Cluster
TCGA-N5-A4R8-01A,-0.0652649542233827,5.3404488422764,-4.23199135178795,1
TCGA-N5-A4RJ-01A,1.2379952067612,2.77103370949596,-3.72287036147378,1
TCGA-N5-A4RS-01A,5.10300629856622,3.53273392529832,-5.95301460588949,1
TCGA-N5-A4RU-01A,5.10675199606575,2.52990883536754,-4.31458557988774,1
TCGA-N5-A59E-01A,1.11077396654107,5.16756602722992,-4.76735180420563,1
TCGA-N5-A59F-01A,0.917583246404143,5.24717277192805,-4.73763997538586,1
TCGA-N6-A4VC-01A,4.92237928296275,3.12266594717217,-5.03821150903944,1
TCGA-N6-A4VG-01A,5.03103647092252,2.76175589145002,-4.60792879710601,1
TCGA-N7-A4Y8-01A,1.44443366403305,2.65850617024303,-0.70376048494896,1
TCGA-N8-A4PL-01A,0.643877517728901,4.72013103686376,-4.11127112116169,1
TCGA-N8-A4PM-01A,1.61750180348688,3.30122506192866,-3.03684743065761,1
TCGA-N8-A56S-01A,1.61539691841488,3.64130438265802,-3.81911381217719,1
TCGA-N9-A4Q3-01A,1.65366177590729,5.25401352290454,-5.02445594893098,1
TCGA-N9-A4Q7-01A,1.43968284771869,2.66343336755517,-0.673142808161421,1
TCGA-NA-A4QV-01A,6.08415529451912,1.02769573303982,-2.71629076361729,1
TCGA-NA-A4QY-01A,2.52924544220246,3.60736612771573,-4.35104783778704,1
TCGA-NA-A5I1-01A,4.82073776058201,3.2077994827289,-5.09756576275845,1
TCGA-ND-A4WA-01A,5.9944610032084,1.13426433681032,-2.89932719264587,1
TCGA-ND-A4WF-01A,0.332209327341912,5.74078163209047,-4.8391429939307,1
TCGA-NF-A4WU-01A,4.55950603849194,3.60869738567961,-5.2770793192376,1
TCGA-NF-A4WX-01A,1.54526181877354,3.81883300710373,-3.95459052571961,1
TCGA-QN-A5NN-01A,5.99159611914736,1.22337556310115,-3.01021666739553,1
TCGA-N5-A4RA-01A,-9.27544147167146,-4.39680553355878,1.29891158109965,2
TCGA-N6-A4V9-01A,-5.49050466324017,-5.09596585806478,2.80553814539903,2
TCGA-N6-A4VD-01A,-5.84100272110691,-4.99209760679895,2.60382638966528,2
TCGA-N7-A4Y0-01A,-6.3637772673407,-4.11928377148224,1.74738970158653,2
TCGA-N7-A4Y5-01A,-7.82028340677376,-4.85299314892887,1.88993732453628,2
TCGA-N8-A4PN-01A,-6.5554309194223,-4.92119413177572,1.95926196809696,2
TCGA-N8-A4PQ-01A,-6.66106819371576,-5.61496381932412,1.21195380381623,2
TCGA-N9-A4Q1-01A,-7.0539233427341,-4.81998193088209,2.08056987866372,2
TCGA-N9-A4Q4-01A,-8.06161997538003,-5.09639294923909,2.07028358124096,2
TCGA-NA-A4QW-01A,-6.64940041998442,-4.89952649698674,2.19709954050915,2
TCGA-NA-A4QX-01A,-7.78092334218956,-4.77700636524851,1.80993827780471,2
TCGA-ND-A4W6-01A,-9.2350612891191,-5.39673520633916,1.54017346770576,2
TCGA-NG-A4VU-01A,-9.21648448544513,-4.24415319761131,1.27932591606854,2
TCGA-N5-A4RD-01A,1.38446284283664,2.40464787052359,1.0594185922031,3
TCGA-N5-A4RF-01A,0.988143600685295,-2.99209784675121,2.35007912465948,3
TCGA-N5-A4RM-01A,3.22682665343531,-1.19828860969362,1.69832496628474,3
TCGA-N5-A4RN-01A,-0.392885955966894,0.677768969481516,4.58196275630626,3
TCGA-N5-A4RO-01A,1.78071659968726,1.75051672790636,2.61644427846969,3
TCGA-N5-A4RT-01A,1.62427232125831,1.87465195927334,2.39981195680206,3
TCGA-N5-A4RV-01A,3.17144213103094,-1.28934935778576,1.71562761527126,3
TCGA-N6-A4VE-01A,-0.41858594719222,0.530937767301205,4.70848192107698,3
TCGA-N6-A4VF-01A,-1.09149565554659,-2.82604134263708,3.48062657554831,3
TCGA-N7-A59B-01A,3.55495358406719,-0.183332944961086,2.4489793726617,3
TCGA-N8-A4PI-01A,3.08083678168657,-1.97017059380393,1.05182270209794,3
TCGA-N8-A4PO-01A,-0.314361593795991,0.342270637784959,4.83657036636402,3
TCGA-N8-A4PP-01A,2.81056826211421,-2.86366336061059,1.30367135107699,3
TCGA-N9-A4PZ-01A,3.49144792381591,-0.380418643066189,2.27547577063627,3
TCGA-NA-A4R0-01A,2.47658832953671,1.41859175162812,3.8607129386923,3
TCGA-NA-A4R1-01A,1.07260763280898,-0.39468817718389,5.37360062395517,3
TCGA-ND-A4WC-01A,2.7083060659756,-2.79980192240735,1.31015117155465,3
TCGA-NF-A4X2-01A,0.619860706175173,-3.00327853278618,2.5714097275965,3
TCGA-NF-A5CP-01A,2.49195691856379,1.32734170280692,3.94230134718341,3
TCGA-NG-A4VW-01A,-1.11880194268383,-2.91761225915301,3.43206731427478,3
TCGA-QM-A5NM-01A,1.22207339407435,-0.361596540267053,5.37569660499746,3
