Sample,X,Y,Z,Cluster
TCGA-A5-A0GN-01A,31.7554171455118,22.1335440893128,-40.1385430503602,1
TCGA-A5-A0GR-01A,21.5975128540102,18.9747577075149,-46.0204103034201,1
TCGA-A5-A0GX-01A,30.2930887400861,22.2487038311887,-41.7665513426925,1
TCGA-AJ-A3BH-01A,26.6434439964128,21.4031022760546,-39.1863246750275,1
TCGA-AJ-A3NE-01A,27.6222339881396,23.2521800263597,-38.4369204754797,1
TCGA-AJ-A3OJ-01A,25.7764223980588,20.7132347741536,-44.6947149750243,1
TCGA-AP-A051-01A,26.0987592993778,21.0059224210985,-41.063182177161,1
TCGA-AP-A056-01A,28.7459682987844,22.1326044098607,-43.8553909645408,1
TCGA-AP-A05N-01A,26.7204335574816,19.9267300015533,-42.2836811629461,1
TCGA-AP-A0LM-01A,32.1119548803447,20.6414038449833,-34.1339457656969,1
TCGA-AP-A0LS-01A,23.4860261817869,19.795342388365,-45.7340883046475,1
TCGA-AP-A1DV-01A,28.2606918816226,19.4093839570048,-43.3016384557745,1
TCGA-AP-A1E0-01A,26.9850542261648,21.9482006951264,-39.0914218547542,1
TCGA-AX-A05S-01A,28.4889197132693,20.5211573446031,-38.9967809781806,1
TCGA-AX-A2HA-01A,27.8185379236378,18.4547336184165,-43.493122747322,1
TCGA-AX-A2HD-01A,26.4518565571023,22.5477766713924,-39.5053641330064,1
TCGA-B5-A0JY-01A,28.5171000258711,21.4864915038421,-43.0352597027239,1
TCGA-B5-A0K0-01A,31.4810363812229,21.2781741848452,-38.7777923323922,1
TCGA-B5-A0K4-01A,29.4183767797619,21.63874178013,-41.516792023705,1
TCGA-B5-A11L-01B,29.1169529826011,19.8805074935015,-42.9992654738986,1
TCGA-B5-A11V-01A,25.8429310728114,21.3939986125945,-40.4408082178174,1
TCGA-B5-A3FA-01A,24.7265781206825,22.6720594529975,-38.3176934011287,1
TCGA-B5-A3FH-01A,27.9314278220532,19.0944105055551,-43.3927890637134,1
TCGA-BG-A0MI-01A,26.2915517272645,21.3102797443581,-37.854550549536,1
TCGA-BG-A18B-01A,26.4660339061424,20.2135956147884,-42.0624243190678,1
TCGA-BG-A2AD-01A,23.879976123461,19.9709857252351,-45.6428527886345,1
TCGA-BK-A0CB-01A,31.2004905297502,21.828176061558,-39.8301395745822,1
TCGA-BK-A13C-01A,28.8141671984431,21.192332604056,-41.9942686882587,1
TCGA-BS-A0T9-01A,30.8925645538326,20.1055780902054,-42.17254821786,1
TCGA-BS-A0TA-01A,22.5530113851952,19.3759567274298,-45.9047092025038,1
TCGA-BS-A0TC-01A,30.1278303585348,22.2329417015656,-39.721502619573,1
TCGA-BS-A0TG-01A,30.9269425651231,20.1764566695499,-42.1143728450832,1
TCGA-BS-A0VI-01A,29.222359485412,19.839053444854,-42.9149529021308,1
TCGA-D1-A0ZN-01A,28.8795892269734,20.2759334924685,-39.0237503533127,1
