Sample,X,Y,Z,Cluster
TCGA-A5-A0G1-01A,-76.4248329148674,-44.3883620033183,12.2491343850311,1
TCGA-A5-A0G5-01A,-71.3343380217058,-37.704373201081,14.4144580308589,1
TCGA-A5-A0GA-01A,-60.0860505389094,-37.8505199387337,20.7007594462631,1
TCGA-A5-A0GG-01A,-73.4075078977506,-43.0139672391065,12.3946079446503,1
TCGA-A5-A0GH-01A,-75.3829265440703,-38.0937763910762,9.7591412112537,1
TCGA-A5-A0GW-01A,-51.4657894800122,-33.1726978974109,5.8521039054808,1
TCGA-A5-A0R7-01A,-53.9536586748309,-37.6940799013026,14.6793271253292,1
TCGA-A5-A0RA-01A,-58.0738304980051,-42.1980295963409,10.9179968481125,1
TCGA-A5-A0VO-01A,-56.5053034576071,-36.9743868959456,18.9164864244819,1
TCGA-A5-A0VP-01A,-67.4691861782153,-37.8634618115525,15.4339252745297,1
TCGA-A5-A1OF-01A,-74.703737195955,-45.8810370740623,12.4802758038075,1
TCGA-A5-A1OJ-01A,-71.7507758205564,-50.5092811541308,17.4728514323156,1
TCGA-A5-A2K3-01A,-72.9099727676176,-38.1949894085549,12.3212671906406,1
TCGA-A5-A3LO-01A,-69.5715771026629,-39.5211558098434,15.5664370818676,1
TCGA-A5-A3LP-01A,-62.3038738687419,-45.546279053922,13.5914259392402,1
TCGA-A5-AB3J-01A,-67.9843798660715,-44.1888054995837,19.8870186488923,1
TCGA-AJ-A23N-01A,-70.65460734253,-43.7709793449531,25.7645085520395,1
TCGA-AJ-A2QK-01A,-70.422541508151,-45.94857775048,10.2573429942386,1
TCGA-AJ-A2QM-01A,-75.2534241872293,-52.3832949769668,11.4711678154616,1
TCGA-AJ-A2QO-01A,-72.7042952553839,-42.8701571450253,20.2940960636778,1
TCGA-AJ-A3BG-01A,-72.2767984530392,-48.174149735774,2.86150004399671,1
TCGA-AJ-A3BK-01A,-54.4301929801342,-46.5749092954087,15.1418009590657,1
TCGA-AJ-A3EJ-01A,-75.6373772552453,-47.0877176333143,17.2426136190627,1
TCGA-AJ-A3EK-01A,-57.2572609048432,-38.6321257416828,9.91728357744721,1
TCGA-AJ-A3EL-01A,-57.0111208380365,-43.1497417155564,22.8325258126695,1
TCGA-AJ-A3IA-01A,-74.4319308282882,-53.5100142837268,13.9770943988539,1
TCGA-AJ-A3NE-01A,-70.9915157353968,-42.6614115652414,24.1822887815653,1
TCGA-AJ-A3NF-01A,-73.3345489697885,-44.764041560816,21.3096763911273,1
TCGA-AJ-A3NH-01A,-55.8858630555555,-37.5076447261134,14.5493034124172,1
TCGA-AJ-A3OJ-01A,-68.6169973856205,-43.2214396657853,26.0555841737058,1
TCGA-AJ-A3OK-01A,-74.797020849155,-49.912244320937,12.0257736115439,1
TCGA-AJ-A3QS-01A,-55.9243960326918,-33.1106135105407,10.6695359882639,1
TCGA-AJ-A5DV-01A,-70.3137270770624,-50.5151696512696,14.3944640316773,1
TCGA-AJ-A5DW-01A,-66.8530316765948,-44.4316864420856,18.7502711402597,1
TCGA-AJ-A8CT-01A,-71.4061657230261,-52.8377120041741,11.2654136413356,1
TCGA-AP-A053-01A,-62.122868180806,-40.3859925285508,20.0146232173895,1
TCGA-AP-A056-01A,-57.9786919522204,-38.467649872243,7.2336098007835,1
TCGA-AP-A059-01A,-70.0324883085406,-36.4606288753426,19.9601299176995,1
TCGA-AP-A0LG-01A,-59.7370582150026,-44.0885940269657,15.0436585097704,1
TCGA-AP-A0LM-01A,-59.2038684102653,-31.484668885466,12.3646829299905,1
TCGA-AP-A0LV-01A,-56.3933327139168,-29.5867565181626,2.58834687358454,1
