Sample,X,Y,Z,Cluster
TCGA-V4-A9E5-01A,7.67156523558467,17.2928699140245,26.2405987935203,1
TCGA-V4-A9EA-01A,6.2462232783375,16.4279212839376,26.689615083259,1
TCGA-V4-A9EH-01A,6.423300348194,16.5637772689928,25.2440798288962,1
TCGA-V4-A9EJ-01A,3.41535614434354,20.6521968446284,23.7491316813109,1
TCGA-V4-A9EK-01A,5.90678414582618,18.00414615032,22.3579837550198,1
TCGA-V4-A9ES-01A,4.12321333060814,11.6277317540511,27.7086653926461,1
TCGA-V4-A9ET-01A,4.43337469782734,12.7490528842647,26.0199556745471,1
TCGA-V4-A9EW-01A,1.98413018089551,19.0087747629117,23.8123610071676,1
TCGA-V4-A9EZ-01A,5.09712774004434,14.5877750222035,24.5590758058703,1
TCGA-V4-A9F4-01A,4.04080190422356,14.0924923689721,24.8970848877814,1
TCGA-V4-A9F7-01A,3.48044571230178,19.1442209157288,23.3279725368745,1
TCGA-VD-A8K7-01B,3.05509199541352,19.4714303514891,24.1321680662369,1
TCGA-VD-A8K9-01A,3.00291329106901,19.0407554743483,21.85081981774,1
TCGA-VD-A8KA-01B,-0.419840533671883,16.5598469430655,22.0497714351264,1
TCGA-VD-A8KB-01A,1.79216921940541,15.7611666138403,23.4631303585714,1
TCGA-VD-A8KE-01A,-1.12630059488146,13.3490123336932,24.902149391286,1
TCGA-VD-A8KG-01A,-0.953051422605075,16.7778635172082,24.5113299726828,1
TCGA-VD-A8KJ-01A,2.6047653641439,15.0699019863774,23.4170478246513,1
TCGA-VD-A8KM-01A,4.88553717498357,17.3877658359648,20.0789641235253,1
TCGA-VD-A8KO-01A,0.517698284250698,17.9735633835231,23.1198957869449,1
TCGA-VD-AA8M-01A,1.70910170105867,11.7745444967584,23.0124191311915,1
TCGA-VD-AA8Q-01A,2.42436571647274,17.0075016261597,21.7717147484754,1
TCGA-VD-AA8S-01B,3.99381932607908,16.1997903272687,23.9380090352479,1
TCGA-VD-AA8T-01A,6.1898645476076,16.7348470469931,21.7305485575912,1
TCGA-WC-A87T-01A,-0.128339759122878,20.3794753832295,22.4350225266129,1
TCGA-WC-A87U-01A,0.51111552071847,16.4729432462736,20.866114034433,1
TCGA-WC-A87W-01A,1.24682543855866,20.3876141418547,21.8521573567424,1
TCGA-WC-A880-01A,-0.103652840422343,14.7101611789442,22.1850966182015,1
TCGA-WC-A881-01A,3.06381041759277,17.9862126122804,24.5904450646725,1
TCGA-WC-A882-01A,4.98977004340739,20.0125679379142,22.3517641400469,1
TCGA-WC-A883-01A,2.85487453780374,21.7366782968871,21.0232864804229,1
TCGA-WC-A885-01A,0.77235033845707,14.686712192472,24.1719206628829,1
TCGA-WC-A88A-01A,1.36894777637539,11.8047209687676,22.3700818779309,1
TCGA-WC-AA9E-01A,2.79631265188819,14.219052512633,24.522000390225,1
TCGA-YZ-A982-01A,3.36258806301797,15.2950731799788,24.9111868693707,1
TCGA-YZ-A983-01A,-0.532305009890996,16.8053859246915,21.2529336046383,1
TCGA-YZ-A984-01A,3.09629623585604,12.9333848753343,27.4555190556766,1
TCGA-RZ-AB0B-01A,-2.53009883014997,-16.1208622459108,-17.1870075929231,2
TCGA-V3-A9ZX-01A,2.5491475837882,-11.2720313354646,-24.5116023303549,2
TCGA-V3-A9ZY-01A,3.26330107157667,-14.2016200635601,-23.6487461783523,2
TCGA-V4-A9E7-01A,-8.55307631825715,-10.0275815423553,-13.4792350613049,2
TCGA-V4-A9E8-01A,-2.45474814268014,-18.426817099519,-22.0566976233903,2
TCGA-V4-A9E9-01A,-7.6274624777293,-11.6727252061485,-12.536604324467,2
TCGA-V4-A9EC-01A,-7.58531192215811,-13.1954650862823,-12.8856980861636,2
TCGA-V4-A9ED-01A,-5.22533841268267,-14.2825876508002,-23.6548470187156,2
