Sample,X,Y,Z,Cluster
TCGA-V3-A9ZX-01A,-1.99849672370504,1.19523750968099,7.77369046535656,1
TCGA-V4-A9E7-01A,-0.659182379847704,5.16289346861298,6.28691868413773,1
TCGA-V4-A9E8-01A,-2.38648732379395,5.95571096001457,7.33828801298655,1
TCGA-V4-A9ED-01A,-1.49604221748417,4.67642123355231,7.20169895620065,1
TCGA-V4-A9EF-01A,-2.27578056483299,1.90019218750056,8.0554351981449,1
TCGA-V4-A9EO-01A,-1.42525682100069,0.54896499928249,6.90162862774016,1
TCGA-V4-A9F0-01A,-0.47081192733511,5.01740388034739,7.01691216276738,1
TCGA-V4-A9F3-01A,-2.05924004520265,0.613816290768794,7.70145592161081,1
TCGA-VD-A8KA-01B,-1.03115603901229,0.307618274805823,5.83645081310378,1
TCGA-VD-A8KF-01A,-1.89141000729426,-0.308858636375886,7.50058486196337,1
TCGA-VD-A8KG-01A,-2.66979221222516,4.21232358783971,8.48515390575809,1
TCGA-VD-A8KI-01A,-3.04200687453111,4.38563477848263,7.83338307199409,1
TCGA-VD-A8KL-01A,-1.86248272231493,4.06823120666881,8.15335933610022,1
TCGA-VD-A8KM-01A,-3.5646550761346,5.97717367035597,7.54469688054652,1
TCGA-VD-A8KN-01A,-1.35144945026167,0.483467574671054,6.69524610000227,1
TCGA-VD-AA8N-01A,-1.51492840110947,5.82506694387298,6.06503402791158,1
TCGA-VD-AA8S-01B,-3.13983659311281,4.16391483772812,8.58492855389558,1
TCGA-WC-A88A-01A,-1.845940303267,3.01007636394977,7.02269502759679,1
TCGA-YZ-A982-01A,-1.74523776558205,4.2126121749304,7.6872327148123,1
TCGA-YZ-A984-01A,-1.02707839896954,3.24843485527439,6.45984426560999,1
TCGA-YZ-A985-01A,-1.89130994887083,2.63392737021303,7.53430291506922,1
TCGA-RZ-AB0B-01A,-0.392210950458572,-5.93119192687664,-0.531987302483217,2
TCGA-V4-A9EE-01A,-0.8091541954908,-5.40694437969964,-0.332526169251125,2
TCGA-V4-A9EI-01A,-2.95339754796738,-3.55702434837907,-2.07862292334538,2
TCGA-V4-A9EJ-01A,0.794640344897777,-4.24963410727291,-1.91202694534939,2
TCGA-V4-A9EK-01A,0.541996897823004,-5.95516353802585,1.79397462769092,2
TCGA-V4-A9EL-01A,-1.9400275621838,-2.7241041940467,-3.50406868206624,2
TCGA-V4-A9ES-01A,-2.22867706209134,-4.8545998173211,-1.51104751706736,2
TCGA-V4-A9EU-01A,-2.32492340467101,-3.32130236545643,-1.91171349548182,2
TCGA-V4-A9EV-01A,0.555353388361231,-3.19732622364707,-4.01748181136319,2
TCGA-V4-A9EW-01A,-0.451502983093543,-4.03023836745566,2.88773721603927,2
TCGA-V4-A9EX-01A,-2.97969750117946,-2.96391565843478,-1.78376382520223,2
TCGA-V4-A9F1-01A,-1.70894679427382,-2.6645438025525,-3.27862158374032,2
TCGA-V4-A9F4-01A,-1.05445720947762,-1.88999898168265,3.77692683369372,2
