Sample,X,Y,Z,Cluster
TCGA-V3-A9ZY-01A,-5.45535588847603,-17.2866873635459,-11.8967472800611,1
TCGA-V4-A9E5-01A,-9.08443333085612,-18.8655045891982,-9.90878866888812,1
TCGA-V4-A9E7-01A,-11.37517138013,-22.0524440723142,-9.49110802371481,1
TCGA-V4-A9E8-01A,-7.37903971524999,-16.0748019146943,-11.0702166458655,1
TCGA-V4-A9E9-01A,-4.51027472923413,-13.870248608413,-11.7757934907277,1
TCGA-V4-A9EA-01A,-5.7583632903022,-17.9297375899297,-9.6939157452347,1
TCGA-V4-A9EC-01A,-6.10355520271328,-13.5005318812278,-7.19490541492362,1
TCGA-V4-A9ED-01A,-7.944179861712,-20.9811698482846,-11.3697583477299,1
TCGA-V4-A9EF-01A,-13.025850168356,-22.5175699123515,-9.72471727345506,1
TCGA-V4-A9EH-01A,-4.71203060699072,-10.6642189049322,-9.11305395728925,1
TCGA-V4-A9EL-01A,-2.75930903739666,-8.04650921096395,-11.318678905287,1
TCGA-V4-A9EQ-01A,-6.37277356337064,-17.8640508328784,-14.7458792330924,1
TCGA-V4-A9ES-01A,-2.80068764344252,-8.54257574776886,-11.9742312180249,1
TCGA-V4-A9EV-01A,-1.50113646034433,-8.30939055506837,-12.0672629269903,1
TCGA-V4-A9EY-01A,-7.83808630876126,-15.1443001021421,-10.5234228530516,1
TCGA-V4-A9EZ-01A,-10.7099266776808,-18.8362827663799,-10.7800461414748,1
TCGA-V4-A9F0-01A,-11.1230594382173,-21.3790728228641,-12.1336681515555,1
TCGA-V4-A9F5-01A,-6.73112113399814,-15.7457015204119,-14.1633216757176,1
TCGA-V4-A9F8-01A,-11.387140618585,-21.0971621533254,-11.597143910585,1
TCGA-VD-A8K8-01A,-0.175234629950882,-8.66857359320827,-12.2608825482491,1
TCGA-VD-A8KB-01A,-14.2923652557552,-21.7038569557691,-8.54750411648126,1
TCGA-VD-A8KD-01A,-0.821409296270322,-8.11004469012132,-12.3999531296518,1
TCGA-VD-A8KE-01A,-1.64998001449188,-7.8624193824011,-12.3608448193377,1
TCGA-VD-A8KI-01A,-7.31380602652816,-18.2060309847241,-11.7168317441622,1
TCGA-VD-A8KK-01A,-3.67795162552869,-15.2632934130599,-9.4808300191841,1
TCGA-VD-A8KL-01A,-11.5970216602064,-21.3625125514124,-9.28534096374411,1
TCGA-VD-A8KM-01A,-4.65091585356042,-10.8385669628408,-9.13622379040504,1
TCGA-VD-AA8N-01A,-3.92260142987426,-14.7762740090594,-11.5691844175031,1
TCGA-VD-AA8O-01A,-2.8373621391422,-9.59354799126625,-12.6726289683319,1
TCGA-VD-AA8P-01A,-12.1609289475671,-22.9369102032519,-11.9958513604948,1
TCGA-VD-AA8Q-01A,-4.88557191236782,-11.6691388788788,-9.12200791784677,1
TCGA-VD-AA8R-01A,-11.7911519762471,-22.0017701059217,-8.43988962119906,1
TCGA-VD-AA8S-01B,-11.0013164942006,-23.1399710221785,-13.0586037005417,1
TCGA-WC-A87Y-01A,-3.5555197532883,-7.66478445786985,-8.18389913245825,1
TCGA-WC-A882-01A,-5.46859213532187,-13.2167931426759,-12.2821288468426,1
TCGA-WC-A884-01A,-4.75577632583537,-11.5646249122584,-7.11895216537141,1
TCGA-WC-A888-01A,-5.21203129134407,-8.91330228101358,-9.14541123447387,1
TCGA-WC-A88A-01A,-11.3494756043983,-21.8488048565659,-12.88999365789,1
TCGA-YZ-A982-01A,-13.0045433500266,-23.0350180353725,-10.6857355030431,1
TCGA-YZ-A984-01A,-5.96560691184293,-16.1379258584542,-9.22159437861579,1
TCGA-YZ-A985-01A,-7.11000362343139,-14.9465479588815,-11.4333655651548,1
TCGA-V3-A9ZX-01A,11.3489653311574,25.5282631946554,15.6113639735021,2
TCGA-V4-A9EE-01A,12.8065345921772,26.7822625211477,16.6366943657794,2
TCGA-V4-A9EI-01A,15.717657943303,25.4905822755355,17.6382570134449,2
TCGA-V4-A9EM-01A,15.549831330584,23.3595277665482,14.916320650818,2
TCGA-V4-A9EO-01A,8.91025992471857,27.1943809806962,17.4211256318232,2
TCGA-V4-A9ET-01A,14.0806405746786,21.9151656520055,20.5343210506175,2
TCGA-V4-A9EW-01A,13.7946190569779,24.7471575285567,16.9673678508899,2
TCGA-V4-A9EX-01A,15.9670587692955,24.5754793367046,20.3734168763385,2
TCGA-V4-A9F1-01A,16.1368875435802,26.0569091763593,17.2620143686352,2
TCGA-V4-A9F4-01A,12.437246943976,26.3815819541994,17.0644869846785,2
TCGA-VD-A8K9-01A,11.301367285831,27.5268604432099,15.7132074359096,2
TCGA-VD-A8KA-01B,14.4510183018303,26.1302084176379,18.6168397514585,2
TCGA-VD-A8KG-01A,15.4566424550229,22.9509594740698,18.2043263681385,2
TCGA-VD-A8KJ-01A,13.2289093946103,24.9689349368312,17.4356788628727,2
TCGA-VD-A8KO-01A,13.4185298139899,25.4619829912266,17.9679473079615,2
TCGA-VD-AA8M-01A,13.3641900666235,24.5091013576658,17.8858391808448,2
TCGA-WC-A87W-01A,10.7645103352438,28.7730677339244,17.4992549206758,2
TCGA-WC-A881-01A,11.8719853355368,26.3094937213455,18.2515237101541,2
TCGA-WC-A883-01A,14.7845282358171,24.8577465927116,19.8079619162766,2
