Sample,X,Y,Z,Cluster
TCGA-V3-A9ZY-01A,19.9201688400104,-14.3141061951189,-15.2293043662166,1
TCGA-V4-A9E5-01A,23.2655360183464,-16.8188625738186,-15.344277303191,1
TCGA-V4-A9E7-01A,26.5161497754142,-14.234752927561,-14.1118919442766,1
TCGA-V4-A9E8-01A,27.6789407939267,-14.1610917087458,-15.5769161316285,1
TCGA-V4-A9E9-01A,23.7753909166417,-16.9527600218154,-14.5830839524052,1
TCGA-V4-A9EA-01A,23.7976700885496,-16.9133206869908,-15.0680328380248,1
TCGA-V4-A9EC-01A,23.9054490827128,-17.6187127485316,-13.8281084483603,1
TCGA-V4-A9ED-01A,22.204004047748,-15.8685999716272,-13.8974110424037,1
TCGA-V4-A9EF-01A,22.3391385006196,-16.7779383271894,-14.1581384854343,1
TCGA-V4-A9EO-01A,23.8433218071261,-18.7439403711513,-16.3638387584915,1
TCGA-V4-A9EQ-01A,25.3815839806853,-15.7275235175844,-15.0147238729654,1
TCGA-V4-A9ES-01A,26.2325108034547,-10.5099720227572,-10.1381530923478,1
TCGA-V4-A9ET-01A,23.5611466556964,-15.7222315005241,-16.4274097290494,1
TCGA-V4-A9EW-01A,25.9750144804481,-19.1018533354581,-15.6306450756353,1
TCGA-V4-A9EY-01A,20.9175517608357,-14.5088345815477,-16.459105336989,1
TCGA-V4-A9EZ-01A,24.3071846554589,-16.1976044005171,-15.5141112041459,1
TCGA-V4-A9F5-01A,26.5431375111226,-14.8712012587722,-14.4522462391962,1
TCGA-V4-A9F8-01A,25.1356548758497,-16.0102679604965,-15.0638427175673,1
TCGA-VD-A8KA-01B,26.0634416356093,-18.5192736668222,-15.4157723575825,1
TCGA-VD-A8KB-01A,25.4583248411231,-18.1674443749879,-15.1752247756318,1
TCGA-VD-A8KE-01A,20.2068741096386,-14.125241415389,-16.5885689856361,1
TCGA-VD-A8KG-01A,24.1662821848068,-15.8131702075739,-15.6858923702911,1
TCGA-VD-A8KH-01A,26.2339579510851,-10.4852731412768,-10.1216978234829,1
