Sample,X,Y,Z,Cluster
TCGA-V3-A9ZY-01A,21.717535584486,13.8239017730569,10.0240951052816,1
TCGA-V4-A9E5-01A,25.5432465102558,10.8831520619547,13.5118206028953,1
TCGA-V4-A9E8-01A,15.4287042957621,8.91983363947395,3.92080851070674,1
TCGA-V4-A9E9-01A,18.2464519602567,11.8910172127631,6.73352621058973,1
TCGA-V4-A9EA-01A,22.444131534653,12.566098894716,10.0571999480228,1
TCGA-V4-A9EC-01A,15.9791519049143,11.1862906498136,5.48485285918635,1
TCGA-V4-A9ED-01A,18.483124997138,10.9663735280559,6.56953700174502,1
TCGA-V4-A9EF-01A,26.1122328845697,10.7253546762967,14.458567942769,1
TCGA-V4-A9EH-01A,21.2788347566467,14.9232410620857,10.1448072894819,1
TCGA-V4-A9EJ-01A,13.0006464920838,6.13788160663621,3.44467106751257,1
TCGA-V4-A9EK-01A,12.0824361150556,3.79279894414278,3.7526509494167,1
TCGA-V4-A9EL-01A,12.4207722828269,3.92102118234012,4.00664381439493,1
TCGA-V4-A9EM-01A,18.5978829580048,12.3127608030745,7.08199845136152,1
TCGA-V4-A9EQ-01A,23.1510979917516,8.52076518500379,7.97443107675199,1
TCGA-V4-A9ET-01A,23.5846669284963,10.4480590727479,9.93431282309233,1
TCGA-V4-A9EW-01A,13.6791881812551,8.7786841083225,4.40086370494084,1
TCGA-V4-A9EY-01A,23.0984041513682,7.9084916974391,7.48131103277121,1
TCGA-V4-A9EZ-01A,21.9507222700765,13.4782682974355,10.0524075180513,1
TCGA-V4-A9F0-01A,24.2338879410878,10.9605757372596,11.2660267642002,1
TCGA-V4-A9F2-01A,18.9905184723371,12.6398960983782,7.47256765476153,1
TCGA-V4-A9F3-01A,12.7007629738685,4.73717597550987,3.83250375612518,1
TCGA-V4-A9F4-01A,13.0794347898648,4.07487350616764,4.47358635092923,1
TCGA-V4-A9F5-01A,25.723555011406,10.825848559211,13.7920720023635,1
TCGA-V4-A9F8-01A,23.1488486784485,8.52311523034104,7.98976494069576,1
TCGA-VD-A8K9-01A,12.8693204469196,4.81924972679151,3.9708216400505,1
TCGA-VD-A8KB-01A,18.2541095095662,10.4939437142372,6.41972823615364,1
TCGA-VD-A8KG-01A,21.8195667235743,8.46471809459802,6.77143921402804,1
TCGA-VD-A8KI-01A,22.4889560981175,7.98166312531002,6.90133333826553,1
TCGA-VD-A8KK-01A,25.983954597599,10.7580968639241,14.2345948760717,1
TCGA-VD-A8KL-01A,23.5117935133214,10.633977873306,9.98737451988827,1
TCGA-VD-A8KM-01A,11.8367429773445,5.60263055372628,2.46063415300161,1
TCGA-VD-A8KN-01A,12.560908169371,5.26948649867228,3.40697356137233,1
TCGA-VD-AA8M-01A,15.6239688506566,9.13598510028569,3.95020598587782,1
TCGA-VD-AA8N-01A,17.9251120368489,11.6313045304058,6.45280563700524,1
TCGA-VD-AA8O-01A,14.1329980541947,8.05635466077783,3.88288408090904,1
TCGA-VD-AA8P-01A,25.6261120064046,10.8322951836344,13.615905754171,1
TCGA-VD-AA8Q-01A,22.1170524868,13.1689602890333,10.0480962167395,1
TCGA-VD-AA8S-01B,15.3623307500687,8.70643640230822,3.81176420916667,1
TCGA-WC-A880-01A,11.6283391327695,5.42677244435844,2.33854381541429,1
TCGA-WC-A881-01A,11.2684546422515,3.30233359304212,3.23795332586506,1
TCGA-WC-A882-01A,22.8495894249999,8.20391413648052,7.46004867111896,1
TCGA-WC-A884-01A,13.4466460109982,6.77074419458177,3.5857687077641,1
TCGA-WC-A885-01A,23.6817149609626,10.8070087571716,10.3490225624007,1
