Sample,X,Y,Z,Cluster
TCGA-V3-A9ZY-01A,-16.7808772306794,-24.7870337194642,-18.1383306760073,1
TCGA-V4-A9E5-01A,-18.9071712835126,-22.0121330409584,-15.4018137783789,1
TCGA-V4-A9E7-01A,-19.4074860263514,-19.5219565375613,-18.10361897639,1
TCGA-V4-A9E8-01A,-19.0744314048121,-21.383508745698,-15.9079165924376,1
TCGA-V4-A9E9-01A,-18.6366911873249,-21.9899111176122,-16.4594821645322,1
TCGA-V4-A9EA-01A,-18.456507408188,-22.0197130534967,-16.1791610037307,1
TCGA-V4-A9ED-01A,-17.933996665656,-24.2116702768492,-16.503125338589,1
TCGA-V4-A9EF-01A,-20.1210031550068,-19.5862960642089,-13.8762670478811,1
TCGA-V4-A9EH-01A,-19.6356745826886,-20.7122218508069,-13.6178397730886,1
TCGA-V4-A9EM-01A,-16.4447999633111,-24.8423520639122,-18.6825563743576,1
TCGA-V4-A9EQ-01A,-18.8957195510118,-21.3323947975179,-15.8994744251532,1
TCGA-V4-A9ES-01A,-19.150292118517,-19.3530947079146,-19.1100184202662,1
TCGA-V4-A9ET-01A,-18.4165013281919,-20.8922116781904,-17.226336285806,1
TCGA-V4-A9EY-01A,-18.4109961398326,-22.0882419546231,-15.8593510294742,1
TCGA-V4-A9EZ-01A,-18.4044050167536,-22.3097675708241,-16.8344751485126,1
TCGA-V4-A9F0-01A,-19.7953991060514,-19.5936507238582,-15.3147512351535,1
TCGA-V4-A9F2-01A,-16.2393774544237,-24.5141474938475,-19.4104244469696,1
TCGA-V4-A9F5-01A,-19.416926127789,-19.8495680664083,-16.8668676015743,1
TCGA-V4-A9F8-01A,-18.5802024100777,-21.8289647484689,-16.9381608263671,1
TCGA-VD-A8KB-01A,-15.8147858905896,-24.9443643279215,-19.5382461311017,1
TCGA-VD-A8KE-01A,-18.4736932009262,-21.2404446862501,-14.8280880582859,1
TCGA-VD-A8KG-01A,-17.6589402258589,-24.0234123542737,-17.2445507659709,1
TCGA-VD-A8KI-01A,-20.2194866122167,-19.4138671229995,-13.9467762229298,1
TCGA-VD-A8KK-01A,-20.4069729608459,-18.1969625589468,-13.7132250259838,1
TCGA-VD-A8KL-01A,-20.3432989328142,-19.2588375127182,-13.9914511324438,1
TCGA-VD-AA8M-01A,-16.6584879509286,-24.8232132824769,-18.3231834056938,1
TCGA-VD-AA8N-01A,-20.3398863986606,-18.635869746734,-13.8262349015817,1
TCGA-VD-AA8O-01A,-19.5735043533435,-19.8934532959045,-15.9346092523488,1
TCGA-VD-AA8P-01A,-16.3362198701452,-24.2512934153912,-19.5554959809267,1
TCGA-VD-AA8Q-01A,-20.4416625149461,-17.6799814578204,-13.5429813751053,1
TCGA-VD-AA8S-01B,-17.782591173186,-23.8237472615513,-17.1630055831725,1
TCGA-WC-A882-01A,-18.4804099381463,-21.5852483803646,-16.0171165782289,1
TCGA-WC-A884-01A,-18.4406515647095,-22.6060512263815,-15.702894319396,1
TCGA-WC-A885-01A,-17.827315648669,-23.9384256986669,-16.9570293911073,1
TCGA-WC-A88A-01A,-20.3813904274222,-18.5115708666668,-13.819549792508,1
